Year,Géographie,Occupation,Value
2015,,,35.1
2016,,,34.6
2017,,,34.4
2018,,,34.8
2019,,,35.2
2020,,,35.9
2021,,,35.6
2015,Canada,Cadres supérieures,31.5
2015,Canada,Cadres intermédiaires spécialisées,47.2
2015,Canada,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",41.8
2015,Canada,"Middle management occupations in trades, transportation, production and utilities",17.0
2015,Terre-Neuve-et-Labrador,Management occupations,38.9
2015,Terre-Neuve-et-Labrador,Cadres supérieures,
2015,Terre-Neuve-et-Labrador,Cadres intermédiaires spécialisées,48.2
2015,Terre-Neuve-et-Labrador,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",41.0
2015,Terre-Neuve-et-Labrador,"Middle management occupations in trades, transportation, production and utilities",17.9
2015,Île-du-Prince-Édouard,Management occupations,35.4
2015,Île-du-Prince-Édouard,Cadres supérieures,
2015,Île-du-Prince-Édouard,Cadres intermédiaires spécialisées,50.0
2015,Île-du-Prince-Édouard,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",44.0
2015,Île-du-Prince-Édouard,"Middle management occupations in trades, transportation, production and utilities",13.6
2015,Nouvelle-Écosse,Management occupations,37.9
2015,Nouvelle-Écosse,Cadres supérieures,
2015,Nouvelle-Écosse,Cadres intermédiaires spécialisées,47.1
2015,Nouvelle-Écosse,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",44.6
2015,Nouvelle-Écosse,"Middle management occupations in trades, transportation, production and utilities",14.3
2015,Nouveau-Brunswick,Management occupations,36.8
2015,Nouveau-Brunswick,Cadres supérieures,
2015,Nouveau-Brunswick,Cadres intermédiaires spécialisées,45.3
2015,Nouveau-Brunswick,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",42.9
2015,Nouveau-Brunswick,"Middle management occupations in trades, transportation, production and utilities",15.3
2015,Québec,Management occupations,33.7
2015,Québec,Cadres supérieures,36.0
2015,Québec,Cadres intermédiaires spécialisées,49.2
2015,Québec,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",35.9
2015,Québec,"Middle management occupations in trades, transportation, production and utilities",15.7
2015,Ontario,Management occupations,36.9
2015,Ontario,Cadres supérieures,28.4
2015,Ontario,Cadres intermédiaires spécialisées,48.1
2015,Ontario,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",43.2
2015,Ontario,"Middle management occupations in trades, transportation, production and utilities",15.3
2015,Manitoba,Management occupations,31.5
2015,Manitoba,Cadres supérieures,30.0
2015,Manitoba,Cadres intermédiaires spécialisées,47.9
2015,Manitoba,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",39.6
2015,Manitoba,"Middle management occupations in trades, transportation, production and utilities",17.0
2015,Saskatchewan,Management occupations,30.5
2015,Saskatchewan,Cadres supérieures,
2015,Saskatchewan,Cadres intermédiaires spécialisées,50.4
2015,Saskatchewan,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",45.1
2015,Saskatchewan,"Middle management occupations in trades, transportation, production and utilities",19.6
2015,Alberta,Management occupations,33.2
2015,Alberta,Cadres supérieures,37.5
2015,Alberta,Cadres intermédiaires spécialisées,41.8
2015,Alberta,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",45.6
2015,Alberta,"Middle management occupations in trades, transportation, production and utilities",19.1
2015,Colombie-Britannique,Management occupations,35.9
2015,Colombie-Britannique,Cadres supérieures,28.6
2015,Colombie-Britannique,Cadres intermédiaires spécialisées,45.2
2015,Colombie-Britannique,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",42.9
2015,Colombie-Britannique,"Middle management occupations in trades, transportation, production and utilities",19.2
2016,Canada,Cadres supérieures,36.9
2016,Canada,Cadres intermédiaires spécialisées,46.8
2016,Canada,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",40.3
2016,Canada,"Middle management occupations in trades, transportation, production and utilities",16.7
2016,Terre-Neuve-et-Labrador,Management occupations,37.9
2016,Terre-Neuve-et-Labrador,Cadres supérieures,
2016,Terre-Neuve-et-Labrador,Cadres intermédiaires spécialisées,44.2
2016,Terre-Neuve-et-Labrador,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",40.4
2016,Terre-Neuve-et-Labrador,"Middle management occupations in trades, transportation, production and utilities",23.3
2016,Île-du-Prince-Édouard,Management occupations,33.9
2016,Île-du-Prince-Édouard,Cadres supérieures,
2016,Île-du-Prince-Édouard,Cadres intermédiaires spécialisées,53.3
2016,Île-du-Prince-Édouard,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",47.4
2016,Île-du-Prince-Édouard,"Middle management occupations in trades, transportation, production and utilities",12.5
2016,Nouvelle-Écosse,Management occupations,40.7
2016,Nouvelle-Écosse,Cadres supérieures,45.5
2016,Nouvelle-Écosse,Cadres intermédiaires spécialisées,53.9
