"Year","Units","Geography","GeoCode","Value"
"2015","Proportion of GDP","",,114.91
"2015","Proportion of GDP","Newfoundland and Labrador",10,87.83
"2015","Proportion of GDP","Prince Edward Island",11,116.69
"2015","Proportion of GDP","Nova Scotia",12,73.68
"2015","Proportion of GDP","New Brunswick",13,84
"2015","Proportion of GDP","Quebec",24,150.08
"2015","Proportion of GDP","Ontario",35,134.62
"2015","Proportion of GDP","Manitoba",46,115.18
"2015","Proportion of GDP","Saskatchewan",47,55.78
"2015","Proportion of GDP","Alberta",48,86.51
"2015","Proportion of GDP","British Columbia",59,74.93
"2015","Proportion of GDP","Yukon",60,6.69
"2015","Proportion of GDP","Northwest Territories",61,
"2015","Proportion of GDP","Nunavut",62,
"2016","Proportion of GDP","",,112.03
"2016","Proportion of GDP","Newfoundland and Labrador",10,52.95
"2016","Proportion of GDP","Prince Edward Island",11,110.09
"2016","Proportion of GDP","Nova Scotia",12,83.49
"2016","Proportion of GDP","New Brunswick",13,101.2
"2016","Proportion of GDP","Quebec",24,148.61
"2016","Proportion of GDP","Ontario",35,129.61
"2016","Proportion of GDP","Manitoba",46,102.83
"2016","Proportion of GDP","Saskatchewan",47,62
"2016","Proportion of GDP","Alberta",48,81.36
"2016","Proportion of GDP","British Columbia",59,73.42
"2016","Proportion of GDP","Yukon",60,6.71
"2016","Proportion of GDP","Northwest Territories",61,
"2016","Proportion of GDP","Nunavut",62,
"2017","Proportion of GDP","",,112.87
"2017","Proportion of GDP","Newfoundland and Labrador",10,53.92
"2017","Proportion of GDP","Prince Edward Island",11,110.26
"2017","Proportion of GDP","Nova Scotia",12,74.22
"2017","Proportion of GDP","New Brunswick",13,111.73
"2017","Proportion of GDP","Quebec",24,151.07
"2017","Proportion of GDP","Ontario",35,130.51
"2017","Proportion of GDP","Manitoba",46,102.47
"2017","Proportion of GDP","Saskatchewan",47,59.18
"2017","Proportion of GDP","Alberta",48,81.35
"2017","Proportion of GDP","British Columbia",59,77.14
"2017","Proportion of GDP","Yukon",60,6.58
"2017","Proportion of GDP","Northwest Territories",61,3.25
"2017","Proportion of GDP","Nunavut",62,3.54
"2018","Proportion of GDP","",,115.39
"2018","Proportion of GDP","Newfoundland and Labrador",10,51.65
"2018","Proportion of GDP","Prince Edward Island",11,116.92
"2018","Proportion of GDP","Nova Scotia",12,64.36
"2018","Proportion of GDP","New Brunswick",13,119.89
"2018","Proportion of GDP","Quebec",24,150.12
"2018","Proportion of GDP","Ontario",35,132.5
"2018","Proportion of GDP","Manitoba",46,106.95
"2018","Proportion of GDP","Saskatchewan",47,63.64
"2018","Proportion of GDP","Alberta",48,91.31
"2018","Proportion of GDP","British Columbia",59,78.12
"2018","Proportion of GDP","Yukon",60,6.67
"2018","Proportion of GDP","Northwest Territories",61,2.61
"2018","Proportion of GDP","Nunavut",62,4.15
"2019","Proportion of GDP","",,111.12
"2019","Proportion of GDP","Newfoundland and Labrador",10,51.92
"2019","Proportion of GDP","Prince Edward Island",11,113.94
"2019","Proportion of GDP","Nova Scotia",12,62.06
"2019","Proportion of GDP","New Brunswick",13,108.11
"2019","Proportion of GDP","Quebec",24,152.03
"2019","Proportion of GDP","Ontario",35,126.29
"2019","Proportion of GDP","Manitoba",46,108.41
"2019","Proportion of GDP","Saskatchewan",47,65.45
"2019","Proportion of GDP","Alberta",48,84.23
"2019","Proportion of GDP","British Columbia",59,68.98
"2019","Proportion of GDP","Yukon",60,6.49
"2019","Proportion of GDP","Northwest Territories",61,3.02
"2019","Proportion of GDP","Nunavut",62,4.26
"2020","Proportion of GDP","",,106.3
"2020","Proportion of GDP","Newfoundland and Labrador",10,47.52
"2020","Proportion of GDP","Prince Edward Island",11,126.16
"2020","Proportion of GDP","Nova Scotia",12,62.54
"2020","Proportion of GDP","New Brunswick",13,113.45
"2020","Proportion of GDP","Quebec",24,137.9
"2020","Proportion of GDP","Ontario",35,118.07
"2020","Proportion of GDP","Manitoba",46,108.67
"2020","Proportion of GDP","Saskatchewan",47,64.68
"2020","Proportion of GDP","Alberta",48,85.89
"2020","Proportion of GDP","British Columbia",59,71.83
"2020","Proportion of GDP","Yukon",60,6.92
"2020","Proportion of GDP","Northwest Territories",61,
"2020","Proportion of GDP","Nunavut",62,
"2021","Proportion of GDP","",,116.19
"2021","Proportion of GDP","Newfoundland and Labrador",10,47.77
"2021","Proportion of GDP","Prince Edward Island",11,111.19
"2021","Proportion of GDP","Nova Scotia",12,64.12
"2021","Proportion of GDP","New Brunswick",13,134.18
"2021","Proportion of GDP","Quebec",24,150.67
"2021","Proportion of GDP","Ontario",35,129.9
"2021","Proportion of GDP","Manitoba",46,110.9
"2021","Proportion of GDP","Saskatchewan",47,81.9
"2021","Proportion of GDP","Alberta",48,92.11
"2021","Proportion of GDP","British Columbia",59,82.72
"2021","Proportion of GDP","Yukon",60,8.83
"2021","Proportion of GDP","Northwest Territories",61,
"2021","Proportion of GDP","Nunavut",62,
"2022","Proportion of GDP","",,115.12
"2022","Proportion of GDP","Newfoundland and Labrador",10,56.83
"2022","Proportion of GDP","Prince Edward Island",11,129.49
"2022","Proportion of GDP","Nova Scotia",12,65.9
"2022","Proportion of GDP","New Brunswick",13,124
"2022","Proportion of GDP","Quebec",24,161.99
