"Year","Household food security status","Geography","Economic family type","Sex","Age group","Visible minority","Indigenous population","GeoCode","Value"
"2018",,,,,,,,,11.6
"2019",,,,,,,,,10.8
"2020",,,,,,,,,11.2
"2021",,,,,,,,,12.9
"2022",,,,,,,,,16.9
"2020","Food insecure","Yukon",,,,,,60,21.2
"2020","Food insecure","Northwest Territories",,,,,,61,20.4
"2020","Food insecure","Nunavut",,,,,,62,49.5
"2021","Food insecure","Yukon",,,,,,60,12.8
"2021","Food insecure","Northwest Territories",,,,,,61,22.2
"2021","Food insecure","Nunavut",,,,,,62,46.1
"2022","Food insecure","Yukon",,,,,,60,21.4
"2022","Food insecure","Northwest Territories",,,,,,61,27.6
"2022","Food insecure","Nunavut",,,,,,62,62.6
"2020","Food secure","Yukon",,,,,,60,78.8
"2020","Food secure","Northwest Territories",,,,,,61,79.6
"2020","Food secure","Nunavut",,,,,,62,50.5
"2021","Food secure","Yukon",,,,,,60,87.2
"2021","Food secure","Northwest Territories",,,,,,61,77.8
"2021","Food secure","Nunavut",,,,,,62,53.9
"2022","Food secure","Yukon",,,,,,60,78.6
"2022","Food secure","Northwest Territories",,,,,,61,72.4
"2022","Food secure","Nunavut",,,,,,62,37.4
"2018","Food secure","Canada","All persons","Both sexes",,,,,83.2
"2018","Food insecure","Canada","All persons","Both sexes",,,,,16.8
"2018","Food insecure, marginal","Canada","All persons","Both sexes",,,,,5.2
"2018","Food insecure, moderate","Canada","All persons","Both sexes",,,,,8
"2018","Food insecure, severe","Canada","All persons","Both sexes",,,,,3.6
"2018","Food secure","Canada","Persons in economic families","Both sexes",,,,,83.9
"2018","Food insecure","Canada","Persons in economic families","Both sexes",,,,,16.1
"2018","Food insecure, marginal","Canada","Persons in economic families","Both sexes",,,,,5.2
"2018","Food insecure, moderate or severe","Canada","Persons in economic families","Both sexes",,,,,10.9
"2018","Food insecure, moderate","Canada","Persons in economic families","Both sexes",,,,,7.9
"2018","Food insecure, severe","Canada","Persons in economic families","Both sexes",,,,,3
"2018","Food secure","Canada","Persons in elderly families","Both sexes",,,,,92.9
"2018","Food insecure","Canada","Persons in elderly families","Both sexes",,,,,7.1
"2018","Food insecure, marginal","Canada","Persons in elderly families","Both sexes",,,,,2.7
