Year,Series,Units,Value
1990,Forest area as a proportion of total land area,Percentage (%),41.1443
1991,Forest area as a proportion of total land area,Percentage (%),41.1383
1992,Forest area as a proportion of total land area,Percentage (%),41.1322
1993,Forest area as a proportion of total land area,Percentage (%),41.1266
1994,Forest area as a proportion of total land area,Percentage (%),41.1180
1995,Forest area as a proportion of total land area,Percentage (%),41.1135
1996,Forest area as a proportion of total land area,Percentage (%),41.1096
1997,Forest area as a proportion of total land area,Percentage (%),41.1055
1998,Forest area as a proportion of total land area,Percentage (%),41.1014
1999,Forest area as a proportion of total land area,Percentage (%),41.0967
2000,Forest area as a proportion of total land area,Percentage (%),41.0917
2001,Forest area as a proportion of total land area,Percentage (%),41.0873
2002,Forest area as a proportion of total land area,Percentage (%),41.0830
2003,Forest area as a proportion of total land area,Percentage (%),41.0772
2004,Forest area as a proportion of total land area,Percentage (%),41.0717
2005,Forest area as a proportion of total land area,Percentage (%),41.0663
2006,Forest area as a proportion of total land area,Percentage (%),41.0614
2007,Forest area as a proportion of total land area,Percentage (%),41.0530
2008,Forest area as a proportion of total land area,Percentage (%),41.0477
2009,Forest area as a proportion of total land area,Percentage (%),41.0426
2010,Forest area as a proportion of total land area,Percentage (%),41.0379
2011,Forest area as a proportion of total land area,Percentage (%),41.0334
2012,Forest area as a proportion of total land area,Percentage (%),41.0288
2013,Forest area as a proportion of total land area,Percentage (%),41.0240
2014,Forest area as a proportion of total land area,Percentage (%),41.0180
2015,Forest area as a proportion of total land area,Percentage (%),41.0117
2016,Forest area as a proportion of total land area,Percentage (%),41.0054
2017,Forest area as a proportion of total land area,Percentage (%),40.9992
2018,Forest area as a proportion of total land area,Percentage (%),40.9934
2019,Forest area as a proportion of total land area,Percentage (%),40.9878
2020,Forest area as a proportion of total land area,Percentage (%),40.9821
2021,Forest area as a proportion of total land area,Percentage (%),40.9766
2022,Forest area as a proportion of total land area,Percentage (%),40.9711
1990,Forest area,Hectares,368883000
1991,Forest area,Hectares,368829000
1992,Forest area,Hectares,368774000
1993,Forest area,Hectares,368724000
1994,Forest area,Hectares,368647000
1995,Forest area,Hectares,368607000
1996,Forest area,Hectares,368572000
1997,Forest area,Hectares,368535000
1998,Forest area,Hectares,368498000
1999,Forest area,Hectares,368456000
2000,Forest area,Hectares,368411000
2001,Forest area,Hectares,368372000
2002,Forest area,Hectares,368333000
2003,Forest area,Hectares,368281000
2004,Forest area,Hectares,368232000
2005,Forest area,Hectares,368184000
2006,Forest area,Hectares,368140000
2007,Forest area,Hectares,368064000
2008,Forest area,Hectares,368017000
2009,Forest area,Hectares,367971000
2010,Forest area,Hectares,367929000
2011,Forest area,Hectares,367889000
2012,Forest area,Hectares,367847000
2013,Forest area,Hectares,367804000
2014,Forest area,Hectares,367751000
2015,Forest area,Hectares,367694000
2016,Forest area,Hectares,367638000
2017,Forest area,Hectares,367582000
2018,Forest area,Hectares,367530000
2019,Forest area,Hectares,367480000
2020,Forest area,Hectares,367429000
2021,Forest area,Hectares,367379000
2022,Forest area,Hectares,367330000
1990,Land area,Hectares,896559000
1991,Land area,Hectares,896559000
1992,Land area,Hectares,896559000
1993,Land area,Hectares,896559000
1994,Land area,Hectares,896559000
1995,Land area,Hectares,896559000
1996,Land area,Hectares,896559000
1997,Land area,Hectares,896559000
1998,Land area,Hectares,896559000
1999,Land area,Hectares,896559000
2000,Land area,Hectares,896559000
2001,Land area,Hectares,896559000
2002,Land area,Hectares,896559000
2003,Land area,Hectares,896559000
2004,Land area,Hectares,896559000
2005,Land area,Hectares,896559000
2006,Land area,Hectares,896559000
2007,Land area,Hectares,896559000
2008,Land area,Hectares,896559000
2009,Land area,Hectares,896559000
2010,Land area,Hectares,896559000
2011,Land area,Hectares,896559000
2012,Land area,Hectares,896559000
2013,Land area,Hectares,896559000
2014,Land area,Hectares,896559000
2015,Land area,Hectares,896559000
2016,Land area,Hectares,896559000
2017,Land area,Hectares,896559000
2018,Land area,Hectares,896559000
2019,Land area,Hectares,896559000
2020,Land area,Hectares,896559000
2021,Land area,Hectares,896559000
2022,Land area,Hectares,896559000
