Year,Geography,Gender,Indigenous identity,GeoCode,Value
2014,,,,NA,1.48
2015,,,,NA,1.71
2016,,,,NA,1.71
2017,,,,NA,1.83
2018,,,,NA,1.79
2019,,,,NA,1.83
2020,,,,NA,2
2021,,,,NA,2.06
2014,Canada,All genders,Indigenous identity,NA,7.19
2014,Canada,All genders,Non-Indigenous identity,NA,1.18
2014,Canada,Male,Total,NA,2.12
2014,Canada,Male,Indigenous identity,NA,10.87
2014,Canada,Male,Non-Indigenous identity,NA,1.65
2014,Canada,Female,Total,NA,0.86
2014,Canada,Female,Indigenous identity,NA,3.63
2014,Canada,Female,Non-Indigenous identity,NA,0.72
2014,Newfoundland and Labrador,All genders,Total,10,0.38
2014,Newfoundland and Labrador,All genders,Indigenous identity,NA,0
2014,Newfoundland and Labrador,All genders,Non-Indigenous identity,NA,0.41
2014,Newfoundland and Labrador,Male,Total,NA,0.77
2014,Newfoundland and Labrador,Male,Indigenous identity,NA,0
2014,Newfoundland and Labrador,Male,Non-Indigenous identity,NA,0.83
2014,Newfoundland and Labrador,Female,Total,NA,0
2014,Newfoundland and Labrador,Female,Indigenous identity,NA,0
2014,Newfoundland and Labrador,Female,Non-Indigenous identity,NA,0
2014,Prince Edward Island,All genders,Total,11,2.06
2014,Prince Edward Island,All genders,Indigenous identity,NA,0
2014,Prince Edward Island,All genders,Non-Indigenous identity,NA,2.1
2014,Prince Edward Island,Male,Total,NA,4.23
2014,Prince Edward Island,Male,Indigenous identity,NA,0
2014,Prince Edward Island,Male,Non-Indigenous identity,NA,4.31
2014,Prince Edward Island,Female,Total,NA,0
2014,Prince Edward Island,Female,Indigenous identity,NA,0
2014,Prince Edward Island,Female,Non-Indigenous identity,NA,0
2014,Nova Scotia,All genders,Total,12,0.64
2014,Nova Scotia,All genders,Indigenous identity,NA,2.14
2014,Nova Scotia,All genders,Non-Indigenous identity,NA,0.45
2014,Nova Scotia,Male,Total,NA,0.87
2014,Nova Scotia,Male,Indigenous identity,NA,0
2014,Nova Scotia,Male,Non-Indigenous identity,NA,0.68
2014,Nova Scotia,Female,Total,NA,0.42
2014,Nova Scotia,Female,Indigenous identity,NA,4.19
2014,Nova Scotia,Female,Non-Indigenous identity,NA,0.22
2014,New Brunswick,All genders,Total,13,1.45
2014,New Brunswick,All genders,Indigenous identity,NA,0
2014,New Brunswick,All genders,Non-Indigenous identity,NA,1.5
2014,New Brunswick,Male,Total,NA,1.6
2014,New Brunswick,Male,Indigenous identity,NA,0
2014,New Brunswick,Male,Non-Indigenous identity,NA,1.66
2014,New Brunswick,Female,Total,NA,1.3
2014,New Brunswick,Female,Indigenous identity,NA,0
2014,New Brunswick,Female,Non-Indigenous identity,NA,1.35
2014,Quebec,All genders,Total,24,0.89
2014,Quebec,All genders,Indigenous identity,NA,2.15
2014,Quebec,All genders,Non-Indigenous identity,NA,0.83
2014,Quebec,Male,Total,NA,1.19
2014,Quebec,Male,Indigenous identity,NA,2.12
2014,Quebec,Male,Non-Indigenous identity,NA,1.11
2014,Quebec,Female,Total,NA,0.59
2014,Quebec,Female,Indigenous identity,NA,2.17
2014,Quebec,Female,Non-Indigenous identity,NA,0.55
2014,Ontario,All genders,Total,35,1.15
2014,Ontario,All genders,Indigenous identity,NA,5.57
2014,Ontario,All genders,Non-Indigenous identity,NA,1
2014,Ontario,Male,Total,NA,1.72
2014,Ontario,Male,Indigenous identity,NA,9.8
2014,Ontario,Male,Non-Indigenous identity,NA,1.46
2014,Ontario,Female,Total,NA,0.59
2014,Ontario,Female,Indigenous identity,NA,1.55
2014,Ontario,Female,Non-Indigenous identity,NA,0.55
2014,Manitoba,All genders,Total,46,3.51
2014,Manitoba,All genders,Indigenous identity,NA,12.88
2014,Manitoba,All genders,Non-Indigenous identity,NA,1.52
2014,Manitoba,Male,Total,NA,5.18
2014,Manitoba,Male,Indigenous identity,NA,19.87
2014,Manitoba,Male,Non-Indigenous identity,NA,2.09
2014,Manitoba,Female,Total,NA,1.87
2014,Manitoba,Female,Indigenous identity,NA,6.12
2014,Manitoba,Female,Non-Indigenous identity,NA,0.95
2014,Saskatchewan,All genders,Total,47,2.17
2014,Saskatchewan,All genders,Indigenous identity,NA,6.73
2014,Saskatchewan,All genders,Non-Indigenous identity,NA,1.29
2014,Saskatchewan,Male,Total,NA,3.41
2014,Saskatchewan,Male,Indigenous identity,NA,12.59
2014,Saskatchewan,Male,Non-Indigenous identity,NA,1.7
2014,Saskatchewan,Female,Total,NA,0.91
2014,Saskatchewan,Female,Indigenous identity,NA,1.1
2014,Saskatchewan,Female,Non-Indigenous identity,NA,0.87
2014,Alberta,All genders,Total,48,2.65
2014,Alberta,All genders,Indigenous identity,NA,12.23
2014,Alberta,All genders,Non-Indigenous identity,NA,1.99
2014,Alberta,Male,Total,NA,3.63
