"Year","Geography","Source","GeoCode","Value"
1990,,,,607.749
1991,,,,603.138
1992,,,,621.535
1993,,,,626.611
1994,,,,649.034
1995,,,,667.913
1996,,,,689.258
1997,,,,705.538
1998,,,,712.158
1999,,,,722.853
2000,,,,747.739
2001,,,,738.885
2002,,,,744.657
2003,,,,763.143
2004,,,,766.724
2005,,,,761.492
2006,,,,756.77
2007,,,,776.521
2008,,,,759.573
2009,,,,716.135
2010,,,,728.517
2011,,,,738.322
2012,,,,743.855
2013,,,,750.97
2014,,,,749.706
2015,,,,745.716
2016,,,,731.323
2017,,,,742.01
2018,,,,752.631
2019,,,,752.025
2020,,,,686.362
2021,,,,698.441
2022,,,,707.767
1990,"Alberta","Provincial Inventory Total",48,177.176
1990,"Alberta","Oil and Gas",48,73.203
1990,"Alberta","Transport",48,15.213
1990,"Alberta","Heavy Industry",48,12.768
1990,"Alberta","Light Manufacturing, Construction and Forest Resources",48,6.278
1990,"Alberta","Buildings",48,12.223
1990,"Alberta","Waste",48,2.151
1990,"Alberta","Agriculture",48,14.704
1990,"British Columbia","Provincial Inventory Total",59,51.131
1990,"British Columbia","Oil and Gas",59,8.378
1990,"British Columbia","Transport",59,15.013
1990,"British Columbia","Heavy Industry",59,8.894
1990,"British Columbia","Light Manufacturing, Construction and Forest Resources",59,3.334
1990,"British Columbia","Buildings",59,7.698
1990,"British Columbia","Waste",59,2.686
1990,"British Columbia","Agriculture",59,2.438
1990,"Canada","Transport",,117.874
1990,"Canada","Heavy Industry",,96.795
1990,"Canada","Light Manufacturing, Construction and Forest Resources",,31.515
1990,"Canada","Buildings",,72.382
1990,"Canada","Waste",,21.314
1990,"Canada","Agriculture",,50.682
1990,"Canada","Oil and Gas",,118.201
1990,"Manitoba","Provincial Inventory Total",46,18.23
1990,"Manitoba","Oil and Gas",46,1.502
1990,"Manitoba","Transport",46,5.01
1990,"Manitoba","Heavy Industry",46,1.447
1990,"Manitoba","Light Manufacturing, Construction and Forest Resources",46,0.77
1990,"Manitoba","Buildings",46,3.11
1990,"Manitoba","Waste",46,0.883
1990,"Manitoba","Agriculture",46,4.984
1990,"New Brunswick","Provincial Inventory Total",13,16.17
1990,"New Brunswick","Oil and Gas",13,1.219
1990,"New Brunswick","Transport",13,3.513
1990,"New Brunswick","Heavy Industry",13,1.816
1990,"New Brunswick","Light Manufacturing, Construction and Forest Resources",13,0.634
1990,"New Brunswick","Buildings",13,1.664
1990,"New Brunswick","Waste",13,0.782
1990,"New Brunswick","Agriculture",13,0.519
1990,"Newfoundland and Labrador","Provincial Inventory Total",10,9.47
1990,"Newfoundland and Labrador","Oil and Gas",10,1.074
1990,"Newfoundland and Labrador","Transport",10,2.694
1990,"Newfoundland and Labrador","Heavy Industry",10,1.935
1990,"Newfoundland and Labrador","Light Manufacturing, Construction and Forest Resources",10,0.383
1990,"Newfoundland and Labrador","Buildings",10,1.064
1990,"Newfoundland and Labrador","Waste",10,0.601
1990,"Newfoundland and Labrador","Agriculture",10,0.078
1990,"Northwest Territories","Territorial Inventory Total",61,1.789
1990,"Northwest Territories","Oil and Gas",61,0.393
1990,"Northwest Territories","Transport",61,0.524
1990,"Northwest Territories","Heavy Industry",61,0.193
1990,"Northwest Territories","Light Manufacturing, Construction and Forest Resources",61,0.073
1990,"Northwest Territories","Buildings",61,0.409
1990,"Northwest Territories","Waste",61,0.038
1990,"Northwest Territories","Agriculture",61,0.002
1990,"Nova Scotia","Provincial Inventory Total",12,19.604
1990,"Nova Scotia","Oil and Gas",12,0.717
1990,"Nova Scotia","Transport",12,4.116
1990,"Nova Scotia","Heavy Industry",12,1.062
1990,"Nova Scotia","Light Manufacturing, Construction and Forest Resources",12,0.63
1990,"Nova Scotia","Buildings",12,2.967
1990,"Nova Scotia","Waste",12,0.801
1990,"Nova Scotia","Agriculture",12,0.571
1990,"Ontario","Provincial Inventory Total",35,178.443
1990,"Ontario","Oil and Gas",35,10.411
1990,"Ontario","Transport",35,41.537
1990,"Ontario","Heavy Industry",35,42.185
1990,"Ontario","Light Manufacturing, Construction and Forest Resources",35,12.88
1990,"Ontario","Buildings",35,27.59
1990,"Ontario","Waste",35,7.315
1990,"Ontario","Agriculture",35,10.852
1990,"Prince Edward Island","Provincial Inventory Total",11,1.781
1990,"Prince Edward Island","Oil and Gas",11,0
1990,"Prince Edward Island","Transport",11,0.533
1990,"Prince Edward Island","Heavy Industry",11,0.01
1990,"Prince Edward Island","Light Manufacturing, Construction and Forest Resources",11,0.133
1990,"Prince Edward Island","Buildings",11,0.57
1990,"Prince Edward Island","Waste",11,0.073
1990,"Prince Edward Island","Agriculture",11,0.358
1990,"Quebec","Provincial Inventory Total",24,84.384
1990,"Quebec","Oil and Gas",24,3.948
1990,"Quebec","Transport",24,24.594
1990,"Quebec","Heavy Industry",24,24.674
1990,"Quebec","Light Manufacturing, Construction and Forest Resources",24,5.585
1990,"Quebec","Buildings",24,11.815
1990,"Quebec","Waste",24,4.966
1990,"Quebec","Agriculture",24,7.272
1990,"Saskatchewan","Provincial Inventory Total",47,49.021
1990,"Saskatchewan","Oil and Gas",47,17.356
1990,"Saskatchewan","Transport",47,4.904
1990,"Saskatchewan","Heavy Industry",47,1.737
1990,"Saskatchewan","Light Manufacturing, Construction and Forest Resources",47,0.787
1990,"Saskatchewan","Buildings",47,3.162
1990,"Saskatchewan","Waste",47,0.998
1990,"Saskatchewan","Agriculture",47,8.9
1990,"Yukon","Territorial Inventory Total",60,0.55
1990,"Yukon","Oil and Gas",60,0
1990,"Yukon","Transport",60,0.224
1990,"Yukon","Heavy Industry",60,0.074
1990,"Yukon","Light Manufacturing, Construction and Forest Resources",60,0.027
1990,"Yukon","Buildings",60,0.109
1990,"Yukon","Waste",60,0.02
1990,"Yukon","Agriculture",60,0.004
1991,"Alberta","Provincial Inventory Total",48,178.214
1991,"Alberta","Oil and Gas",48,74.158
1991,"Alberta","Transport",48,13.887
1991,"Alberta","Heavy Industry",48,13.236
1991,"Alberta","Light Manufacturing, Construction and Forest Resources",48,5.558
1991,"Alberta","Buildings",48,11.977
1991,"Alberta","Waste",48,1.933
1991,"Alberta","Agriculture",48,14.963
1991,"British Columbia","Provincial Inventory Total",59,50.135
1991,"British Columbia","Oil and Gas",59,8.037
1991,"British Columbia","Transport",59,14.966
1991,"British Columbia","Heavy Industry",59,9.168
1991,"British Columbia","Light Manufacturing, Construction and Forest Resources",59,2.62
1991,"British Columbia","Buildings",59,7.833
1991,"British Columbia","Waste",59,2.55
1991,"British Columbia","Agriculture",59,2.528
1991,"Canada","Oil and Gas",,119.715
1991,"Canada","Transport",,113.246
1991,"Canada","Heavy Industry",,96.616
1991,"Canada","Light Manufacturing, Construction and Forest Resources",,29.159
1991,"Canada","Buildings",,71.728
1991,"Canada","Waste",,21.383
1991,"Canada","Agriculture",,50.784
1991,"Manitoba","Provincial Inventory Total",46,17.907
1991,"Manitoba","Oil and Gas",46,1.637
1991,"Manitoba","Transport",46,4.866
1991,"Manitoba","Heavy Industry",46,1.346
1991,"Manitoba","Light Manufacturing, Construction and Forest Resources",46,0.694
1991,"Manitoba","Buildings",46,3.032
1991,"Manitoba","Waste",46,0.916
1991,"Manitoba","Agriculture",46,5.027
1991,"New Brunswick","Provincial Inventory Total",13,15.507
1991,"New Brunswick","Oil and Gas",13,1.157
1991,"New Brunswick","Transport",13,3.442
1991,"New Brunswick","Heavy Industry",13,1.759
1991,"New Brunswick","Light Manufacturing, Construction and Forest Resources",13,0.629
1991,"New Brunswick","Buildings",13,1.751
1991,"New Brunswick","Waste",13,0.796
1991,"New Brunswick","Agriculture",13,0.524
1991,"Newfoundland and Labrador","Provincial Inventory Total",10,8.415
1991,"Newfoundland and Labrador","Oil and Gas",10,1.041
1991,"Newfoundland and Labrador","Transport",10,2.651
1991,"Newfoundland and Labrador","Heavy Industry",10,1.396
1991,"Newfoundland and Labrador","Light Manufacturing, Construction and Forest Resources",10,0.302
1991,"Newfoundland and Labrador","Buildings",10,1.019
1991,"Newfoundland and Labrador","Waste",10,0.614
1991,"Newfoundland and Labrador","Agriculture",10,0.091
1991,"Northwest Territories","Territorial Inventory Total",61,1.761
1991,"Northwest Territories","Oil and Gas",61,0.313
1991,"Northwest Territories","Transport",61,0.485
1991,"Northwest Territories","Heavy Industry",61,0.144
1991,"Northwest Territories","Light Manufacturing, Construction and Forest Resources",61,0.048
1991,"Northwest Territories","Buildings",61,0.568
1991,"Northwest Territories","Waste",61,0.039
1991,"Northwest Territories","Agriculture",61,0.009
1991,"Nova Scotia","Provincial Inventory Total",12,19.267
1991,"Nova Scotia","Oil and Gas",12,0.793
1991,"Nova Scotia","Transport",12,3.915
1991,"Nova Scotia","Heavy Industry",12,0.91
1991,"Nova Scotia","Light Manufacturing, Construction and Forest Resources",12,0.529
1991,"Nova Scotia","Buildings",12,2.7
1991,"Nova Scotia","Waste",12,0.812
1991,"Nova Scotia","Agriculture",12,0.645
1991,"Ontario","Provincial Inventory Total",35,177.605
1991,"Ontario","Oil and Gas",35,9.781
1991,"Ontario","Transport",35,39.748
1991,"Ontario","Heavy Industry",35,42.207
1991,"Ontario","Light Manufacturing, Construction and Forest Resources",35,12.478
1991,"Ontario","Buildings",35,27.821
1991,"Ontario","Waste",35,7.608
1991,"Ontario","Agriculture",35,10.668
1991,"Prince Edward Island","Provincial Inventory Total",11,1.73
1991,"Prince Edward Island","Oil and Gas",11,0
1991,"Prince Edward Island","Transport",11,0.533
1991,"Prince Edward Island","Heavy Industry",11,0.009
1991,"Prince Edward Island","Light Manufacturing, Construction and Forest Resources",11,0.137
1991,"Prince Edward Island","Buildings",11,0.534
1991,"Prince Edward Island","Waste",11,0.074
1991,"Prince Edward Island","Agriculture",11,0.351
1991,"Quebec","Provincial Inventory Total",24,79.922
1991,"Quebec","Oil and Gas",24,3.431
1991,"Quebec","Transport",24,23.299
1991,"Quebec","Heavy Industry",24,24.593
1991,"Quebec","Light Manufacturing, Construction and Forest Resources",24,4.85
1991,"Quebec","Buildings",24,11.111
1991,"Quebec","Waste",24,4.983
1991,"Quebec","Agriculture",24,7.129
1991,"Saskatchewan","Provincial Inventory Total",47,52.163
1991,"Saskatchewan","Oil and Gas",47,19.362
1991,"Saskatchewan","Transport",47,5.234
1991,"Saskatchewan","Heavy Industry",47,1.77
1991,"Saskatchewan","Light Manufacturing, Construction and Forest Resources",47,1.289
1991,"Saskatchewan","Buildings",47,3.282
1991,"Saskatchewan","Waste",47,1.036
1991,"Saskatchewan","Agriculture",47,8.842
1991,"Yukon","Territorial Inventory Total",60,0.512
1991,"Yukon","Oil and Gas",60,0.004
1991,"Yukon","Transport",60,0.219
1991,"Yukon","Heavy Industry",60,0.078
1991,"Yukon","Light Manufacturing, Construction and Forest Resources",60,0.027
1991,"Yukon","Buildings",60,0.101
1991,"Yukon","Waste",60,0.021
1991,"Yukon","Agriculture",60,0.007
1992,"Alberta","Provincial Inventory Total",48,186.133
1992,"Alberta","Oil and Gas",48,79.265
1992,"Alberta","Transport",48,13.952
1992,"Alberta","Heavy Industry",48,13.023
