"Year","Units","Assistance type","Value"
2015,"US dollar, Millions, 2024 constant prices",,386.431757
2016,"US dollar, Millions, 2024 constant prices",,416.757763
2017,"US dollar, Millions, 2024 constant prices",,393.230847
2018,"US dollar, Millions, 2024 constant prices",,354.901968
2019,"US dollar, Millions, 2024 constant prices",,272.054498
2020,"US dollar, Millions, 2024 constant prices",,356.431981
2021,"US dollar, Millions, 2024 constant prices",,1227.097877
2022,"US dollar, Millions, 2024 constant prices",,939.904629
2023,"US dollar, Millions, 2024 constant prices",,443.043613
2024,"US dollar, Millions, 2024 constant prices",,223.085969
2015,"US dollar, Millions, 2024 constant prices","Basic health",347.06417
2015,"US dollar, Millions, 2024 constant prices","Medical research",39.367587
2016,"US dollar, Millions, 2024 constant prices","Basic health",385.902534
2016,"US dollar, Millions, 2024 constant prices","Medical research",30.855229
2017,"US dollar, Millions, 2024 constant prices","Basic health",386.322017
2017,"US dollar, Millions, 2024 constant prices","Medical research",6.90883
2018,"US dollar, Millions, 2024 constant prices","Basic health",345.524177
2018,"US dollar, Millions, 2024 constant prices","Medical research",9.377791
2019,"US dollar, Millions, 2024 constant prices","Basic health",264.294956
2019,"US dollar, Millions, 2024 constant prices","Medical research",7.759542
2020,"US dollar, Millions, 2024 constant prices","Basic health",348.98404
2020,"US dollar, Millions, 2024 constant prices","Medical research",7.447941
2021,"US dollar, Millions, 2024 constant prices","Basic health",1221.834893
2021,"US dollar, Millions, 2024 constant prices","Medical research",5.262984
2022,"US dollar, Millions, 2024 constant prices","Basic health",935.95281
2022,"US dollar, Millions, 2024 constant prices","Medical research",3.951819
2023,"US dollar, Millions, 2024 constant prices","Basic health",439.032008
2023,"US dollar, Millions, 2024 constant prices","Medical research",4.011605
2024,"US dollar, Millions, 2024 constant prices","Basic health",220.633591
2024,"US dollar, Millions, 2024 constant prices","Medical research",2.452378
