Year,Series,Units,Basic services,Sources of waste for disposal,Proficiency level,Sex,"Geography",GeoCode,Value
2000,Access to basic drinking water services,Percentage (%),,,,,,,99.6
2001,Access to basic drinking water services,Percentage (%),,,,,,,99.6
2002,Access to basic drinking water services,Percentage (%),,,,,,,99.6
2003,Access to basic drinking water services,Percentage (%),,,,,,,99.6
2004,Access to basic drinking water services,Percentage (%),,,,,,,99.6
2005,Access to basic drinking water services,Percentage (%),,,,,,,99.5
2006,Access to basic drinking water services,Percentage (%),,,,,,,99.4
2007,Access to basic drinking water services,Percentage (%),,,,,,,99.4
2008,Access to basic drinking water services,Percentage (%),,,,,,,99.3
2009,Access to basic drinking water services,Percentage (%),,,,,,,99.2
2010,Access to basic drinking water services,Percentage (%),,,,,,,99.2
2011,Access to basic drinking water services,Percentage (%),,,,,,,99.1
2012,Access to basic drinking water services,Percentage (%),,,,,,,99
2013,Access to basic drinking water services,Percentage (%),,,,,,,99
2014,Access to basic drinking water services,Percentage (%),,,,,,,98.9
2015,Access to basic drinking water services,Percentage (%),,,,,,,98.8
2016,Access to basic drinking water services,Percentage (%),,,,,,,98.8
2017,Access to basic drinking water services,Percentage (%),,,,,,,98.7
2018,Access to basic drinking water services,Percentage (%),,,,,,,98.6
2019,Access to basic drinking water services,Percentage (%),,,,,,,98.6
2020,Access to basic drinking water services,Percentage (%),,,,,,,98.5
2021,Access to basic drinking water services,Percentage (%),,,,,,,98.4
2022,Access to basic drinking water services,Percentage (%),,,,,,,98.4
2023,Access to basic drinking water services,Percentage (%),,,,,,,98.3
2024,Access to basic drinking water services,Percentage (%),,,,,,,98.3
2000,Access to basic sanitation services,Percentage (%),,,,,,,99.9
2001,Access to basic sanitation services,Percentage (%),,,,,,,99.9
2002,Access to basic sanitation services,Percentage (%),,,,,,,99.9
2003,Access to basic sanitation services,Percentage (%),,,,,,,99.9
2004,Access to basic sanitation services,Percentage (%),,,,,,,99.9
2005,Access to basic sanitation services,Percentage (%),,,,,,,99.9
2006,Access to basic sanitation services,Percentage (%),,,,,,,99.8
2007,Access to basic sanitation services,Percentage (%),,,,,,,99.8
2008,Access to basic sanitation services,Percentage (%),,,,,,,99.7
2009,Access to basic sanitation services,Percentage (%),,,,,,,99.6
2010,Access to basic sanitation services,Percentage (%),,,,,,,99.5
2011,Access to basic sanitation services,Percentage (%),,,,,,,99.4
2012,Access to basic sanitation services,Percentage (%),,,,,,,99.3
2013,Access to basic sanitation services,Percentage (%),,,,,,,99.3
2014,Access to basic sanitation services,Percentage (%),,,,,,,99.2
2015,Access to basic sanitation services,Percentage (%),,,,,,,99.1
2016,Access to basic sanitation services,Percentage (%),,,,,,,99
2017,Access to basic sanitation services,Percentage (%),,,,,,,98.9
2018,Access to basic sanitation services,Percentage (%),,,,,,,98.8
2019,Access to basic sanitation services,Percentage (%),,,,,,,98.8
2020,Access to basic sanitation services,Percentage (%),,,,,,,98.7
2021,Access to basic sanitation services,Percentage (%),,,,,,,98.6
2022,Access to basic sanitation services,Percentage (%),,,,,,,98.6
2023,Access to basic sanitation services,Percentage (%),,,,,,,98.6
2024,Access to basic sanitation services,Percentage (%),,,,,,,98.6
2015,Access to clean fuels and technology,Percentage (%),,,,,,,100
2016,Access to clean fuels and technology,Percentage (%),,,,,,,100
2017,Access to clean fuels and technology,Percentage (%),,,,,,,100
2018,Access to clean fuels and technology,Percentage (%),,,,,,,100
2019,Access to clean fuels and technology,Percentage (%),,,,,,,100
2020,Access to clean fuels and technology,Percentage (%),,,,,,,100
2021,Access to clean fuels and technology,Percentage (%),,,,,,,100
2022,Access to clean fuels and technology,Percentage (%),,,,,,,100
2023,Access to clean fuels and technology,Percentage (%),,,,,,,100
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,,,97.7
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,"Newfoundland and Labrador",10,96.1
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,"Prince Edward Island",11,99.9
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,"Nova Scotia",12,97.7
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,"New Brunswick",13,97.1
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,"Quebec",24,98
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,"Ontario",35,98.8
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,"Manitoba",46,97.2
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,"Saskatchewan",47,98.2
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,"Alberta",48,98
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,"British Columbia",59,95
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,"Yukon",60,88.2
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,"Northwest Territories",61,91.8
2021,Access to basic mobility,Percentage (%),Proportion of the rural population who live within 2 km of an all-season road,,,,"Nunavut",62,82.2
2002,Access to basic waste collection services,Tonnes,,,,,,,24081371
2004,Access to basic waste collection services,Tonnes,,,,,,,25226766
2006,Access to basic waste collection services,Tonnes,,,,,,,26417011
2008,Access to basic waste collection services,Tonnes,,,,,,,25926476
2010,Access to basic waste collection services,Tonnes,,,,,,,24952415
2012,Access to basic waste collection services,Tonnes,,,,,,,24681474
2014,Access to basic waste collection services,Tonnes,,,,,,,24766650
2016,Access to basic waste collection services,Tonnes,,,,,,,24940747
2018,Access to basic waste collection services,Tonnes,,,,,,,25733021
2020,Access to basic waste collection services,Tonnes,,,,,,,26107720
2022,Access to basic waste collection services,Tonnes,,,,,,,26617188
2002,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,,,8446766
2002,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,,,15634606
2002,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Newfoundland and Labrador",10,376594
2002,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Newfoundland and Labrador",,216218
2002,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Newfoundland and Labrador",,160376
2002,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Prince Edward Island",11,
2002,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Prince Edward Island",,
2002,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Prince Edward Island",,
2002,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Nova Scotia",12,389194
2002,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Nova Scotia",,169649
2002,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Nova Scotia",,219546
2002,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"New Brunswick",13,413606
2002,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"New Brunswick",,203506
2002,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"New Brunswick",,210100
2002,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Quebec",24,5846459
2002,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Quebec",,1875235
2002,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Quebec",,3971225
2002,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Ontario",35,9645633
2002,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Ontario",,3438408
2002,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Ontario",,6207225
2002,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Manitoba",46,896556
2002,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Manitoba",,412612
2002,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Manitoba",,483944
2002,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Saskatchewan",47,795124
2002,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Saskatchewan",,278692
2002,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Saskatchewan",,516432
2002,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Alberta",48,2890294
2002,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Alberta",,866398
2002,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Alberta",,2023896
2002,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"British Columbia",59,2687882
2002,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"British Columbia",,929101
2002,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"British Columbia",,1758781
2002,Access to basic waste collection services,Tonnes,,All sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2002,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2002,Access to basic waste collection services,Tonnes,,Non-residential sources of waste for disposal,,,"Yukon, Northwest Territories and Nunavut",,
2004,Access to basic waste collection services,Tonnes,,Residential sources of waste for disposal,,,,,8961583
