"Year","Geography","Educational attainment level","Age group","Sex","GeoCode","Value"
2015,"Canada","Pre-primary and primary","Total, 25 to 64 years","Both sexes",,2
2015,"Canada","Pre-primary and primary","Total, 25 to 64 years","Male",,3
2015,"Canada","Pre-primary and primary","Total, 25 to 64 years","Female",,2
2015,"Canada","Pre-primary and primary","25 to 34 years","Both sexes",,1
2015,"Canada","Pre-primary and primary","25 to 34 years","Male",,1
2015,"Canada","Pre-primary and primary","25 to 34 years","Female",,1
2015,"Canada","Pre-primary and primary","30 to 34 years","Both sexes",,1
2015,"Canada","Pre-primary and primary","30 to 34 years","Male",,1
2015,"Canada","Pre-primary and primary","30 to 34 years","Female",,1
2015,"Canada","Pre-primary and primary","35 to 44 years","Both sexes",,2
2015,"Canada","Pre-primary and primary","35 to 44 years","Male",,2
2015,"Canada","Pre-primary and primary","35 to 44 years","Female",,1
2015,"Canada","Pre-primary and primary","45 to 54 years","Both sexes",,2
2015,"Canada","Pre-primary and primary","45 to 54 years","Male",,3
2015,"Canada","Pre-primary and primary","45 to 54 years","Female",,2
2015,"Canada","Pre-primary and primary","55 to 64 years","Both sexes",,5
2015,"Canada","Pre-primary and primary","55 to 64 years","Male",,5
2015,"Canada","Pre-primary and primary","55 to 64 years","Female",,5
2015,"Canada","Lower secondary","Total, 25 to 64 years","Both sexes",,7
2015,"Canada","Lower secondary","Total, 25 to 64 years","Male",,8
2015,"Canada","Lower secondary","Total, 25 to 64 years","Female",,6
2015,"Canada","Lower secondary","25 to 34 years","Both sexes",,5
2015,"Canada","Lower secondary","25 to 34 years","Male",,7
2015,"Canada","Lower secondary","25 to 34 years","Female",,4
2015,"Canada","Lower secondary","30 to 34 years","Both sexes",,5
2015,"Canada","Lower secondary","30 to 34 years","Male",,6
2015,"Canada","Lower secondary","30 to 34 years","Female",,4
2015,"Canada","Lower secondary","35 to 44 years","Both sexes",,5
2015,"Canada","Lower secondary","35 to 44 years","Male",,6
2015,"Canada","Lower secondary","35 to 44 years","Female",,5
2015,"Canada","Lower secondary","45 to 54 years","Both sexes",,7
2015,"Canada","Lower secondary","45 to 54 years","Male",,9
2015,"Canada","Lower secondary","45 to 54 years","Female",,6
2015,"Canada","Lower secondary","55 to 64 years","Both sexes",,11
2015,"Canada","Lower secondary","55 to 64 years","Male",,12
2015,"Canada","Lower secondary","55 to 64 years","Female",,10
2015,"Canada","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Both sexes",,35
2015,"Canada","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Male",,40
2015,"Canada","Upper secondary and post-secondary non-tertiary","Total, 25 to 64 years","Female",,31
2015,"Canada","Upper secondary and post-secondary non-tertiary","25 to 34 years","Both sexes",,34
2015,"Canada","Upper secondary and post-secondary non-tertiary","25 to 34 years","Male",,42
2015,"Canada","Upper secondary and post-secondary non-tertiary","25 to 34 years","Female",,27
2015,"Canada","Upper secondary and post-secondary non-tertiary","30 to 34 years","Both sexes",,33
2015,"Canada","Upper secondary and post-secondary non-tertiary","30 to 34 years","Male",,40
