"Year","Geography","Activity group","Age group","Gender","GeoCode","Value"
"2015",,,,,,12.5
"2015","Canada","Total, unpaid work activities","Total, 15 years and over","Men+",,10
"2015","Canada","Total, unpaid work activities","Total, 15 years and over","Women+",,15
"2015","Canada","Total, unpaid work activities","15 to 24 years","Total, all persons",,5.4
"2015","Canada","Total, unpaid work activities","15 to 24 years","Men+",,4.6
"2015","Canada","Total, unpaid work activities","15 to 24 years","Women+",,6.7
"2015","Canada","Total, unpaid work activities","25 to 54 years","Total, all persons",,13.3
"2015","Canada","Total, unpaid work activities","25 to 54 years","Men+",,10.4
"2015","Canada","Total, unpaid work activities","25 to 54 years","Women+",,16.3
"2015","Canada","Total, unpaid work activities","25 to 34 years","Total, all persons",,12.1
"2015","Canada","Total, unpaid work activities","25 to 34 years","Men+",,7.9
"2015","Canada","Total, unpaid work activities","25 to 34 years","Women+",,15.8
"2015","Canada","Total, unpaid work activities","35 to 44 years","Total, all persons",,15
"2015","Canada","Total, unpaid work activities","35 to 44 years","Men+",,11.7
"2015","Canada","Total, unpaid work activities","35 to 44 years","Women+",,17.9
"2015","Canada","Total, unpaid work activities","45 to 54 years","Total, all persons",,13.3
"2015","Canada","Total, unpaid work activities","45 to 54 years","Men+",,11.3
"2015","Canada","Total, unpaid work activities","45 to 54 years","Women+",,15.4
"2015","Canada","Total, unpaid work activities","55 to 64 years","Total, all persons",,14.2
"2015","Canada","Total, unpaid work activities","55 to 64 years","Men+",,12.1
"2015","Canada","Total, unpaid work activities","55 to 64 years","Women+",,16.3
"2015","Canada","Total, unpaid work activities","65 years and over","Total, all persons",,15
"2015","Canada","Total, unpaid work activities","65 years and over","Men+",,13.3
"2015","Canada","Total, unpaid work activities","65 years and over","Women+",,16.7
"2015","Canada","Unpaid household work","Total, 15 years and over","Total, all persons",,8.8
"2015","Canada","Unpaid household work","Total, 15 years and over","Men+",,7.1
"2015","Canada","Unpaid household work","Total, 15 years and over","Women+",,10
"2015","Canada","Unpaid household work","15 to 24 years","Total, all persons",,3.8
"2015","Canada","Unpaid household work","15 to 24 years","Men+",,3.3
"2015","Canada","Unpaid household work","15 to 24 years","Women+",,4.2
"2015","Canada","Unpaid household work","25 to 54 years","Total, all persons",,8.3
"2015","Canada","Unpaid household work","25 to 54 years","Men+",,6.7
"2015","Canada","Unpaid household work","25 to 54 years","Women+",,10
"2015","Canada","Unpaid household work","25 to 34 years","Total, all persons",,6.7
"2015","Canada","Unpaid household work","25 to 34 years","Men+",,5
"2015","Canada","Unpaid household work","25 to 34 years","Women+",,8.3
"2015","Canada","Unpaid household work","35 to 44 years","Total, all persons",,8.3
"2015","Canada","Unpaid household work","35 to 44 years","Men+",,6.7
"2015","Canada","Unpaid household work","35 to 44 years","Women+",,10
"2015","Canada","Unpaid household work","45 to 54 years","Total, all persons",,10
"2015","Canada","Unpaid household work","45 to 54 years","Men+",,8.8
"2015","Canada","Unpaid household work","45 to 54 years","Women+",,11.3
"2015","Canada","Unpaid household work","55 to 64 years","Total, all persons",,10.8
"2015","Canada","Unpaid household work","55 to 64 years","Men+",,9.6
"2015","Canada","Unpaid household work","55 to 64 years","Women+",,12.1
"2015","Canada","Unpaid household work","65 years and over","Total, all persons",,11.7
"2015","Canada","Unpaid household work","65 years and over","Men+",,10
"2015","Canada","Unpaid household work","65 years and over","Women+",,13.3
"2015","Canada","Care of children under 18 years","Total, 15 years and over","Total, all persons",,1.7
"2015","Canada","Care of children under 18 years","Total, 15 years and over","Men+",,1.3
"2015","Canada","Care of children under 18 years","Total, 15 years and over","Women+",,2.1
"2015","Canada","Care of children under 18 years","15 to 24 years","Total, all persons",,0.4
"2015","Canada","Care of children under 18 years","15 to 24 years","Men+",,
"2015","Canada","Care of children under 18 years","15 to 24 years","Women+",,0.4
"2015","Canada","Care of children under 18 years","25 to 54 years","Total, all persons",,2.9
"2015","Canada","Care of children under 18 years","25 to 54 years","Men+",,2.1
"2015","Canada","Care of children under 18 years","25 to 54 years","Women+",,3.8
"2015","Canada","Care of children under 18 years","25 to 34 years","Total, all persons",,3.3
"2015","Canada","Care of children under 18 years","25 to 34 years","Men+",,1.7
"2015","Canada","Care of children under 18 years","25 to 34 years","Women+",,5
"2015","Canada","Care of children under 18 years","35 to 44 years","Total, all persons",,4.2
"2015","Canada","Care of children under 18 years","35 to 44 years","Men+",,3.3
"2015","Canada","Care of children under 18 years","35 to 44 years","Women+",,5.4
"2015","Canada","Care of children under 18 years","45 to 54 years","Total, all persons",,1.3
"2015","Canada","Care of children under 18 years","45 to 54 years","Men+",,0.8
"2015","Canada","Care of children under 18 years","45 to 54 years","Women+",,1.3
"2015","Canada","Care of children under 18 years","55 to 64 years","Total, all persons",,0.4
"2015","Canada","Care of children under 18 years","55 to 64 years","Men+",,
"2015","Canada","Care of children under 18 years","55 to 64 years","Women+",,0.4
"2015","Canada","Care of children under 18 years","65 years and over","Total, all persons",,0.4
"2015","Canada","Care of children under 18 years","65 years and over","Men+",,0.4
"2015","Canada","Care of children under 18 years","65 years and over","Women+",,0.4
"2015","Canada","Care of adults","Total, 15 years and over","Total, all persons",,
"2015","Canada","Care of adults","Total, 15 years and over","Men+",,
"2015","Canada","Care of adults","Total, 15 years and over","Women+",,
"2015","Canada","Care of adults","15 to 24 years","Total, all persons",,
"2015","Canada","Care of adults","15 to 24 years","Men+",,
"2015","Canada","Care of adults","15 to 24 years","Women+",,0
"2015","Canada","Care of adults","25 to 54 years","Total, all persons",,
"2015","Canada","Care of adults","25 to 54 years","Men+",,
"2015","Canada","Care of adults","25 to 54 years","Women+",,
"2015","Canada","Care of adults","25 to 34 years","Total, all persons",,
"2015","Canada","Care of adults","25 to 34 years","Men+",,
"2015","Canada","Care of adults","25 to 34 years","Women+",,
"2015","Canada","Care of adults","35 to 44 years","Total, all persons",,
"2015","Canada","Care of adults","35 to 44 years","Men+",,
"2015","Canada","Care of adults","35 to 44 years","Women+",,
"2015","Canada","Care of adults","45 to 54 years","Total, all persons",,
"2015","Canada","Care of adults","45 to 54 years","Men+",,
"2015","Canada","Care of adults","45 to 54 years","Women+",,
"2015","Canada","Care of adults","55 to 64 years","Total, all persons",,
"2015","Canada","Care of adults","55 to 64 years","Men+",,
"2015","Canada","Care of adults","55 to 64 years","Women+",,0.4
"2015","Canada","Care of adults","65 years and over","Total, all persons",,
"2015","Canada","Care of adults","65 years and over","Men+",,
"2015","Canada","Care of adults","65 years and over","Women+",,
"2015","Canada","Shopping for goods or services","Total, 15 years and over","Total, all persons",,2.1
"2015","Canada","Shopping for goods or services","Total, 15 years and over","Men+",,1.7
"2015","Canada","Shopping for goods or services","Total, 15 years and over","Women+",,2.5
"2015","Canada","Shopping for goods or services","15 to 24 years","Total, all persons",,1.3
"2015","Canada","Shopping for goods or services","15 to 24 years","Men+",,0.8
"2015","Canada","Shopping for goods or services","15 to 24 years","Women+",,1.7
"2015","Canada","Shopping for goods or services","25 to 54 years","Total, all persons",,1.7
"2015","Canada","Shopping for goods or services","25 to 54 years","Men+",,1.3
"2015","Canada","Shopping for goods or services","25 to 54 years","Women+",,2.1
"2015","Canada","Shopping for goods or services","25 to 34 years","Total, all persons",,1.7
"2015","Canada","Shopping for goods or services","25 to 34 years","Men+",,1.3
"2015","Canada","Shopping for goods or services","25 to 34 years","Women+",,2.1
"2015","Canada","Shopping for goods or services","35 to 44 years","Total, all persons",,1.7
"2015","Canada","Shopping for goods or services","35 to 44 years","Men+",,1.7
"2015","Canada","Shopping for goods or services","35 to 44 years","Women+",,2.1
"2015","Canada","Shopping for goods or services","45 to 54 years","Total, all persons",,2.1
"2015","Canada","Shopping for goods or services","45 to 54 years","Men+",,1.7
"2015","Canada","Shopping for goods or services","45 to 54 years","Women+",,2.5
"2015","Canada","Shopping for goods or services","55 to 64 years","Total, all persons",,2.5
"2015","Canada","Shopping for goods or services","55 to 64 years","Men+",,2.1
"2015","Canada","Shopping for goods or services","55 to 64 years","Women+",,2.9
"2015","Canada","Shopping for goods or services","65 years and over","Total, all persons",,2.5
"2015","Canada","Shopping for goods or services","65 years and over","Men+",,2.5
"2015","Canada","Shopping for goods or services","65 years and over","Women+",,2.9
"2015","Atlantic","Total, unpaid work activities","Total, 15 years and over","Total, all persons","1",13.3
"2015","Atlantic","Total, unpaid work activities","Total, 15 years and over","Men+","1",11.3
"2015","Atlantic","Total, unpaid work activities","Total, 15 years and over","Women+","1",15.4
"2015","Atlantic","Total, unpaid work activities","15 to 24 years","Total, all persons","1",5.8
"2015","Atlantic","Total, unpaid work activities","15 to 24 years","Men+","1",5.4
"2015","Atlantic","Total, unpaid work activities","15 to 24 years","Women+","1",6.3
"2015","Atlantic","Total, unpaid work activities","25 to 54 years","Total, all persons","1",13.8
"2015","Atlantic","Total, unpaid work activities","25 to 54 years","Men+","1",11.3
"2015","Atlantic","Total, unpaid work activities","25 to 54 years","Women+","1",16.3
"2015","Atlantic","Total, unpaid work activities","25 to 34 years","Total, all persons","1",12.5
"2015","Atlantic","Total, unpaid work activities","25 to 34 years","Men+","1",8.8
"2015","Atlantic","Total, unpaid work activities","25 to 34 years","Women+","1",15.8
"2015","Atlantic","Total, unpaid work activities","35 to 44 years","Total, all persons","1",14.6
"2015","Atlantic","Total, unpaid work activities","35 to 44 years","Men+","1",12.5
"2015","Atlantic","Total, unpaid work activities","35 to 44 years","Women+","1",17.1
"2015","Atlantic","Total, unpaid work activities","45 to 54 years","Total, all persons","1",14.2
"2015","Atlantic","Total, unpaid work activities","45 to 54 years","Men+","1",11.7
"2015","Atlantic","Total, unpaid work activities","45 to 54 years","Women+","1",16.3
"2015","Atlantic","Total, unpaid work activities","55 to 64 years","Total, all persons","1",15.4
"2015","Atlantic","Total, unpaid work activities","55 to 64 years","Men+","1",13.3
"2015","Atlantic","Total, unpaid work activities","55 to 64 years","Women+","1",17.5
"2015","Atlantic","Total, unpaid work activities","65 years and over","Total, all persons","1",15
"2015","Atlantic","Total, unpaid work activities","65 years and over","Men+","1",13.3
"2015","Atlantic","Total, unpaid work activities","65 years and over","Women+","1",16.7
"2015","Atlantic","Unpaid household work","Total, 15 years and over","Total, all persons","1",9.2
"2015","Atlantic","Unpaid household work","Total, 15 years and over","Men+","1",8.3
"2015","Atlantic","Unpaid household work","Total, 15 years and over","Women+","1",10.4
"2015","Atlantic","Unpaid household work","15 to 24 years","Total, all persons","1",4.2
"2015","Atlantic","Unpaid household work","15 to 24 years","Men+","1",4.6
"2015","Atlantic","Unpaid household work","15 to 24 years","Women+","1",3.8
"2015","Atlantic","Unpaid household work","25 to 54 years","Total, all persons","1",8.8
"2015","Atlantic","Unpaid household work","25 to 54 years","Men+","1",7.5
"2015","Atlantic","Unpaid household work","25 to 54 years","Women+","1",10
"2015","Atlantic","Unpaid household work","25 to 34 years","Total, all persons","1",6.7
"2015","Atlantic","Unpaid household work","25 to 34 years","Men+","1",5.4
"2015","Atlantic","Unpaid household work","25 to 34 years","Women+","1",7.9
"2015","Atlantic","Unpaid household work","35 to 44 years","Total, all persons","1",8.8
"2015","Atlantic","Unpaid household work","35 to 44 years","Men+","1",7.1
"2015","Atlantic","Unpaid household work","35 to 44 years","Women+","1",10.4
"2015","Atlantic","Unpaid household work","45 to 54 years","Total, all persons","1",10.4
"2015","Atlantic","Unpaid household work","45 to 54 years","Men+","1",9.6
"2015","Atlantic","Unpaid household work","45 to 54 years","Women+","1",11.7
"2015","Atlantic","Unpaid household work","55 to 64 years","Total, all persons","1",12.1
"2015","Atlantic","Unpaid household work","55 to 64 years","Men+","1",10.8
"2015","Atlantic","Unpaid household work","55 to 64 years","Women+","1",12.9
"2015","Atlantic","Unpaid household work","65 years and over","Total, all persons","1",11.7
"2015","Atlantic","Unpaid household work","65 years and over","Men+","1",10
"2015","Atlantic","Unpaid household work","65 years and over","Women+","1",13.3
"2015","Atlantic","Care of children under 18 years","Total, 15 years and over","Total, all persons","1",1.3
"2015","Atlantic","Care of children under 18 years","Total, 15 years and over","Men+","1",0.8
"2015","Atlantic","Care of children under 18 years","Total, 15 years and over","Women+","1",1.7
"2015","Atlantic","Care of children under 18 years","15 to 24 years","Total, all persons","1",
"2015","Atlantic","Care of children under 18 years","15 to 24 years","Men+","1",
"2015","Atlantic","Care of children under 18 years","15 to 24 years","Women+","1",
"2015","Atlantic","Care of children under 18 years","25 to 54 years","Total, all persons","1",2.5
"2015","Atlantic","Care of children under 18 years","25 to 54 years","Men+","1",2.1
"2015","Atlantic","Care of children under 18 years","25 to 54 years","Women+","1",3.3
"2015","Atlantic","Care of children under 18 years","25 to 34 years","Total, all persons","1",3.8
"2015","Atlantic","Care of children under 18 years","25 to 34 years","Men+","1",1.7
"2015","Atlantic","Care of children under 18 years","25 to 34 years","Women+","1",5.8
"2015","Atlantic","Care of children under 18 years","35 to 44 years","Total, all persons","1",3.8
"2015","Atlantic","Care of children under 18 years","35 to 44 years","Men+","1",3.3
"2015","Atlantic","Care of children under 18 years","35 to 44 years","Women+","1",4.2
"2015","Atlantic","Care of children under 18 years","45 to 54 years","Total, all persons","1",0.8
"2015","Atlantic","Care of children under 18 years","45 to 54 years","Men+","1",0.8
"2015","Atlantic","Care of children under 18 years","45 to 54 years","Women+","1",0.8
