"Year","Age at time of death","Sex","Causes of death","Value"
"2015","All ages","Both sexes","Malignant neoplasms",215
"2015","All ages","Both sexes","Diabetes mellitus",20
"2015","All ages","Both sexes","Diseases of heart",143.8
"2015","All ages","Both sexes","Essential hypertension and hypertensive renal disease",4.2
"2015","All ages","Both sexes","Cerebrovascular diseases",38.5
"2015","All ages","Both sexes","Atherosclerosis",1.6
"2015","All ages","Both sexes","Aortic aneurysm and dissection",4.1
"2015","All ages","Both sexes","Chronic lower respiratory diseases",35.1
"2015","All ages","Both sexes","Pneumoconioses and chemical effects",0.3
"2015","All ages","Both sexes","Pneumonitis due to solids and liquids",3.5
"2015","All ages","Males","Malignant neoplasms",227.4
"2015","All ages","Males","Diabetes mellitus",22.2
"2015","All ages","Males","Diseases of heart",153.6
"2015","All ages","Males","Essential hypertension and hypertensive renal disease",3.2
"2015","All ages","Males","Cerebrovascular diseases",32.4
"2015","All ages","Males","Atherosclerosis",1.4
"2015","All ages","Males","Aortic aneurysm and dissection",5
"2015","All ages","Males","Chronic lower respiratory diseases",35.1
"2015","All ages","Males","Pneumoconioses and chemical effects",0.6
"2015","All ages","Males","Pneumonitis due to solids and liquids",4
"2015","All ages","Females","Malignant neoplasms",202.8
"2015","All ages","Females","Diabetes mellitus",17.8
"2015","All ages","Females","Diseases of heart",134.2
"2015","All ages","Females","Essential hypertension and hypertensive renal disease",5.1
"2015","All ages","Females","Cerebrovascular diseases",44.5
"2015","All ages","Females","Atherosclerosis",1.7
"2015","All ages","Females","Aortic aneurysm and dissection",3.3
"2015","All ages","Females","Chronic lower respiratory diseases",35.1
"2015","All ages","Females","Pneumoconioses and chemical effects",0
"2015","All ages","Females","Pneumonitis due to solids and liquids",3.1
"2015","1 to 14 years","Both sexes","Malignant neoplasms",2.4
"2015","1 to 14 years","Both sexes","Diabetes mellitus",0
"2015","1 to 14 years","Both sexes","Diseases of heart",0.3
"2015","1 to 14 years","Both sexes","Essential hypertension and hypertensive renal disease",0
"2015","1 to 14 years","Both sexes","Cerebrovascular diseases",0.2
"2015","1 to 14 years","Both sexes","Atherosclerosis",0
"2015","1 to 14 years","Both sexes","Aortic aneurysm and dissection",0
"2015","1 to 14 years","Both sexes","Chronic lower respiratory diseases",0.1
"2015","1 to 14 years","Both sexes","Pneumoconioses and chemical effects",0
"2015","1 to 14 years","Both sexes","Pneumonitis due to solids and liquids",0
"2015","1 to 14 years","Males","Malignant neoplasms",2.5
"2015","1 to 14 years","Males","Diabetes mellitus",0
"2015","1 to 14 years","Males","Diseases of heart",0.3
"2015","1 to 14 years","Males","Essential hypertension and hypertensive renal disease",0
"2015","1 to 14 years","Males","Cerebrovascular diseases",0.2
"2015","1 to 14 years","Males","Atherosclerosis",0
"2015","1 to 14 years","Males","Aortic aneurysm and dissection",0
"2015","1 to 14 years","Males","Chronic lower respiratory diseases",0.1
"2015","1 to 14 years","Males","Pneumoconioses and chemical effects",0
"2015","1 to 14 years","Males","Pneumonitis due to solids and liquids",0
"2015","1 to 14 years","Females","Malignant neoplasms",2.4
"2015","1 to 14 years","Females","Diabetes mellitus",0
"2015","1 to 14 years","Females","Diseases of heart",0.2
"2015","1 to 14 years","Females","Essential hypertension and hypertensive renal disease",0
"2015","1 to 14 years","Females","Cerebrovascular diseases",0.2
"2015","1 to 14 years","Females","Atherosclerosis",0
"2015","1 to 14 years","Females","Aortic aneurysm and dissection",0
"2015","1 to 14 years","Females","Chronic lower respiratory diseases",0.2
"2015","1 to 14 years","Females","Pneumoconioses and chemical effects",0
"2015","1 to 14 years","Females","Pneumonitis due to solids and liquids",0
"2015","1 to 4 years","Both sexes","Malignant neoplasms",2.1
"2015","1 to 4 years","Both sexes","Diabetes mellitus",0
"2015","1 to 4 years","Both sexes","Diseases of heart",0.6
"2015","1 to 4 years","Both sexes","Essential hypertension and hypertensive renal disease",0
"2015","1 to 4 years","Both sexes","Cerebrovascular diseases",0.1
"2015","1 to 4 years","Both sexes","Atherosclerosis",0
"2015","1 to 4 years","Both sexes","Aortic aneurysm and dissection",0
"2015","1 to 4 years","Both sexes","Chronic lower respiratory diseases",0
"2015","1 to 4 years","Both sexes","Pneumoconioses and chemical effects",0
"2015","1 to 4 years","Both sexes","Pneumonitis due to solids and liquids",0.1
"2015","1 to 4 years","Males","Malignant neoplasms",2.2
"2015","1 to 4 years","Males","Diabetes mellitus",0
"2015","1 to 4 years","Males","Diseases of heart",0.9
"2015","1 to 4 years","Males","Essential hypertension and hypertensive renal disease",0
"2015","1 to 4 years","Males","Cerebrovascular diseases",0.3
"2015","1 to 4 years","Males","Atherosclerosis",0
"2015","1 to 4 years","Males","Aortic aneurysm and dissection",0
"2015","1 to 4 years","Males","Chronic lower respiratory diseases",0
"2015","1 to 4 years","Males","Pneumoconioses and chemical effects",0
"2015","1 to 4 years","Males","Pneumonitis due to solids and liquids",0.1
"2015","1 to 4 years","Females","Malignant neoplasms",2
"2015","1 to 4 years","Females","Diabetes mellitus",0
"2015","1 to 4 years","Females","Diseases of heart",0.4
"2015","1 to 4 years","Females","Essential hypertension and hypertensive renal disease",0
"2015","1 to 4 years","Females","Cerebrovascular diseases",0
"2015","1 to 4 years","Females","Atherosclerosis",0
"2015","1 to 4 years","Females","Aortic aneurysm and dissection",0
"2015","1 to 4 years","Females","Chronic lower respiratory diseases",0
"2015","1 to 4 years","Females","Pneumoconioses and chemical effects",0
"2015","1 to 4 years","Females","Pneumonitis due to solids and liquids",0
"2015","5 to 9 years","Both sexes","Malignant neoplasms",2.8
"2015","5 to 9 years","Both sexes","Diabetes mellitus",0
"2015","5 to 9 years","Both sexes","Diseases of heart",0.1
"2015","5 to 9 years","Both sexes","Essential hypertension and hypertensive renal disease",0
"2015","5 to 9 years","Both sexes","Cerebrovascular diseases",0.3
"2015","5 to 9 years","Both sexes","Atherosclerosis",0
"2015","5 to 9 years","Both sexes","Aortic aneurysm and dissection",0
