"Year","Geography","Type of electricity generation","GeoCode","Value"
"2015","","",,64.91
"2016","","",,64.04
"2017","","",,65.28
"2018","","",,64.84
"2019","","",,64.5
"2020","","",,66.33
"2021","","",,66.29
"2022","","",,67.91
"2015","Alberta","Hydraulic turbine",48,3.21
"2015","Alberta","Other types of electricity generation",48,0
"2015","Alberta","Wind power turbine",48,3.86
"2015","British Columbia","Hydraulic turbine",59,90.92
"2015","Canada","Hydraulic turbine",,63.37
"2015","Canada","Other types of electricity generation",,0
"2015","Canada","Solar",,0.04
"2015","Canada","Tidal power turbine",,0
"2015","Canada","Wind power turbine",,1.49
"2015","Manitoba","Hydraulic turbine",46,98.42
"2015","Manitoba","Wind power turbine",46,1.13
"2015","New Brunswick","Hydraulic turbine",13,19.94
"2015","New Brunswick","Wind power turbine",13,4.72
"2015","Newfoundland and Labrador","Hydraulic turbine",10,95.47
"2015","Newfoundland and Labrador","Wind power turbine",10,0.23
"2015","Northwest Territories","Hydraulic turbine",61,25.39
"2015","Northwest Territories","Wind power turbine",61,3.34
"2015","Nova Scotia","Hydraulic turbine",12,10.16
"2015","Nova Scotia","Tidal power turbine",12,0.13
"2015","Nova Scotia","Wind power turbine",12,4.95
"2015","Nunavut","Hydraulic turbine",62,0
"2015","Ontario","Hydraulic turbine",35,25.08
"2015","Ontario","Other types of electricity generation",35,0
"2015","Ontario","Solar",35,0.18
"2015","Ontario","Wind power turbine",35,2.11
"2015","Prince Edward Island","Wind power turbine",11,98.34
"2015","Quebec","Hydraulic turbine",24,99
"2015","Quebec","Wind power turbine",24,0.39
"2015","Saskatchewan","Hydraulic turbine",47,14.45
"2015","Saskatchewan","Other types of electricity generation",47,0
"2015","Saskatchewan","Wind power turbine",47,3.35
"2015","Yukon","Hydraulic turbine",60,94.16
"2015","Yukon","Other types of electricity generation",60,0
"2015","Yukon","Wind power turbine",60,0.15
"2016","Alberta","Hydraulic turbine",48,2.46
"2016","Alberta","Other types of electricity generation",48,0.22
"2016","Alberta","Solar",48,0
"2016","Alberta","Wind power turbine",48,5.79
"2016","British Columbia","Hydraulic turbine",59,88.7
"2016","British Columbia","Other types of electricity generation",59,0
"2016","British Columbia","Solar",59,0
"2016","British Columbia","Tidal power turbine",59,0
"2016","British Columbia","Wind power turbine",59,1.79
"2016","Canada","Hydraulic turbine",,59.01
"2016","Canada","Other types of electricity generation",,0.03
"2016","Canada","Solar",,0.28
"2016","Canada","Tidal power turbine",,0
"2016","Canada","Wind power turbine",,4.72
"2016","Manitoba","Hydraulic turbine",46,97
"2016","Manitoba","Other types of electricity generation",46,0
"2016","Manitoba","Solar",46,0
"2016","Manitoba","Wind power turbine",46,2.6
"2016","New Brunswick","Hydraulic turbine",13,21.43
"2016","New Brunswick","Other types of electricity generation",13,0
"2016","New Brunswick","Solar",13,0
"2016","New Brunswick","Tidal power turbine",13,0
"2016","New Brunswick","Wind power turbine",13,5.06
"2016","Newfoundland and Labrador","Hydraulic turbine",10,94.31
"2016","Newfoundland and Labrador","Other types of electricity generation",10,0
"2016","Newfoundland and Labrador","Solar",10,0
"2016","Newfoundland and Labrador","Tidal power turbine",10,0
"2016","Newfoundland and Labrador","Wind power turbine",10,0.45
"2016","Northwest Territories","Hydraulic turbine",61,30.04
"2016","Northwest Territories","Solar",61,0.03
"2016","Northwest Territories","Wind power turbine",61,1.8
"2016","Nova Scotia","Hydraulic turbine",12,8.18
"2016","Nova Scotia","Other types of electricity generation",12,0
"2016","Nova Scotia","Solar",12,0
"2016","Nova Scotia","Tidal power turbine",12,0.19
"2016","Nova Scotia","Wind power turbine",12,10.19
"2016","Nunavut","Hydraulic turbine",62,0
"2016","Nunavut","Solar",62,0
"2016","Nunavut","Wind power turbine",62,0
"2016","Ontario","Hydraulic turbine",35,23.33
"2016","Ontario","Other types of electricity generation",35,0
"2016","Ontario","Solar",35,1.14
"2016","Ontario","Wind power turbine",35,6.75
"2016","Prince Edward Island","Hydraulic turbine",11,0
"2016","Prince Edward Island","Other types of electricity generation",11,0
"2016","Prince Edward Island","Solar",11,0
"2016","Prince Edward Island","Tidal power turbine",11,0
"2016","Prince Edward Island","Wind power turbine",11,98.36
"2016","Quebec","Hydraulic turbine",24,94.25
"2016","Quebec","Other types of electricity generation",24,0
"2016","Quebec","Solar",24,0
"2016","Quebec","Wind power turbine",24,4.65
"2016","Saskatchewan","Hydraulic turbine",47,13.34
"2016","Saskatchewan","Other types of electricity generation",47,0
"2016","Saskatchewan","Solar",47,0
"2016","Saskatchewan","Wind power turbine",47,3
"2016","Yukon","Hydraulic turbine",60,93.85
"2016","Yukon","Other types of electricity generation",60,0
"2016","Yukon","Solar",60,0
"2016","Yukon","Wind power turbine",60,0.11
"2017","Alberta","Hydraulic turbine",48,2.52
"2017","Alberta","Other types of electricity generation",48,0.25
"2017","Alberta","Solar",48,0
"2017","Alberta","Wind power turbine",48,5.59
"2017","British Columbia","Hydraulic turbine",59,89.3
"2017","British Columbia","Other types of electricity generation",59,0
"2017","British Columbia","Solar",59,0
"2017","British Columbia","Tidal power turbine",59,0
"2017","British Columbia","Wind power turbine",59,2.14
"2017","Canada","Hydraulic turbine",,60.17
"2017","Canada","Other types of electricity generation",,0.03
"2017","Canada","Solar",,0.32
"2017","Canada","Tidal power turbine",,0
"2017","Canada","Wind power turbine",,4.76
"2017","Manitoba","Hydraulic turbine",46,97.07
"2017","Manitoba","Other types of electricity generation",46,0
"2017","Manitoba","Solar",46,0
"2017","Manitoba","Wind power turbine",46,2.5
"2017","New Brunswick","Hydraulic turbine",13,19.27
"2017","New Brunswick","Other types of electricity generation",13,0
"2017","New Brunswick","Solar",13,0
"2017","New Brunswick","Tidal power turbine",13,0
"2017","New Brunswick","Wind power turbine",13,6.11
"2017","Newfoundland and Labrador","Hydraulic turbine",10,93.98
"2017","Newfoundland and Labrador","Other types of electricity generation",10,0
"2017","Newfoundland and Labrador","Solar",10,0
"2017","Newfoundland and Labrador","Tidal power turbine",10,0
"2017","Newfoundland and Labrador","Wind power turbine",10,0.47
"2017","Northwest Territories","Hydraulic turbine",61,33.06
"2017","Northwest Territories","Solar",61,0.04
"2017","Northwest Territories","Wind power turbine",61,2.27
"2017","Nova Scotia","Hydraulic turbine",12,8.46
"2017","Nova Scotia","Other types of electricity generation",12,0
"2017","Nova Scotia","Solar",12,0
"2017","Nova Scotia","Tidal power turbine",12,0.06
"2017","Nova Scotia","Wind power turbine",12,13.05
"2017","Nunavut","Hydraulic turbine",62,0
"2017","Nunavut","Solar",62,0
"2017","Nunavut","Wind power turbine",62,0
"2017","Ontario","Hydraulic turbine",35,25.85
"2017","Ontario","Other types of electricity generation",35,0
"2017","Ontario","Solar",35,1.34
"2017","Ontario","Wind power turbine",35,6.75
"2017","Prince Edward Island","Hydraulic turbine",11,0
"2017","Prince Edward Island","Other types of electricity generation",11,0
"2017","Prince Edward Island","Solar",11,0
"2017","Prince Edward Island","Tidal power turbine",11,0
"2017","Prince Edward Island","Wind power turbine",11,98.23
"2017","Quebec","Hydraulic turbine",24,94.23
"2017","Quebec","Other types of electricity generation",24,0
"2017","Quebec","Solar",24,0
"2017","Quebec","Wind power turbine",24,4.59
"2017","Saskatchewan","Hydraulic turbine",47,15.61
"2017","Saskatchewan","Other types of electricity generation",47,0
"2017","Saskatchewan","Solar",47,0
"2017","Saskatchewan","Wind power turbine",47,3.01
"2017","Yukon","Hydraulic turbine",60,92.45
"2017","Yukon","Other types of electricity generation",60,0
"2017","Yukon","Solar",60,0
"2017","Yukon","Wind power turbine",60,0.01
"2018","Alberta","Hydraulic turbine",48,2.52
"2018","Alberta","Other types of electricity generation",48,0.26
"2018","Alberta","Solar",48,0.03
"2018","Alberta","Wind power turbine",48,5.19
"2018","British Columbia","Hydraulic turbine",59,89.59
"2018","British Columbia","Other types of electricity generation",59,0
"2018","British Columbia","Solar",59,0
"2018","British Columbia","Tidal power turbine",59,0
"2018","British Columbia","Wind power turbine",59,2.11
"2018","Canada","Hydraulic turbine",,59.49
"2018","Canada","Other types of electricity generation",,0.03
"2018","Canada","Solar",,0.34
"2018","Canada","Tidal power turbine",,0
"2018","Canada","Wind power turbine",,4.96
"2018","Manitoba","Hydraulic turbine",46,97.08
"2018","Manitoba","Other types of electricity generation",46,0
"2018","Manitoba","Solar",46,0
"2018","Manitoba","Wind power turbine",46,2.63
"2018","New Brunswick","Hydraulic turbine",13,18.54
"2018","New Brunswick","Other types of electricity generation",13,0
"2018","New Brunswick","Solar",13,0
"2018","New Brunswick","Tidal power turbine",13,0
"2018","New Brunswick","Wind power turbine",13,6.04
"2018","Newfoundland and Labrador","Hydraulic turbine",10,95.51
"2018","Newfoundland and Labrador","Other types of electricity generation",10,0
"2018","Newfoundland and Labrador","Solar",10,0
"2018","Newfoundland and Labrador","Tidal power turbine",10,0
"2018","Newfoundland and Labrador","Wind power turbine",10,0.47
"2018","Northwest Territories","Hydraulic turbine",61,33.64
"2018","Northwest Territories","Solar",61,0.04
"2018","Northwest Territories","Wind power turbine",61,2.39
"2018","Nova Scotia","Hydraulic turbine",12,9.03
"2018","Nova Scotia","Other types of electricity generation",12,0
"2018","Nova Scotia","Solar",12,0
"2018","Nova Scotia","Tidal power turbine",12,0.19
"2018","Nova Scotia","Wind power turbine",12,11.68
"2018","Nunavut","Hydraulic turbine",62,0
"2018","Nunavut","Solar",62,0
"2018","Nunavut","Wind power turbine",62,0
"2018","Ontario","Hydraulic turbine",35,24.37
"2018","Ontario","Other types of electricity generation",35,0
"2018","Ontario","Solar",35,1.41
"2018","Ontario","Wind power turbine",35,7.28
"2018","Prince Edward Island","Hydraulic turbine",11,0
"2018","Prince Edward Island","Other types of electricity generation",11,0
"2018","Prince Edward Island","Solar",11,0.04
"2018","Prince Edward Island","Tidal power turbine",11,0
"2018","Prince Edward Island","Wind power turbine",11,96.87
"2018","Quebec","Hydraulic turbine",24,93.99
"2018","Quebec","Other types of electricity generation",24,0
"2018","Quebec","Solar",24,0
"2018","Quebec","Wind power turbine",24,4.98
"2018","Saskatchewan","Hydraulic turbine",47,14.46
"2018","Saskatchewan","Other types of electricity generation",47,0
"2018","Saskatchewan","Solar",47,0
"2018","Saskatchewan","Wind power turbine",47,2.83
"2018","Yukon","Hydraulic turbine",60,87.51
"2018","Yukon","Other types of electricity generation",60,0
"2018","Yukon","Solar",60,0
"2018","Yukon","Wind power turbine",60,0
"2019","Alberta","Hydraulic turbine",48,3.12
"2019","Alberta","Other types of electricity generation",48,0.06
"2019","Alberta","Solar",48,0.03
"2019","Alberta","Wind power turbine",48,4.95
"2019","British Columbia","Hydraulic turbine",59,87.46
"2019","British Columbia","Other types of electricity generation",59,0
"2019","British Columbia","Solar",59,0
"2019","British Columbia","Tidal power turbine",59,0
"2019","British Columbia","Wind power turbine",59,2.35
"2019","Canada","Hydraulic turbine",,58.97
"2019","Canada","Other types of electricity generation",,0.03
"2019","Canada","Solar",,0.38
"2019","Canada","Tidal power turbine",,0
"2019","Canada","Wind power turbine",,5.12
"2019","Manitoba","Hydraulic turbine",46,97.07
"2019","Manitoba","Other types of electricity generation",46,0
"2019","Manitoba","Solar",46,0
"2019","Manitoba","Wind power turbine",46,2.61
"2019","New Brunswick","Hydraulic turbine",13,22.18
"2019","New Brunswick","Other types of electricity generation",13,0
"2019","New Brunswick","Solar",13,0
"2019","New Brunswick","Tidal power turbine",13,0
"2019","New Brunswick","Wind power turbine",13,6.49
"2019","Newfoundland and Labrador","Hydraulic turbine",10,95.55
"2019","Newfoundland and Labrador","Other types of electricity generation",10,0
"2019","Newfoundland and Labrador","Solar",10,0
"2019","Newfoundland and Labrador","Tidal power turbine",10,0
"2019","Newfoundland and Labrador","Wind power turbine",10,0.43
"2019","Northwest Territories","Hydraulic turbine",61,32.97
"2019","Northwest Territories","Solar",61,0.04
"2019","Northwest Territories","Wind power turbine",61,2.27
"2019","Nova Scotia","Hydraulic turbine",12,10.65
"2019","Nova Scotia","Other types of electricity generation",12,0
"2019","Nova Scotia","Solar",12,0
"2019","Nova Scotia","Tidal power turbine",12,0.01
"2019","Nova Scotia","Wind power turbine",12,11.2
"2019","Nunavut","Hydraulic turbine",62,0
"2019","Nunavut","Solar",62,0
"2019","Nunavut","Wind power turbine",62,0
"2019","Ontario","Hydraulic turbine",35,24.52
"2019","Ontario","Other types of electricity generation",35,0
"2019","Ontario","Solar",35,1.55
"2019","Ontario","Wind power turbine",35,7.35
"2019","Prince Edward Island","Hydraulic turbine",11,0
"2019","Prince Edward Island","Other types of electricity generation",11,0
"2019","Prince Edward Island","Solar",11,0.09
"2019","Prince Edward Island","Tidal power turbine",11,0
"2019","Prince Edward Island","Wind power turbine",11,99.02
"2019","Quebec","Hydraulic turbine",24,93.72
"2019","Quebec","Other types of electricity generation",24,0
"2019","Quebec","Solar",24,0
"2019","Quebec","Wind power turbine",24,5.33
"2019","Saskatchewan","Hydraulic turbine",47,14.94
