"Year","Series","Data categories","Elements","Pillar","Value"
2016,"Open Data Inventory (ODIN)","Population and vital statistics","Indicator coverage and disaggregation",,100
2016,"Open Data Inventory (ODIN)","Education facilities","Indicator coverage and disaggregation",,50
2016,"Open Data Inventory (ODIN)","Education outcomes","Indicator coverage and disaggregation",,50
2016,"Open Data Inventory (ODIN)","Health facilities","Indicator coverage and disaggregation",,50
2016,"Open Data Inventory (ODIN)","Health outcomes","Indicator coverage and disaggregation",,100
2016,"Open Data Inventory (ODIN)","Reproductive health","Indicator coverage and disaggregation",,100
2016,"Open Data Inventory (ODIN)","Gender statistics","Indicator coverage and disaggregation",,100
2016,"Open Data Inventory (ODIN)","Poverty and income","Indicator coverage and disaggregation",,100
2016,"Open Data Inventory (ODIN)","Social statistics subscore","Indicator coverage and disaggregation",,81.3
2016,"Open Data Inventory (ODIN)","National accounts","Indicator coverage and disaggregation",,100
2016,"Open Data Inventory (ODIN)","Labor","Indicator coverage and disaggregation",,100
2016,"Open Data Inventory (ODIN)","Price indexes","Indicator coverage and disaggregation",,50
2016,"Open Data Inventory (ODIN)","Government finance","Indicator coverage and disaggregation",,100
2016,"Open Data Inventory (ODIN)","Money and banking","Indicator coverage and disaggregation",,100
2016,"Open Data Inventory (ODIN)","International trade","Indicator coverage and disaggregation",,100
2016,"Open Data Inventory (ODIN)","Balance of payments","Indicator coverage and disaggregation",,100
2016,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Indicator coverage and disaggregation",,92.9
2016,"Open Data Inventory (ODIN)","Agriculture and land use","Indicator coverage and disaggregation",,100
2016,"Open Data Inventory (ODIN)","Resource use","Indicator coverage and disaggregation",,100
2016,"Open Data Inventory (ODIN)","Energy use","Indicator coverage and disaggregation",,100
2016,"Open Data Inventory (ODIN)","Pollution","Indicator coverage and disaggregation",,50
2016,"Open Data Inventory (ODIN)","Built environment","Indicator coverage and disaggregation",,50
2016,"Open Data Inventory (ODIN)","Environment subscore","Indicator coverage and disaggregation",,80
2016,"Open Data Inventory (ODIN)","All categories","Indicator coverage and disaggregation",,84.7
2017,"Open Data Inventory (ODIN)","Population and vital statistics","Indicator coverage and disaggregation",,100
2017,"Open Data Inventory (ODIN)","Education facilities","Indicator coverage and disaggregation",,50
2017,"Open Data Inventory (ODIN)","Education outcomes","Indicator coverage and disaggregation",,50
2017,"Open Data Inventory (ODIN)","Health facilities","Indicator coverage and disaggregation",,100
2017,"Open Data Inventory (ODIN)","Health outcomes","Indicator coverage and disaggregation",,100
2017,"Open Data Inventory (ODIN)","Reproductive health","Indicator coverage and disaggregation",,100
2017,"Open Data Inventory (ODIN)","Gender statistics","Indicator coverage and disaggregation",,50
2017,"Open Data Inventory (ODIN)","Crime and justice","Indicator coverage and disaggregation",,50
2017,"Open Data Inventory (ODIN)","Poverty and income","Indicator coverage and disaggregation",,100
2017,"Open Data Inventory (ODIN)","Social statistics subscore","Indicator coverage and disaggregation",,77.8
2017,"Open Data Inventory (ODIN)","National accounts","Indicator coverage and disaggregation",,100
2017,"Open Data Inventory (ODIN)","Labor","Indicator coverage and disaggregation",,100
2017,"Open Data Inventory (ODIN)","Price indexes","Indicator coverage and disaggregation",,100
2017,"Open Data Inventory (ODIN)","Government finance","Indicator coverage and disaggregation",,100
2017,"Open Data Inventory (ODIN)","Money and banking","Indicator coverage and disaggregation",,100
2017,"Open Data Inventory (ODIN)","International trade","Indicator coverage and disaggregation",,100
2017,"Open Data Inventory (ODIN)","Balance of payments","Indicator coverage and disaggregation",,100
2017,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Indicator coverage and disaggregation",,100
2017,"Open Data Inventory (ODIN)","Agriculture and land use","Indicator coverage and disaggregation",,50
2017,"Open Data Inventory (ODIN)","Resource use","Indicator coverage and disaggregation",,100
2017,"Open Data Inventory (ODIN)","Energy use","Indicator coverage and disaggregation",,100
2017,"Open Data Inventory (ODIN)","Pollution","Indicator coverage and disaggregation",,100
2017,"Open Data Inventory (ODIN)","Built environment","Indicator coverage and disaggregation",,50
2017,"Open Data Inventory (ODIN)","Environment subscore","Indicator coverage and disaggregation",,80
2017,"Open Data Inventory (ODIN)","All categories","Indicator coverage and disaggregation",,85.9
2018,"Open Data Inventory (ODIN)","Population and vital statistics","Indicator coverage and disaggregation",,100
2018,"Open Data Inventory (ODIN)","Education facilities","Indicator coverage and disaggregation",,50
2018,"Open Data Inventory (ODIN)","Education outcomes","Indicator coverage and disaggregation",,100
2018,"Open Data Inventory (ODIN)","Health facilities","Indicator coverage and disaggregation",,100
2018,"Open Data Inventory (ODIN)","Health outcomes","Indicator coverage and disaggregation",,100
2018,"Open Data Inventory (ODIN)","Reproductive health","Indicator coverage and disaggregation",,50
2018,"Open Data Inventory (ODIN)","Gender statistics","Indicator coverage and disaggregation",,50
2018,"Open Data Inventory (ODIN)","Crime and justice","Indicator coverage and disaggregation",,100
2018,"Open Data Inventory (ODIN)","Poverty and income","Indicator coverage and disaggregation",,100
2018,"Open Data Inventory (ODIN)","Social statistics subscore","Indicator coverage and disaggregation",,83.3
2018,"Open Data Inventory (ODIN)","National accounts","Indicator coverage and disaggregation",,100
2018,"Open Data Inventory (ODIN)","Labor","Indicator coverage and disaggregation",,100
2018,"Open Data Inventory (ODIN)","Price indexes","Indicator coverage and disaggregation",,100
2018,"Open Data Inventory (ODIN)","Government finance","Indicator coverage and disaggregation",,100
2018,"Open Data Inventory (ODIN)","Money and banking","Indicator coverage and disaggregation",,100
2018,"Open Data Inventory (ODIN)","International trade","Indicator coverage and disaggregation",,100
2018,"Open Data Inventory (ODIN)","Balance of payments","Indicator coverage and disaggregation",,100
2018,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Indicator coverage and disaggregation",,100
2018,"Open Data Inventory (ODIN)","Agriculture and land use","Indicator coverage and disaggregation",,100
2018,"Open Data Inventory (ODIN)","Resource use","Indicator coverage and disaggregation",,100
2018,"Open Data Inventory (ODIN)","Energy use","Indicator coverage and disaggregation",,100
2018,"Open Data Inventory (ODIN)","Pollution","Indicator coverage and disaggregation",,100
2018,"Open Data Inventory (ODIN)","Built environment","Indicator coverage and disaggregation",,50
2018,"Open Data Inventory (ODIN)","Environment subscore","Indicator coverage and disaggregation",,90
2018,"Open Data Inventory (ODIN)","All categories","Indicator coverage and disaggregation",,91.1
2020,"Open Data Inventory (ODIN)","Population and vital statistics","Indicator coverage and disaggregation",,100
2020,"Open Data Inventory (ODIN)","Education facilities","Indicator coverage and disaggregation",,50
2020,"Open Data Inventory (ODIN)","Education outcomes","Indicator coverage and disaggregation",,50
2020,"Open Data Inventory (ODIN)","Health facilities","Indicator coverage and disaggregation",,100
2020,"Open Data Inventory (ODIN)","Health outcomes","Indicator coverage and disaggregation",,100
2020,"Open Data Inventory (ODIN)","Reproductive health","Indicator coverage and disaggregation",,100
2020,"Open Data Inventory (ODIN)","Food security and nutrition","Indicator coverage and disaggregation",,50
2020,"Open Data Inventory (ODIN)","Gender statistics","Indicator coverage and disaggregation",,50
2020,"Open Data Inventory (ODIN)","Crime and justice","Indicator coverage and disaggregation",,100
2020,"Open Data Inventory (ODIN)","Poverty and income","Indicator coverage and disaggregation",,100
2020,"Open Data Inventory (ODIN)","Social statistics subscore","Indicator coverage and disaggregation",,80
2020,"Open Data Inventory (ODIN)","National accounts","Indicator coverage and disaggregation",,100
2020,"Open Data Inventory (ODIN)","Labor","Indicator coverage and disaggregation",,100
2020,"Open Data Inventory (ODIN)","Price indexes","Indicator coverage and disaggregation",,100
2020,"Open Data Inventory (ODIN)","Government finance","Indicator coverage and disaggregation",,100
2020,"Open Data Inventory (ODIN)","Money and banking","Indicator coverage and disaggregation",,100
2020,"Open Data Inventory (ODIN)","International trade","Indicator coverage and disaggregation",,100
2020,"Open Data Inventory (ODIN)","Balance of payments","Indicator coverage and disaggregation",,100
2020,"Open Data Inventory (ODIN)","Economic and financial statistics subscore","Indicator coverage and disaggregation",,100
2020,"Open Data Inventory (ODIN)","Agriculture and land use","Indicator coverage and disaggregation",,50
2020,"Open Data Inventory (ODIN)","Resource use","Indicator coverage and disaggregation",,100
2020,"Open Data Inventory (ODIN)","Energy use","Indicator coverage and disaggregation",,100
2020,"Open Data Inventory (ODIN)","Pollution","Indicator coverage and disaggregation",,100
2020,"Open Data Inventory (ODIN)","Built environment","Indicator coverage and disaggregation",,50
2020,"Open Data Inventory (ODIN)","Environment subscore","Indicator coverage and disaggregation",,80
2020,"Open Data Inventory (ODIN)","All categories","Indicator coverage and disaggregation",,86.7
2022,"Open Data Inventory (ODIN)","Population and vital statistics","Indicator coverage and disaggregation",,100
