Year,Geography,Series,Demographic and geodemographic,Value
2023,Alberta,Age,0 to 14 years,13.8
2023,British Columbia,Age,0 to 14 years,10.6
2023,Canada,Age,0 to 14 years,11.8
2023,Manitoba,Age,0 to 14 years,13.8
2023,New Brunswick,Age,0 to 14 years,7.5
2023,Newfoundland and Labrador,Age,0 to 14 years,6.9
2023,Northwest Territories,Age,0 to 14 years,17.7
2023,Nova Scotia,Age,0 to 14 years,8.0
2023,Ontario,Age,0 to 14 years,11.4
2023,Prince Edward Island,Age,0 to 14 years,5.3
2023,Quebec,Age,0 to 14 years,12.6
2023,Saskatchewan,Age,0 to 14 years,14.9
2023,Yukon,Age,0 to 14 years,13.2
2023,Alberta,Age,15 to 64 years,51.9
2023,British Columbia,Age,15 to 64 years,50.4
2023,Canada,Age,15 to 64 years,49.7
2023,Manitoba,Age,15 to 64 years,55.0
2023,New Brunswick,Age,15 to 64 years,33.3
2023,Newfoundland and Labrador,Age,15 to 64 years,36.2
2023,Northwest Territories,Age,15 to 64 years,63.1
2023,Nova Scotia,Age,15 to 64 years,39.2
2023,Ontario,Age,15 to 64 years,49.5
2023,Prince Edward Island,Age,15 to 64 years,24.1
2023,Quebec,Age,15 to 64 years,50.7
2023,Saskatchewan,Age,15 to 64 years,52.1
2023,Yukon,Age,15 to 64 years,52.1
2023,Alberta,Age,65 years and over,10.7
2023,British Columbia,Age,65 years and over,14.9
2023,Canada,Age,65 years and over,13.6
2023,Manitoba,Age,65 years and over,14.0
2023,New Brunswick,Age,65 years and over,10.3
2023,Newfoundland and Labrador,Age,65 years and over,11.4
2023,Northwest Territories,Age,65 years and over,7.0
2023,Nova Scotia,Age,65 years and over,11.1
2023,Ontario,Age,65 years and over,12.9
2023,Prince Edward Island,Age,65 years and over,7.9
2023,Quebec,Age,65 years and over,15.9
2023,Saskatchewan,Age,65 years and over,12.8
2023,Yukon,Age,65 years and over,10.1
2023,Alberta,Gender,Men+,38.0
2023,British Columbia,Gender,Men+,37.0
2023,Canada,Gender,Men+,37.6
2023,Manitoba,Gender,Men+,40.7
2023,New Brunswick,Gender,Men+,24.6
2023,Newfoundland and Labrador,Gender,Men+,26.3
2023,Northwest Territories,Gender,Men+,43.7
2023,Nova Scotia,Gender,Men+,28.1
2023,Ontario,Gender,Men+,35.9
2023,Prince Edward Island,Gender,Men+,19.5
2023,Quebec,Gender,Men+,38.7
2023,Saskatchewan,Gender,Men+,78.1
2023,Yukon,Gender,Men+,37.0
2023,Alberta,Gender,Women+,38.5
2023,British Columbia,Gender,Women+,38.9
2023,Canada,Gender,Women+,39.3
2023,Manitoba,Gender,Women+,42.0
2023,New Brunswick,Gender,Women+,26.5
2023,Newfoundland and Labrador,Gender,Women+,28.2
2023,Northwest Territories,Gender,Women+,44.2
2023,Nova Scotia,Gender,Women+,30.2
2023,Ontario,Gender,Women+,37.9
2023,Prince Edward Island,Gender,Women+,21.2
2023,Quebec,Gender,Women+,40.5
2023,Saskatchewan,Gender,Women+,81.3
2023,Yukon,Gender,Women+,38.5
2023,Alberta,Total,Percentage of population within 500 metres of a public transit stop,76.4
2023,British Columbia,Total,Percentage of population within 500 metres of a public transit stop,75.9
2023,Manitoba,Total,Percentage of population within 500 metres of a public transit stop,82.7
2023,New Brunswick,Total,Percentage of population within 500 metres of a public transit stop,51.1
2023,Newfoundland and Labrador,Total,Percentage of population within 500 metres of a public transit stop,54.5
2023,Northwest Territories,Total,Percentage of population within 500 metres of a public transit stop,87.9
2023,Nova Scotia,Total,Percentage of population within 500 metres of a public transit stop,58.3
2023,Ontario,Total,Percentage of population within 500 metres of a public transit stop,73.8
2023,Prince Edward Island,Total,Percentage of population within 500 metres of a public transit stop,40.8
2023,Quebec,Total,Percentage of population within 500 metres of a public transit stop,79.2
2023,Saskatchewan,Total,Percentage of population within 500 metres of a public transit stop,79.7
2023,Yukon,Total,Percentage of population within 500 metres of a public transit stop,75.5
2023,Canada,,,75.1
