Year,data.Institutions,data.Characteristics,data.Level of confidence,Value
2019,,,,41
2020,data.Federal Parliament,data.Black,data.Not confident,13
2020,data.Federal Parliament,"data.First Nations, Métis, or Inuit",data.Not confident,31
2020,data.Federal Parliament,data.Other group designated as visible minority,data.Not confident,11
2020,data.Federal Parliament,"data.Non-Indigenous, non-visible minority",data.Not confident,21
2020,data.Federal Parliament,data.Black,data.Confident,52
2020,data.Federal Parliament,"data.First Nations, Métis, or Inuit",data.Confident,28
2020,data.Federal Parliament,data.Other group designated as visible minority,data.Confident,60
2020,data.Federal Parliament,"data.Non-Indigenous, non-visible minority",data.Confident,41
2020,data.Justice system and courts,"data.First Nations, Métis, or Inuit",data.Not confident,30
2020,data.Justice system and courts,data.Other group designated as visible minority,data.Not confident,10
2020,data.Justice system and courts,"data.Non-Indigenous, non-visible minority",data.Not confident,16
2020,data.Justice system and courts,data.Black,data.Confident,54
2020,data.Justice system and courts,"data.First Nations, Métis, or Inuit",data.Confident,37
2020,data.Justice system and courts,data.Other group designated as visible minority,data.Confident,68
2020,data.Justice system and courts,"data.Non-Indigenous, non-visible minority",data.Confident,53
