"Year","Geography","Supply and demand characteristics","Value"
"2015","Canada","Energy use, final demand",3.98
"2015","Canada","Total industrial",1.31
"2015","Canada","Total transportation",1.29
"2015","Canada","Agriculture, fishing, hunting and trapping",0.14
"2015","Canada","Residential",0.67
"2015","Canada","Public administration",0.06
"2015","Canada","Commercial and other institutional",0.51
"2015","Newfoundland and Labrador","Energy use, final demand",3.85
"2015","Newfoundland and Labrador","Total industrial",0.9
"2015","Newfoundland and Labrador","Total transportation",1.6
"2015","Newfoundland and Labrador","Agriculture, fishing, hunting and trapping",0.01
"2015","Newfoundland and Labrador","Residential",0.6
"2015","Newfoundland and Labrador","Public administration",0.15
"2015","Newfoundland and Labrador","Commercial and other institutional",0.58
"2015","Prince Edward Island","Energy use, final demand",3.63
"2015","Prince Edward Island","Total industrial",0.41
"2015","Prince Edward Island","Total transportation",1.71
"2015","Prince Edward Island","Agriculture, fishing, hunting and trapping",0.34
"2015","Prince Edward Island","Residential",0.58
"2015","Prince Edward Island","Public administration",0.07
"2015","Prince Edward Island","Commercial and other institutional",0.52
"2015","Nova Scotia","Energy use, final demand",3.54
"2015","Nova Scotia","Total industrial",0.42
"2015","Nova Scotia","Total transportation",1.63
"2015","Nova Scotia","Agriculture, fishing, hunting and trapping",0.04
"2015","Nova Scotia","Residential",0.8
"2015","Nova Scotia","Public administration",0.17
"2015","Nova Scotia","Commercial and other institutional",0.47
"2015","New Brunswick","Energy use, final demand",4.16
"2015","New Brunswick","Total industrial",1.09
"2015","New Brunswick","Total transportation",1.57
"2015","New Brunswick","Agriculture, fishing, hunting and trapping",0.05
"2015","New Brunswick","Residential",0.86
"2015","New Brunswick","Public administration",0.13
"2015","New Brunswick","Commercial and other institutional",0.45
"2015","Quebec","Energy use, final demand",3.96
"2015","Quebec","Total industrial",1.29
"2015","Quebec","Total transportation",1.25
"2015","Quebec","Agriculture, fishing, hunting and trapping",0.08
"2015","Quebec","Residential",0.72
"2015","Quebec","Public administration",0.1
"2015","Quebec","Commercial and other institutional",0.52
"2015","Ontario","Energy use, final demand",3.19
"2015","Ontario","Total industrial",0.74
"2015","Ontario","Total transportation",1.11
"2015","Ontario","Agriculture, fishing, hunting and trapping",0.08
"2015","Ontario","Residential",0.71
"2015","Ontario","Public administration",0.03
"2015","Ontario","Commercial and other institutional",0.53
"2015","Manitoba","Energy use, final demand",4.04
"2015","Manitoba","Total industrial",0.85
"2015","Manitoba","Total transportation",1.34
"2015","Manitoba","Agriculture, fishing, hunting and trapping",0.35
"2015","Manitoba","Residential",0.73
"2015","Manitoba","Public administration",0.07
"2015","Manitoba","Commercial and other institutional",0.69
"2015","Saskatchewan","Energy use, final demand",6.3
"2015","Saskatchewan","Total industrial",1.8
"2015","Saskatchewan","Total transportation",2.28
"2015","Saskatchewan","Agriculture, fishing, hunting and trapping",0.96
"2015","Saskatchewan","Residential",0.62
"2015","Saskatchewan","Public administration",0.12
"2015","Saskatchewan","Commercial and other institutional",0.53
"2015","Alberta","Energy use, final demand",6.05
"2015","Alberta","Total industrial",3.28
"2015","Alberta","Total transportation",1.42
"2015","Alberta","Agriculture, fishing, hunting and trapping",0.2
"2015","Alberta","Residential",0.61
"2015","Alberta","Public administration",0.05
"2015","Alberta","Commercial and other institutional",0.51
"2015","British Columbia","Energy use, final demand",3.18
"2015","British Columbia","Total industrial",0.82
"2015","British Columbia","Total transportation",1.31
"2015","British Columbia","Agriculture, fishing, hunting and trapping",0.1
"2015","British Columbia","Residential",0.53
"2015","British Columbia","Public administration",0.04
"2015","British Columbia","Commercial and other institutional",0.39
"2015","Yukon","Energy use, final demand",3.04
"2015","Yukon","Total industrial",0.6
"2015","Yukon","Total transportation",1.69
"2015","Yukon","Agriculture, fishing, hunting and trapping",0
"2015","Yukon","Residential",0.25
"2015","Yukon","Public administration",0.07
"2015","Yukon","Commercial and other institutional",0.43
"2015","Northwest Territories","Energy use, final demand",4.1
