"Year","Units","Sector","Value"
2015,"US dollar, Millions, 2024 constant prices","Agricultural water resources",8.325492
2015,"US dollar, Millions, 2024 constant prices","Water supply and sanitation",77.292263
2016,"US dollar, Millions, 2024 constant prices","Agricultural water resources",11.046256
2016,"US dollar, Millions, 2024 constant prices","Water supply and sanitation",39.98272
2017,"US dollar, Millions, 2024 constant prices","Agricultural water resources",9.734419
2017,"US dollar, Millions, 2024 constant prices","Water supply and sanitation",47.970361
2018,"US dollar, Millions, 2024 constant prices","Agricultural water resources",11.127473
2018,"US dollar, Millions, 2024 constant prices","Water supply and sanitation",48.245983
2019,"US dollar, Millions, 2024 constant prices","Agricultural water resources",14.088852
2019,"US dollar, Millions, 2024 constant prices","Water supply and sanitation",32.747115
2020,"US dollar, Millions, 2024 constant prices","Agricultural water resources",16.946
2020,"US dollar, Millions, 2024 constant prices","Water supply and sanitation",28.439495
2021,"US dollar, Millions, 2024 constant prices","Agricultural water resources",20.865816
2021,"US dollar, Millions, 2024 constant prices","Water supply and sanitation",48.142869
2022,"US dollar, Millions, 2024 constant prices","Agricultural water resources",6.81405
2022,"US dollar, Millions, 2024 constant prices","Water supply and sanitation",34.903515
2023,"US dollar, Millions, 2024 constant prices","Agricultural water resources",9.397943
2023,"US dollar, Millions, 2024 constant prices","Water supply and sanitation",23.075843
2024,"US dollar, Millions, 2024 constant prices","Agricultural water resources",13.404262
2024,"US dollar, Millions, 2024 constant prices","Water supply and sanitation",20.38982
2015,"US dollar, Millions, 2024 constant prices",,85.617755
2016,"US dollar, Millions, 2024 constant prices",,51.028976
2017,"US dollar, Millions, 2024 constant prices",,57.70478
2018,"US dollar, Millions, 2024 constant prices",,59.373456
2019,"US dollar, Millions, 2024 constant prices",,46.835967
2020,"US dollar, Millions, 2024 constant prices",,45.385495
2021,"US dollar, Millions, 2024 constant prices",,69.008685
2022,"US dollar, Millions, 2024 constant prices",,41.717565
2023,"US dollar, Millions, 2024 constant prices",,32.473786
2024,"US dollar, Millions, 2024 constant prices",,33.794082
