"Year","Geography","Age group","Type of institution attended","GeoCode","Value"
"2014/2015","Canada","15 to 19 years","Total participation rate",,83
"2014/2015","Canada","15 to 19 years","Elementary/High School",,58
"2014/2015","Canada","15 to 19 years","College",,12
"2014/2015","Canada","15 to 19 years","University",,12
"2014/2015","Canada","20 to 24 years","Total participation rate",,40
"2014/2015","Canada","20 to 24 years","Elementary/High School",,2
"2014/2015","Canada","20 to 24 years","College",,12
"2014/2015","Canada","20 to 24 years","University",,26
"2014/2015","Canada","25 to 29 years","Total participation rate",,12
"2014/2015","Canada","25 to 29 years","Elementary/High School",,1
"2014/2015","Canada","25 to 29 years","College",,4
"2014/2015","Canada","25 to 29 years","University",,8
"2014/2015","Newfoundland and Labrador","15 to 19 years","Total participation rate",10,85
"2014/2015","Newfoundland and Labrador","15 to 19 years","Elementary/High School",10,62
"2014/2015","Newfoundland and Labrador","15 to 19 years","College",10,7
"2014/2015","Newfoundland and Labrador","15 to 19 years","University",10,15
"2014/2015","Newfoundland and Labrador","20 to 24 years","Total participation rate",10,36
"2014/2015","Newfoundland and Labrador","20 to 24 years","Elementary/High School",10,
"2014/2015","Newfoundland and Labrador","20 to 24 years","College",10,11
"2014/2015","Newfoundland and Labrador","20 to 24 years","University",10,24
"2014/2015","Newfoundland and Labrador","25 to 29 years","Total participation rate",10,14
"2014/2015","Newfoundland and Labrador","25 to 29 years","Elementary/High School",10,
"2014/2015","Newfoundland and Labrador","25 to 29 years","College",10,3
"2014/2015","Newfoundland and Labrador","25 to 29 years","University",10,11
"2014/2015","Prince Edward Island","15 to 19 years","Total participation rate",11,83
"2014/2015","Prince Edward Island","15 to 19 years","Elementary/High School",11,63
"2014/2015","Prince Edward Island","15 to 19 years","College",11,6
"2014/2015","Prince Edward Island","15 to 19 years","University",11,14
"2014/2015","Prince Edward Island","20 to 24 years","Total participation rate",11,38
"2014/2015","Prince Edward Island","20 to 24 years","Elementary/High School",11,
"2014/2015","Prince Edward Island","20 to 24 years","College",11,10
"2014/2015","Prince Edward Island","20 to 24 years","University",11,28
"2014/2015","Prince Edward Island","25 to 29 years","Total participation rate",11,11
"2014/2015","Prince Edward Island","25 to 29 years","Elementary/High School",11,
"2014/2015","Prince Edward Island","25 to 29 years","College",11,4
"2014/2015","Prince Edward Island","25 to 29 years","University",11,7
"2014/2015","Nova Scotia","15 to 19 years","Total participation rate",12,83
"2014/2015","Nova Scotia","15 to 19 years","Elementary/High School",12,64
"2014/2015","Nova Scotia","15 to 19 years","College",12,7
"2014/2015","Nova Scotia","15 to 19 years","University",12,11
"2014/2015","Nova Scotia","20 to 24 years","Total participation rate",12,34
"2014/2015","Nova Scotia","20 to 24 years","Elementary/High School",12,
"2014/2015","Nova Scotia","20 to 24 years","College",12,9
"2014/2015","Nova Scotia","20 to 24 years","University",12,24
"2014/2015","Nova Scotia","25 to 29 years","Total participation rate",12,12
"2014/2015","Nova Scotia","25 to 29 years","Elementary/High School",12,
"2014/2015","Nova Scotia","25 to 29 years","College",12,3
"2014/2015","Nova Scotia","25 to 29 years","University",12,9
"2014/2015","New Brunswick","15 to 19 years","Total participation rate",13,84
"2014/2015","New Brunswick","15 to 19 years","Elementary/High School",13,64
"2014/2015","New Brunswick","15 to 19 years","College",13,7
"2014/2015","New Brunswick","15 to 19 years","University",13,13
"2014/2015","New Brunswick","20 to 24 years","Total participation rate",13,29
