"Year","Persons in low income","Geography","GeoCode","Value"
2015,"","",,14.5
2016,"","",,12.9
2017,"","",,11.9
2018,"","",,11.2
2019,"","",,10.5
2020,"","",,6.5
2021,"","",,7.6
2022,"","",,10.3
2023,"","",,10.4
2015,"All persons","Alberta",48,9.4
2016,"All persons","Alberta",48,10.1
2017,"All persons","Alberta",48,8.5
2018,"All persons","Alberta",48,9.4
2019,"All persons","Alberta",48,8.3
2020,"All persons","Alberta",48,6
2021,"All persons","Alberta",48,8.5
2022,"All persons","Alberta",48,10.7
2023,"All persons","Alberta",48,10
2015,"Men+","Alberta",48,8.9
2016,"Men+","Alberta",48,9.8
2017,"Men+","Alberta",48,7.8
2018,"Men+","Alberta",48,9.4
2019,"Men+","Alberta",48,8.4
2020,"Men+","Alberta",48,5.9
2021,"Men+","Alberta",48,8.3
2022,"Men+","Alberta",48,10
2023,"Men+","Alberta",48,9.8
2015,"Men+, 18 to 64 years","Alberta",48,9.6
2016,"Men+, 18 to 64 years","Alberta",48,10.3
2017,"Men+, 18 to 64 years","Alberta",48,8.8
2018,"Men+, 18 to 64 years","Alberta",48,10.4
2019,"Men+, 18 to 64 years","Alberta",48,9.5
2020,"Men+, 18 to 64 years","Alberta",48,7.1
2021,"Men+, 18 to 64 years","Alberta",48,9
2022,"Men+, 18 to 64 years","Alberta",48,10.4
2023,"Men+, 18 to 64 years","Alberta",48,9.8
2016,"Men+, 65 years and over","Alberta",48,4.5
2017,"Men+, 65 years and over","Alberta",48,2.7
2018,"Men+, 65 years and over","Alberta",48,2.4
2019,"Men+, 65 years and over","Alberta",48,4.6
2020,"Men+, 65 years and over","Alberta",48,2.4
2021,"Men+, 65 years and over","Alberta",48,5.9
2022,"Men+, 65 years and over","Alberta",48,6
2023,"Men+, 65 years and over","Alberta",48,5
2015,"Men+, under 18 years","Alberta",48,9.8
2016,"Men+, under 18 years","Alberta",48,10.8
2017,"Men+, under 18 years","Alberta",48,7.2
2018,"Men+, under 18 years","Alberta",48,10.1
2019,"Men+, under 18 years","Alberta",48,7.4
2020,"Men+, under 18 years","Alberta",48,4.4
2021,"Men+, under 18 years","Alberta",48,7.7
2022,"Men+, under 18 years","Alberta",48,11.5
2023,"Men+, under 18 years","Alberta",48,12.6
2015,"Persons 18 to 64 years","Alberta",48,9.5
2016,"Persons 18 to 64 years","Alberta",48,10.9
2017,"Persons 18 to 64 years","Alberta",48,9.8
2018,"Persons 18 to 64 years","Alberta",48,10.6
2019,"Persons 18 to 64 years","Alberta",48,9.7
2020,"Persons 18 to 64 years","Alberta",48,7.1
2021,"Persons 18 to 64 years","Alberta",48,9.2
2022,"Persons 18 to 64 years","Alberta",48,11.1
2023,"Persons 18 to 64 years","Alberta",48,10.5
2015,"Persons 65 years and over","Alberta",48,3.1
2016,"Persons 65 years and over","Alberta",48,4.3
2017,"Persons 65 years and over","Alberta",48,2.9
2018,"Persons 65 years and over","Alberta",48,3.5
2019,"Persons 65 years and over","Alberta",48,3.7
2020,"Persons 65 years and over","Alberta",48,3
2021,"Persons 65 years and over","Alberta",48,6.2
2022,"Persons 65 years and over","Alberta",48,6.3
2023,"Persons 65 years and over","Alberta",48,5.2
2015,"Persons under 18 years","Alberta",48,12.3
2016,"Persons under 18 years","Alberta",48,10.8
2017,"Persons under 18 years","Alberta",48,7.8
2018,"Persons under 18 years","Alberta",48,9.2
2019,"Persons under 18 years","Alberta",48,7
2020,"Persons under 18 years","Alberta",48,4.6
2021,"Persons under 18 years","Alberta",48,8.2
2022,"Persons under 18 years","Alberta",48,12.3
2023,"Persons under 18 years","Alberta",48,11.7
2015,"Women+","Alberta",48,9.9
2016,"Women+","Alberta",48,10.5
2017,"Women+","Alberta",48,9.3
2018,"Women+","Alberta",48,9.4
2019,"Women+","Alberta",48,8.2
2020,"Women+","Alberta",48,6.1
2021,"Women+","Alberta",48,8.8
2022,"Women+","Alberta",48,11.3
2023,"Women+","Alberta",48,10.2
2015,"Women+, 18 to 64 years","Alberta",48,9.5
2016,"Women+, 18 to 64 years","Alberta",48,11.6
2017,"Women+, 18 to 64 years","Alberta",48,10.8
2018,"Women+, 18 to 64 years","Alberta",48,10.7
2019,"Women+, 18 to 64 years","Alberta",48,9.9
2020,"Women+, 18 to 64 years","Alberta",48,7.1
2021,"Women+, 18 to 64 years","Alberta",48,9.4
2022,"Women+, 18 to 64 years","Alberta",48,11.8
2023,"Women+, 18 to 64 years","Alberta",48,11.3
2015,"Women+, 65 years and over","Alberta",48,3.2
2016,"Women+, 65 years and over","Alberta",48,4.1
2017,"Women+, 65 years and over","Alberta",48,3
2018,"Women+, 65 years and over","Alberta",48,4.4
2019,"Women+, 65 years and over","Alberta",48,2.8
2020,"Women+, 65 years and over","Alberta",48,3.6
2021,"Women+, 65 years and over","Alberta",48,6.5
2022,"Women+, 65 years and over","Alberta",48,6.6
2023,"Women+, 65 years and over","Alberta",48,5.4
2015,"Women+, under 18 years","Alberta",48,15
2016,"Women+, under 18 years","Alberta",48,10.8
2017,"Women+, under 18 years","Alberta",48,8.4
2018,"Women+, under 18 years","Alberta",48,8.4
2019,"Women+, under 18 years","Alberta",48,6.6
2020,"Women+, under 18 years","Alberta",48,4.9
2021,"Women+, under 18 years","Alberta",48,8.7
2022,"Women+, under 18 years","Alberta",48,13.2
2023,"Women+, under 18 years","Alberta",48,10.8
2015,"All persons","Atlantic provinces",,15.7
2016,"All persons","Atlantic provinces",,14.5
2017,"All persons","Atlantic provinces",,13.5
2018,"All persons","Atlantic provinces",,12.3
2019,"All persons","Atlantic provinces",,11.3
2020,"All persons","Atlantic provinces",,7.7
2021,"All persons","Atlantic provinces",,8.1
2022,"All persons","Atlantic provinces",,11.8
2023,"All persons","Atlantic provinces",,12.4
2015,"Men+","Atlantic provinces",,15
2016,"Men+","Atlantic provinces",,14
2017,"Men+","Atlantic provinces",,12.3
2018,"Men+","Atlantic provinces",,12.2
2019,"Men+","Atlantic provinces",,10
2020,"Men+","Atlantic provinces",,7.1
2021,"Men+","Atlantic provinces",,7.1
2022,"Men+","Atlantic provinces",,11.4
2023,"Men+","Atlantic provinces",,12.2
2015,"Men+, 18 to 64 years","Atlantic provinces",,15.8
2016,"Men+, 18 to 64 years","Atlantic provinces",,14.7
2017,"Men+, 18 to 64 years","Atlantic provinces",,13.4
2018,"Men+, 18 to 64 years","Atlantic provinces",,13.9
2019,"Men+, 18 to 64 years","Atlantic provinces",,11.2
2020,"Men+, 18 to 64 years","Atlantic provinces",,8.7
2021,"Men+, 18 to 64 years","Atlantic provinces",,7.7
2022,"Men+, 18 to 64 years","Atlantic provinces",,12.4
2023,"Men+, 18 to 64 years","Atlantic provinces",,13.1
2015,"Men+, 65 years and over","Atlantic provinces",,8.2
2016,"Men+, 65 years and over","Atlantic provinces",,7.4
2017,"Men+, 65 years and over","Atlantic provinces",,5.6
2018,"Men+, 65 years and over","Atlantic provinces",,5.2
2019,"Men+, 65 years and over","Atlantic provinces",,4.9
2020,"Men+, 65 years and over","Atlantic provinces",,4
2021,"Men+, 65 years and over","Atlantic provinces",,5.9
2022,"Men+, 65 years and over","Atlantic provinces",,7.6
2023,"Men+, 65 years and over","Atlantic provinces",,6.8
2015,"Men+, under 18 years","Atlantic provinces",,18.7
2016,"Men+, under 18 years","Atlantic provinces",,17.9
2017,"Men+, under 18 years","Atlantic provinces",,15.6
2018,"Men+, under 18 years","Atlantic provinces",,13.8
2019,"Men+, under 18 years","Atlantic provinces",,11.8
2020,"Men+, under 18 years","Atlantic provinces",,5.4
2021,"Men+, under 18 years","Atlantic provinces",,6.5
2022,"Men+, under 18 years","Atlantic provinces",,12.7
2023,"Men+, under 18 years","Atlantic provinces",,15.9
2015,"Persons 18 to 64 years","Atlantic provinces",,16.3
2016,"Persons 18 to 64 years","Atlantic provinces",,15.6
2017,"Persons 18 to 64 years","Atlantic provinces",,14.7
2018,"Persons 18 to 64 years","Atlantic provinces",,13.8
2019,"Persons 18 to 64 years","Atlantic provinces",,12.4
2020,"Persons 18 to 64 years","Atlantic provinces",,9.3
2021,"Persons 18 to 64 years","Atlantic provinces",,8.8
2022,"Persons 18 to 64 years","Atlantic provinces",,12.7
2023,"Persons 18 to 64 years","Atlantic provinces",,13.4
2015,"Persons 65 years and over","Atlantic provinces",,10.5
2016,"Persons 65 years and over","Atlantic provinces",,8.6
2017,"Persons 65 years and over","Atlantic provinces",,7
2018,"Persons 65 years and over","Atlantic provinces",,7.1
2019,"Persons 65 years and over","Atlantic provinces",,7
2020,"Persons 65 years and over","Atlantic provinces",,4.6
2021,"Persons 65 years and over","Atlantic provinces",,7
2022,"Persons 65 years and over","Atlantic provinces",,9
2023,"Persons 65 years and over","Atlantic provinces",,7.6
2015,"Persons under 18 years","Atlantic provinces",,19
2016,"Persons under 18 years","Atlantic provinces",,17.2
2017,"Persons under 18 years","Atlantic provinces",,16.5
2018,"Persons under 18 years","Atlantic provinces",,13.3
2019,"Persons under 18 years","Atlantic provinces",,12.5
2020,"Persons under 18 years","Atlantic provinces",,6.3
2021,"Persons under 18 years","Atlantic provinces",,7.2
2022,"Persons under 18 years","Atlantic provinces",,12.4
2023,"Persons under 18 years","Atlantic provinces",,15.2
2015,"Women+","Atlantic provinces",,16.3
2016,"Women+","Atlantic provinces",,15
2017,"Women+","Atlantic provinces",,14.6
2018,"Women+","Atlantic provinces",,12.5
2019,"Women+","Atlantic provinces",,12.6
2020,"Women+","Atlantic provinces",,8.3
2021,"Women+","Atlantic provinces",,9
2022,"Women+","Atlantic provinces",,12.1
2023,"Women+","Atlantic provinces",,12.6
2015,"Women+, 18 to 64 years","Atlantic provinces",,16.7
2016,"Women+, 18 to 64 years","Atlantic provinces",,16.3
2017,"Women+, 18 to 64 years","Atlantic provinces",,16
2018,"Women+, 18 to 64 years","Atlantic provinces",,13.7
2019,"Women+, 18 to 64 years","Atlantic provinces",,13.7
2020,"Women+, 18 to 64 years","Atlantic provinces",,9.8
2021,"Women+, 18 to 64 years","Atlantic provinces",,9.8
2022,"Women+, 18 to 64 years","Atlantic provinces",,12.9
2023,"Women+, 18 to 64 years","Atlantic provinces",,13.7
