"Year","Series","Units","Highest level of education","Age group","Sex","Location","COMMENT_OBS","Progress","Value"
2015,"Completion rate","Adjusted gender parity index","Upper secondary education","","","",,1,1.013
2016,"Completion rate","Adjusted gender parity index","Upper secondary education","","","",,1.01626405239105,1.046
2017,"Completion rate","Adjusted gender parity index","Upper secondary education","","","",,1,1.013
2015,"Completion rate","Adjusted location parity index","Upper secondary education","","","",,1.03030428409576,0.94
2016,"Completion rate","Adjusted location parity index","Upper secondary education","","","",,1,1.006
2017,"Completion rate","Adjusted location parity index","Upper secondary education","","","",,1.01573917388916,0.954
2015,"Completion rate","Adjusted wealth parity index","Upper secondary education","","","",,1.06543919563293,0.905
2016,"Completion rate","Adjusted wealth parity index","Upper secondary education","","","",,1.0843764257431,0.886
2017,"Completion rate","Adjusted wealth parity index","Upper secondary education","","","",,1.02547595024109,0.945
2015,"Educational attainment rate","Adjusted gender parity index","Completed primary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,0.991
2016,"Educational attainment rate","Adjusted gender parity index","Completed primary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,0.996
2017,"Educational attainment rate","Adjusted gender parity index","Completed primary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,0.997
2018,"Educational attainment rate","Adjusted gender parity index","Completed primary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,0.995
2019,"Educational attainment rate","Adjusted gender parity index","Completed primary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,0.995
2020,"Educational attainment rate","Adjusted gender parity index","Completed primary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,0.994
2021,"Educational attainment rate","Adjusted gender parity index","Completed primary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,0.993
2022,"Educational attainment rate","Adjusted gender parity index","Completed primary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,0.997
2023,"Educational attainment rate","Adjusted gender parity index","Completed primary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,0.995
2024,"Educational attainment rate","Adjusted gender parity index","Completed primary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,0.996
2015,"Educational attainment rate","Adjusted gender parity index","Completed lower secondary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,0.991
2016,"Educational attainment rate","Adjusted gender parity index","Completed lower secondary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,0.996
2017,"Educational attainment rate","Adjusted gender parity index","Completed lower secondary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,0.997
2018,"Educational attainment rate","Adjusted gender parity index","Completed lower secondary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,0.995
2019,"Educational attainment rate","Adjusted gender parity index","Completed lower secondary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,0.995
2020,"Educational attainment rate","Adjusted gender parity index","Completed lower secondary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,0.994
2021,"Educational attainment rate","Adjusted gender parity index","Completed lower secondary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,0.993
2022,"Educational attainment rate","Adjusted gender parity index","Completed lower secondary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,0.997
2023,"Educational attainment rate","Adjusted gender parity index","Completed lower secondary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,0.995
2024,"Educational attainment rate","Adjusted gender parity index","Completed lower secondary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,0.996
2016,"Educational attainment rate","Adjusted location parity index","Completed upper secondary education or higher","","Female","",,1.02000001192093,0.95
2021,"Educational attainment rate","Adjusted location parity index","Completed upper secondary education or higher","","Female","",,1.01000002145767,0.96
2015,"Educational attainment rate","Adjusted gender parity index","Completed upper secondary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1
2016,"Educational attainment rate","Adjusted gender parity index","Completed upper secondary education or higher","","","",,1,1.01
2017,"Educational attainment rate","Adjusted gender parity index","Completed upper secondary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1.01
2018,"Educational attainment rate","Adjusted gender parity index","Completed upper secondary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1.011
2019,"Educational attainment rate","Adjusted gender parity index","Completed upper secondary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1.008
2020,"Educational attainment rate","Adjusted gender parity index","Completed upper secondary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1.008
2021,"Educational attainment rate","Adjusted gender parity index","Completed upper secondary education or higher","","","",,1,1.01
2022,"Educational attainment rate","Adjusted gender parity index","Completed upper secondary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1.011
2023,"Educational attainment rate","Adjusted gender parity index","Completed upper secondary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1.011
2024,"Educational attainment rate","Adjusted gender parity index","Completed upper secondary education or higher","","","","Estimate produced by the UNESCO Institute for Statistics (UIS).",1,1.012
2016,"Educational attainment rate","Adjusted location parity index","Completed upper secondary education or higher","","","",,1.03999999284744,0.93
2021,"Educational attainment rate","Adjusted location parity index","Completed upper secondary education or higher","","","",,1.03000000238419,0.94
