Year,Geography,Persons in low income,GeoCode,Value
2019,"Vancouver, British Columbia",Males,NA,9.8
2019,"Vancouver, British Columbia","Males, under 18 years",NA,NA
2019,"Vancouver, British Columbia","Males, 18 to 64 years",NA,12
2019,"Vancouver, British Columbia","Males, 65 years and over",NA,7.1
2019,"Vancouver, British Columbia",Females,NA,10.9
2019,"Vancouver, British Columbia","Females, under 18 years",NA,NA
2019,"Vancouver, British Columbia","Females, 18 to 64 years",NA,12.5
2019,"Vancouver, British Columbia","Females, 65 years and over",NA,11
2020,Canada,Persons under 18 years,NA,7.5
2020,Canada,Persons 18 to 64 years,NA,8.3
2020,Canada,Persons 65 years and over,NA,14.5
2020,Canada,Males,NA,8.5
2020,Canada,"Males, under 18 years",NA,7.5
2020,Canada,"Males, 18 to 64 years",NA,8
2020,Canada,"Males, 65 years and over",NA,11.7
2020,Canada,Females,NA,10
2020,Canada,"Females, under 18 years",NA,7.5
2020,Canada,"Females, 18 to 64 years",NA,8.5
2020,Canada,"Females, 65 years and over",NA,17
2020,Atlantic provinces,All persons,NA,12.4
2020,Atlantic provinces,Persons under 18 years,NA,9.8
2020,Atlantic provinces,Persons 18 to 64 years,NA,10.2
2020,Atlantic provinces,Persons 65 years and over,NA,20.6
2020,Atlantic provinces,Males,NA,10.7
2020,Atlantic provinces,"Males, under 18 years",NA,9.2
2020,Atlantic provinces,"Males, 18 to 64 years",NA,9
2020,Atlantic provinces,"Males, 65 years and over",NA,16.9
2020,Atlantic provinces,Females,NA,14.1
2020,Atlantic provinces,"Females, under 18 years",NA,10.5
2020,Atlantic provinces,"Females, 18 to 64 years",NA,11.4
2020,Atlantic provinces,"Females, 65 years and over",NA,23.8
2020,Newfoundland and Labrador,All persons,10,11.9
2020,Newfoundland and Labrador,Persons under 18 years,NA,8
2020,Newfoundland and Labrador,Persons 18 to 64 years,NA,8.8
2020,Newfoundland and Labrador,Persons 65 years and over,NA,23.1
2020,Newfoundland and Labrador,Males,NA,10.5
2020,Newfoundland and Labrador,"Males, under 18 years",NA,7
2020,Newfoundland and Labrador,"Males, 18 to 64 years",NA,8.3
2020,Newfoundland and Labrador,"Males, 65 years and over",NA,19.4
2020,Newfoundland and Labrador,Females,NA,13.3
2020,Newfoundland and Labrador,"Females, under 18 years",NA,9
2020,Newfoundland and Labrador,"Females, 18 to 64 years",NA,9.4
2020,Newfoundland and Labrador,"Females, 65 years and over",NA,26.6
2020,Prince Edward Island,All persons,11,13
2020,Prince Edward Island,Persons under 18 years,NA,14.6
2020,Prince Edward Island,Persons 18 to 64 years,NA,10.6
2020,Prince Edward Island,Persons 65 years and over,NA,18.8
2020,Prince Edward Island,Males,NA,11.8
2020,Prince Edward Island,"Males, under 18 years",NA,12.1
2020,Prince Edward Island,"Males, 18 to 64 years",NA,10
2020,Prince Edward Island,"Males, 65 years and over",NA,17.2
2020,Prince Edward Island,Females,NA,14.1
2020,Prince Edward Island,"Females, under 18 years",NA,17.2
2020,Prince Edward Island,"Females, 18 to 64 years",NA,11.1
2020,Prince Edward Island,"Females, 65 years and over",NA,20.2
2020,Nova Scotia,All persons,12,12
2020,Nova Scotia,Persons under 18 years,NA,9.9
2020,Nova Scotia,Persons 18 to 64 years,NA,10.1
2020,Nova Scotia,Persons 65 years and over,NA,19.4
2020,Nova Scotia,Males,NA,10
2020,Nova Scotia,"Males, under 18 years",NA,8.6
2020,Nova Scotia,"Males, 18 to 64 years",NA,8.3
2020,Nova Scotia,"Males, 65 years and over",NA,16.1
2020,Nova Scotia,Females,NA,14
2020,Nova Scotia,"Females, under 18 years",NA,11.3
2020,Nova Scotia,"Females, 18 to 64 years",NA,11.7
2020,Nova Scotia,"Females, 65 years and over",NA,22.3
2020,New Brunswick,All persons,13,13.1
2020,New Brunswick,Persons under 18 years,NA,9.9
2020,New Brunswick,Persons 18 to 64 years,NA,11.3
2020,New Brunswick,Persons 65 years and over,NA,20.5
2020,New Brunswick,Males,NA,11.4
2020,New Brunswick,"Males, under 18 years",NA,10.7
2020,New Brunswick,"Males, 18 to 64 years",NA,10
2020,New Brunswick,"Males, 65 years and over",NA,16.1
2020,New Brunswick,Females,NA,14.7
2020,New Brunswick,"Females, under 18 years",NA,9
2020,New Brunswick,"Females, 18 to 64 years",NA,12.5
2020,New Brunswick,"Females, 65 years and over",NA,24.5
2020,Quebec,All persons,24,10.1
2020,Quebec,Persons under 18 years,NA,6.6
2020,Quebec,Persons 18 to 64 years,NA,8.1
2020,Quebec,Persons 65 years and over,NA,19.7
2020,Quebec,Males,NA,8.9
2020,Quebec,"Males, under 18 years",NA,6
2020,Quebec,"Males, 18 to 64 years",NA,8
2020,Quebec,"Males, 65 years and over",NA,15.2
2020,Quebec,Females,NA,11.2
2020,Quebec,"Females, under 18 years",NA,7.3
2020,Quebec,"Females, 18 to 64 years",NA,8.2
2020,Quebec,"Females, 65 years and over",NA,23.7
2020,Ontario,All persons,35,9
2020,Ontario,Persons under 18 years,NA,7.9
2020,Ontario,Persons 18 to 64 years,NA,8.3
2020,Ontario,Persons 65 years and over,NA,12.9
2020,Ontario,Males,NA,8.4
2020,Ontario,"Males, under 18 years",NA,7.9
2020,Ontario,"Males, 18 to 64 years",NA,7.9
2020,Ontario,"Males, 65 years and over",NA,11.1
2020,Ontario,Females,NA,9.6
2020,Ontario,"Females, under 18 years",NA,8
2020,Ontario,"Females, 18 to 64 years",NA,8.7
2020,Ontario,"Females, 65 years and over",NA,14.4
2020,Prairie provinces,All persons,NA,7.9
2020,Prairie provinces,Persons under 18 years,NA,7.6
2020,Prairie provinces,Persons 18 to 64 years,NA,7.4
2020,Prairie provinces,Persons 65 years and over,NA,10.6
2020,Prairie provinces,Males,NA,7.7
2020,Prairie provinces,"Males, under 18 years",NA,7.9
2020,Prairie provinces,"Males, 18 to 64 years",NA,7.4
2020,Prairie provinces,"Males, 65 years and over",NA,8.5
2020,Prairie provinces,Females,NA,8.2
2020,Prairie provinces,"Females, under 18 years",NA,7.3
2020,Prairie provinces,"Females, 18 to 64 years",NA,7.4
2020,Prairie provinces,"Females, 65 years and over",NA,12.5
2020,Manitoba,All persons,46,11.4
2020,Manitoba,Persons under 18 years,NA,12.4
2020,Manitoba,Persons 18 to 64 years,NA,10.7
2020,Manitoba,Persons 65 years and over,NA,12.6
2020,Manitoba,Males,NA,10.9
2020,Manitoba,"Males, under 18 years",NA,13.8
2020,Manitoba,"Males, 18 to 64 years",NA,10.4
2020,Manitoba,"Males, 65 years and over",NA,8.3
2020,Manitoba,Females,NA,11.9
2020,Manitoba,"Females, under 18 years",NA,11
2020,Manitoba,"Females, 18 to 64 years",NA,11
2020,Manitoba,"Females, 65 years and over",NA,16.4
2020,Saskatchewan,All persons,47,9.6
2020,Saskatchewan,Persons under 18 years,NA,8.9
2020,Saskatchewan,Persons 18 to 64 years,NA,8.3
2020,Saskatchewan,Persons 65 years and over,NA,15.5
2020,Saskatchewan,Males,NA,10
2020,Saskatchewan,"Males, under 18 years",NA,11
2020,Saskatchewan,"Males, 18 to 64 years",NA,8.5
2020,Saskatchewan,"Males, 65 years and over",NA,14.5
2020,Saskatchewan,Females,NA,9.2
2020,Saskatchewan,"Females, under 18 years",NA,6.8
2020,Saskatchewan,"Females, 18 to 64 years",NA,8.1
2020,Saskatchewan,"Females, 65 years and over",NA,16.3
2020,Alberta,All persons,48,6.4
2020,Alberta,Persons under 18 years,NA,5.8
2020,Alberta,Persons 18 to 64 years,NA,6.2
2020,Alberta,Persons 65 years and over,NA,8.4
2020,Alberta,Males,NA,6.1
2020,Alberta,"Males, under 18 years",NA,5.3
2020,Alberta,"Males, 18 to 64 years",NA,6.2
2020,Alberta,"Males, 65 years and over",NA,6.7
2020,Alberta,Females,NA,6.8
2020,Alberta,"Females, under 18 years",NA,6.4
2020,Alberta,"Females, 18 to 64 years",NA,6.2
2020,Alberta,"Females, 65 years and over",NA,10
2020,British Columbia,All persons,59,8.9
2020,British Columbia,Persons under 18 years,NA,6.7
2020,British Columbia,Persons 18 to 64 years,NA,8.9
2020,British Columbia,Persons 65 years and over,NA,10.8
2020,British Columbia,Males,NA,8.5
2020,British Columbia,"Males, under 18 years",NA,7.7
2020,British Columbia,"Males, 18 to 64 years",NA,9
2020,British Columbia,"Males, 65 years and over",NA,7.7
2020,British Columbia,Females,NA,9.2
2020,British Columbia,"Females, under 18 years",NA,5.6
2020,British Columbia,"Females, 18 to 64 years",NA,8.8
2020,British Columbia,"Females, 65 years and over",NA,13.6
2020,"Québec, Quebec",All persons,NA,6.6
2020,"Québec, Quebec",Persons under 18 years,NA,NA
2020,"Québec, Quebec",Persons 18 to 64 years,NA,5.3
2020,"Québec, Quebec",Persons 65 years and over,NA,14.5
2020,"Québec, Quebec",Males,NA,5.7
2020,"Québec, Quebec","Males, under 18 years",NA,NA
2020,"Québec, Quebec","Males, 18 to 64 years",NA,4.8
2020,"Québec, Quebec","Males, 65 years and over",NA,12
2020,"Québec, Quebec",Females,NA,7.4
2020,"Québec, Quebec","Females, under 18 years",NA,NA
2020,"Québec, Quebec","Females, 18 to 64 years",NA,5.9
2020,"Québec, Quebec","Females, 65 years and over",NA,16.8
2020,"Montréal, Quebec",All persons,NA,9.5
2020,"Montréal, Quebec",Persons under 18 years,NA,7.4
2020,"Montréal, Quebec",Persons 18 to 64 years,NA,8.1
2020,"Montréal, Quebec",Persons 65 years and over,NA,17.9
2020,"Montréal, Quebec",Males,NA,8.1
2020,"Montréal, Quebec","Males, under 18 years",NA,6.6
2020,"Montréal, Quebec","Males, 18 to 64 years",NA,7.4
2020,"Montréal, Quebec","Males, 65 years and over",NA,13.6
2020,"Montréal, Quebec",Females,NA,10.9
2020,"Montréal, Quebec","Females, under 18 years",NA,8.3
2020,"Montréal, Quebec","Females, 18 to 64 years",NA,8.7
2020,"Montréal, Quebec","Females, 65 years and over",NA,21.3
2020,"Ottawa-Gatineau, Ontario/Quebec",All persons,NA,6.9
2020,"Ottawa-Gatineau, Ontario/Quebec",Persons under 18 years,NA,3.8
2020,"Ottawa-Gatineau, Ontario/Quebec",Persons 18 to 64 years,NA,6.3
2020,"Ottawa-Gatineau, Ontario/Quebec",Persons 65 years and over,NA,13.1
2020,"Ottawa-Gatineau, Ontario/Quebec",Males,NA,7
2020,"Ottawa-Gatineau, Ontario/Quebec","Males, under 18 years",NA,NA
2020,"Ottawa-Gatineau, Ontario/Quebec","Males, 18 to 64 years",NA,7
2020,"Ottawa-Gatineau, Ontario/Quebec","Males, 65 years and over",NA,10.7
2020,"Ottawa-Gatineau, Ontario/Quebec",Females,NA,6.9
2020,"Ottawa-Gatineau, Ontario/Quebec","Females, under 18 years",NA,3.7
2020,"Ottawa-Gatineau, Ontario/Quebec","Females, 18 to 64 years",NA,5.6
2020,"Ottawa-Gatineau, Ontario/Quebec","Females, 65 years and over",NA,15.3
2020,"Toronto, Ontario",All persons,NA,9.9
2020,"Toronto, Ontario",Persons under 18 years,NA,10.6
2020,"Toronto, Ontario",Persons 18 to 64 years,NA,9
2020,"Toronto, Ontario",Persons 65 years and over,NA,13.2
2020,"Toronto, Ontario",Males,NA,9.1
2020,"Toronto, Ontario","Males, under 18 years",NA,10
2020,"Toronto, Ontario","Males, 18 to 64 years",NA,8.2
2020,"Toronto, Ontario","Males, 65 years and over",NA,12.4
2020,"Toronto, Ontario",Females,NA,10.8
2020,"Toronto, Ontario","Females, under 18 years",NA,11.3
2020,"Toronto, Ontario","Females, 18 to 64 years",NA,9.8
2020,"Toronto, Ontario","Females, 65 years and over",NA,13.9
2020,"Winnipeg, Manitoba",All persons,NA,10.4
2020,"Winnipeg, Manitoba",Persons under 18 years,NA,11
2020,"Winnipeg, Manitoba",Persons 18 to 64 years,NA,9.9
2020,"Winnipeg, Manitoba",Persons 65 years and over,NA,11.3
2020,"Winnipeg, Manitoba",Males,NA,10.4
2020,"Winnipeg, Manitoba","Males, under 18 years",NA,12.6
2020,"Winnipeg, Manitoba","Males, 18 to 64 years",NA,10.4
2020,"Winnipeg, Manitoba","Males, 65 years and over",NA,7.3
2020,"Winnipeg, Manitoba",Females,NA,10.4
2020,"Winnipeg, Manitoba","Females, under 18 years",NA,9.3
2020,"Winnipeg, Manitoba","Females, 18 to 64 years",NA,9.5
2020,"Winnipeg, Manitoba","Females, 65 years and over",NA,14.9
2020,"Calgary, Alberta",All persons,NA,6.5
2020,"Calgary, Alberta",Persons under 18 years,NA,7.3
2020,"Calgary, Alberta",Persons 18 to 64 years,NA,6.3
2020,"Calgary, Alberta",Persons 65 years and over,NA,6.4
2020,"Calgary, Alberta",Males,NA,5.9
2020,"Calgary, Alberta","Males, under 18 years",NA,NA
2020,"Calgary, Alberta","Males, 18 to 64 years",NA,6.3
2020,"Calgary, Alberta","Males, 65 years and over",NA,NA
2020,"Calgary, Alberta",Females,NA,7.1
2020,"Calgary, Alberta","Females, under 18 years",NA,8.8
2020,"Calgary, Alberta","Females, 18 to 64 years",NA,6.2
2020,"Calgary, Alberta","Females, 65 years and over",NA,9
2020,"Edmonton, Alberta",All persons,NA,6.1
2020,"Edmonton, Alberta",Persons under 18 years,NA,5.6
2020,"Edmonton, Alberta",Persons 18 to 64 years,NA,6.1
2020,"Edmonton, Alberta",Persons 65 years and over,NA,6.9
2020,"Edmonton, Alberta",Males,NA,6
2020,"Edmonton, Alberta","Males, under 18 years",NA,5.8
2020,"Edmonton, Alberta","Males, 18 to 64 years",NA,5.9
2020,"Edmonton, Alberta","Males, 65 years and over",NA,NA
2020,"Edmonton, Alberta",Females,NA,6.3
2020,"Edmonton, Alberta","Females, under 18 years",NA,NA
2020,"Edmonton, Alberta","Females, 18 to 64 years",NA,6.4
2020,"Edmonton, Alberta","Females, 65 years and over",NA,7.2
2020,"Vancouver, British Columbia",All persons,NA,9.1
2020,"Vancouver, British Columbia",Persons under 18 years,NA,5.8
2020,"Vancouver, British Columbia",Persons 18 to 64 years,NA,9.6
2020,"Vancouver, British Columbia",Persons 65 years and over,NA,10
2020,"Vancouver, British Columbia",Males,NA,8.6
2020,"Vancouver, British Columbia","Males, under 18 years",NA,6.1
2020,"Vancouver, British Columbia","Males, 18 to 64 years",NA,9.8
2020,"Vancouver, British Columbia","Males, 65 years and over",NA,5.9
2020,"Vancouver, British Columbia",Females,NA,9.5
2020,"Vancouver, British Columbia","Females, under 18 years",NA,5.5
2020,"Vancouver, British Columbia","Females, 18 to 64 years",NA,9.4
2020,"Vancouver, British Columbia","Females, 65 years and over",NA,13.7
