Year,Géographie,Marital status,Age Group,Value
2016,Canada,Married or living common law,15 à 19 ans,1.66
2016,Canada,Married or living common law,20 à 24 ans,18.78
2016,Canada,Married,15 à 19 ans,0.19
2016,Canada,Married,20 à 24 ans,5.03
2016,Canada,Living common law,15 à 19 ans,1.47
2016,Canada,Living common law,20 à 24 ans,13.75
2011,Canada,Married or living common law,15 à 19 ans,2.22
2011,Canada,Married or living common law,20 à 24 ans,21.44
2011,Canada,Married,15 à 19 ans,0.32
2011,Canada,Married,20 à 24 ans,6.66
2011,Canada,Living common law,15 à 19 ans,1.9
2011,Canada,Living common law,20 à 24 ans,14.78
2006,Canada,Married or living common law,15 à 19 ans,2.91
2006,Canada,Married or living common law,20 à 24 ans,23.56
2006,Canada,Married,15 à 19 ans,0.71
2006,Canada,Married,20 à 24 ans,8.24
2006,Canada,Living common law,15 à 19 ans,2.2
2006,Canada,Living common law,20 à 24 ans,15.32
2001,Canada,Married or living common law,15 à 19 ans,2.96
2001,Canada,Married or living common law,20 à 24 ans,25.61
2001,Canada,Married,15 à 19 ans,0.61
2001,Canada,Married,20 à 24 ans,10.19
2001,Canada,Living common law,15 à 19 ans,2.35
2001,Canada,Living common law,20 à 24 ans,15.42
1996,Canada,Married or living common law,15 à 19 ans,3.41
1996,Canada,Married or living common law,20 à 24 ans,27.77
1996,Canada,Married,15 à 19 ans,0.78
1996,Canada,Married,20 à 24 ans,13.18
1996,Canada,Living common law,15 à 19 ans,2.64
1996,Canada,Living common law,20 à 24 ans,14.6
2016,Terre-Neuve-et-Labrador,Married or living common law,15 à 19 ans,1.85
2016,Terre-Neuve-et-Labrador,Married or living common law,20 à 24 ans,19.77
2016,Terre-Neuve-et-Labrador,Married,15 à 19 ans,0.08
2016,Terre-Neuve-et-Labrador,Married,20 à 24 ans,2.9
2016,Terre-Neuve-et-Labrador,Living common law,15 à 19 ans,1.73
2016,Terre-Neuve-et-Labrador,Living common law,20 à 24 ans,16.87
2011,Terre-Neuve-et-Labrador,Married or living common law,15 à 19 ans,2.05
2011,Terre-Neuve-et-Labrador,Married or living common law,20 à 24 ans,19.0
2011,Terre-Neuve-et-Labrador,Married,15 à 19 ans,0.1
2011,Terre-Neuve-et-Labrador,Married,20 à 24 ans,3.61
2011,Terre-Neuve-et-Labrador,Living common law,15 à 19 ans,1.94
2011,Terre-Neuve-et-Labrador,Living common law,20 à 24 ans,15.39
2006,Terre-Neuve-et-Labrador,Married or living common law,15 à 19 ans,1.94
2006,Terre-Neuve-et-Labrador,Married or living common law,20 à 24 ans,16.87
2006,Terre-Neuve-et-Labrador,Married,15 à 19 ans,0.42
2006,Terre-Neuve-et-Labrador,Married,20 à 24 ans,4.63
2006,Terre-Neuve-et-Labrador,Living common law,15 à 19 ans,1.49
2006,Terre-Neuve-et-Labrador,Living common law,20 à 24 ans,12.24
2001,Terre-Neuve-et-Labrador,Married or living common law,15 à 19 ans,1.78
2001,Terre-Neuve-et-Labrador,Married or living common law,20 à 24 ans,20.44
2001,Terre-Neuve-et-Labrador,Married,15 à 19 ans,0.28
2001,Terre-Neuve-et-Labrador,Married,20 à 24 ans,7.35
2001,Terre-Neuve-et-Labrador,Living common law,15 à 19 ans,1.5
2001,Terre-Neuve-et-Labrador,Living common law,20 à 24 ans,13.12
1996,Terre-Neuve-et-Labrador,Married or living common law,15 à 19 ans,2.16
1996,Terre-Neuve-et-Labrador,Married or living common law,20 à 24 ans,24.37
1996,Terre-Neuve-et-Labrador,Married,15 à 19 ans,0.42
1996,Terre-Neuve-et-Labrador,Married,20 à 24 ans,10.93
1996,Terre-Neuve-et-Labrador,Living common law,15 à 19 ans,1.76
1996,Terre-Neuve-et-Labrador,Living common law,20 à 24 ans,13.44
2016,Île-du-Prince-Édouard,Married or living common law,15 à 19 ans,1.78
2016,Île-du-Prince-Édouard,Married or living common law,20 à 24 ans,19.03
2016,Île-du-Prince-Édouard,Married,15 à 19 ans,0.36
2016,Île-du-Prince-Édouard,Married,20 à 24 ans,4.02
2016,Île-du-Prince-Édouard,Living common law,15 à 19 ans,1.43
2016,Île-du-Prince-Édouard,Living common law,20 à 24 ans,14.89
2011,Île-du-Prince-Édouard,Married or living common law,15 à 19 ans,2.01
2011,Île-du-Prince-Édouard,Married or living common law,20 à 24 ans,19.14
2011,Île-du-Prince-Édouard,Married,15 à 19 ans,0.11
2011,Île-du-Prince-Édouard,Married,20 à 24 ans,5.41
2011,Île-du-Prince-Édouard,Living common law,15 à 19 ans,1.91
2011,Île-du-Prince-Édouard,Living common law,20 à 24 ans,13.74
2006,Île-du-Prince-Édouard,Married or living common law,15 à 19 ans,2.13
2006,Île-du-Prince-Édouard,Married or living common law,20 à 24 ans,20.57
2006,Île-du-Prince-Édouard,Married,15 à 19 ans,0.51
2006,Île-du-Prince-Édouard,Married,20 à 24 ans,7.16
2006,Île-du-Prince-Édouard,Living common law,15 à 19 ans,1.62
2006,Île-du-Prince-Édouard,Living common law,20 à 24 ans,13.41
2001,Île-du-Prince-Édouard,Married or living common law,15 à 19 ans,2.97
2001,Île-du-Prince-Édouard,Married or living common law,20 à 24 ans,25.93
2001,Île-du-Prince-Édouard,Married,15 à 19 ans,0.4
2001,Île-du-Prince-Édouard,Married,20 à 24 ans,11.1
2001,Île-du-Prince-Édouard,Living common law,15 à 19 ans,2.57
2001,Île-du-Prince-Édouard,Living common law,20 à 24 ans,14.84
1996,Île-du-Prince-Édouard,Married or living common law,15 à 19 ans,2.56
1996,Île-du-Prince-Édouard,Married or living common law,20 à 24 ans,27.81
1996,Île-du-Prince-Édouard,Married,15 à 19 ans,0.51
1996,Île-du-Prince-Édouard,Married,20 à 24 ans,14.07
