Year,Géographie,Âge au décès,Sexe,Causes of death,Value
2015,Canada,30 à 34 ans,Les deux sexes,Malignant neoplasms,16.0
2015,Canada,30 à 34 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,Canada,30 à 34 ans,Les deux sexes,Diabetes mellitus,1.2
2015,Canada,30 à 34 ans,Les deux sexes,Diseases of heart,5.1
2015,Canada,30 à 34 ans,Les deux sexes,Influenza and pneumonia,0.8
2015,Canada,30 à 34 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,Canada,30 à 34 ans,Les deux sexes,Chronic lower respiratory diseases,0.1
2015,Canada,30 à 34 ans,Hommes,Malignant neoplasms,11.1
2015,Canada,30 à 34 ans,Hommes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2015,Canada,30 à 34 ans,Hommes,Diabetes mellitus,1.1
2015,Canada,30 à 34 ans,Hommes,Diseases of heart,5.2
2015,Canada,30 à 34 ans,Hommes,Influenza and pneumonia,0.6
2015,Canada,30 à 34 ans,Hommes,Acute bronchitis and bronchiolitis,0.0
2015,Canada,30 à 34 ans,Hommes,Chronic lower respiratory diseases,0.0
2015,Canada,30 à 34 ans,Femmes,Malignant neoplasms,25.6
2015,Canada,30 à 34 ans,Femmes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2015,Canada,30 à 34 ans,Femmes,Diabetes mellitus,1.4
2015,Canada,30 à 34 ans,Femmes,Diseases of heart,4.9
2015,Canada,30 à 34 ans,Femmes,Influenza and pneumonia,1.2
2015,Canada,30 à 34 ans,Femmes,Acute bronchitis and bronchiolitis,0.0
2015,Canada,30 à 34 ans,Femmes,Chronic lower respiratory diseases,0.3
2015,Canada,35 à 44 ans,Les deux sexes,Malignant neoplasms,23.5
2015,Canada,35 à 44 ans,Les deux sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2015,Canada,35 à 44 ans,Les deux sexes,Diabetes mellitus,2.2
2015,Canada,35 à 44 ans,Les deux sexes,Diseases of heart,9.7
2015,Canada,35 à 44 ans,Les deux sexes,Influenza and pneumonia,1.2
2015,Canada,35 à 44 ans,Les deux sexes,Acute bronchitis and bronchiolitis,0.0
2015,Canada,35 à 44 ans,Les deux sexes,Chronic lower respiratory diseases,0.6
