Year,Series,Services de base,Niveau de compétence,Units,Sexe,Géographie,Sources des déchets à des fins d'élimination,GeoCode,Value
2000,Accès aux services d’eau potable de base,Proportion de la population utilisant les services d’eau potable de base,,Pourcentage (%),,,,,98.2
2001,Accès aux services d’eau potable de base,Proportion de la population utilisant les services d’eau potable de base,,Pourcentage (%),,,,,98.2
2002,Accès aux services d’eau potable de base,Proportion de la population utilisant les services d’eau potable de base,,Pourcentage (%),,,,,98.2
2003,Accès aux services d’eau potable de base,Proportion de la population utilisant les services d’eau potable de base,,Pourcentage (%),,,,,98.2
2004,Accès aux services d’eau potable de base,Proportion de la population utilisant les services d’eau potable de base,,Pourcentage (%),,,,,98.2
2005,Accès aux services d’eau potable de base,Proportion de la population utilisant les services d’eau potable de base,,Pourcentage (%),,,,,98.2
2006,Accès aux services d’eau potable de base,Proportion de la population utilisant les services d’eau potable de base,,Pourcentage (%),,,,,98.3
2007,Accès aux services d’eau potable de base,Proportion de la population utilisant les services d’eau potable de base,,Pourcentage (%),,,,,98.4
2008,Accès aux services d’eau potable de base,Proportion de la population utilisant les services d’eau potable de base,,Pourcentage (%),,,,,98.4
2009,Accès aux services d’eau potable de base,Proportion de la population utilisant les services d’eau potable de base,,Pourcentage (%),,,,,98.5
2010,Accès aux services d’eau potable de base,Proportion de la population utilisant les services d’eau potable de base,,Pourcentage (%),,,,,98.5
2011,Accès aux services d’eau potable de base,Proportion de la population utilisant les services d’eau potable de base,,Pourcentage (%),,,,,98.6
2012,Accès aux services d’eau potable de base,Proportion de la population utilisant les services d’eau potable de base,,Pourcentage (%),,,,,98.7
2013,Accès aux services d’eau potable de base,Proportion de la population utilisant les services d’eau potable de base,,Pourcentage (%),,,,,98.7
2014,Accès aux services d’eau potable de base,Proportion de la population utilisant les services d’eau potable de base,,Pourcentage (%),,,,,98.8
2015,Accès aux services d’eau potable de base,Proportion de la population utilisant les services d’eau potable de base,,Pourcentage (%),,,,,98.8
2016,Accès aux services d’eau potable de base,Proportion de la population utilisant les services d’eau potable de base,,Pourcentage (%),,,,,98.9
2017,Accès aux services d’eau potable de base,Proportion de la population utilisant les services d’eau potable de base,,Pourcentage (%),,,,,98.9
2018,Accès aux services d’eau potable de base,Proportion de la population utilisant les services d’eau potable de base,,Pourcentage (%),,,,,99.0
2019,Accès aux services d’eau potable de base,Proportion de la population utilisant les services d’eau potable de base,,Pourcentage (%),,,,,99.0
2020,Accès aux services d’eau potable de base,Proportion de la population utilisant les services d’eau potable de base,,Pourcentage (%),,,,,99.0
2021,Accès aux services d’eau potable de base,Proportion de la population utilisant les services d’eau potable de base,,Pourcentage (%),,,,,99.0
2022,Accès aux services d’eau potable de base,Proportion de la population utilisant les services d’eau potable de base,,Pourcentage (%),,,,,99.0
2000,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,,77.4
2001,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,,77.4
2002,Accès aux services d’assainissement de base,Proportion de la population utilisant les services d’assainissement de base,,Pourcentage (%),,,,,77.4
