Year,Units,Educational indicator,Level of education,Series,Geography,GeoCode,Value
2012,Ratio,Participation rate in organized learning,,Gender Parity Index,Canada,,0.97
2012,Ratio,Participation rate in organized learning,,Gender Parity Index,Newfoundland and Labrador,10,0.94
2012,Ratio,Participation rate in organized learning,,Gender Parity Index,Prince Edward Island,11,1.16
2012,Ratio,Participation rate in organized learning,,Gender Parity Index,Nova Scotia,12,0.93
2012,Ratio,Participation rate in organized learning,,Gender Parity Index,New Brunswick,13,0.87
2012,Ratio,Participation rate in organized learning,,Gender Parity Index,Quebec,24,1.05
2012,Ratio,Participation rate in organized learning,,Gender Parity Index,Ontario,35,0.98
2012,Ratio,Participation rate in organized learning,,Gender Parity Index,Manitoba,46,0.97
2012,Ratio,Participation rate in organized learning,,Gender Parity Index,Saskatchewan,47,0.99
2012,Ratio,Participation rate in organized learning,,Gender Parity Index,Alberta,48,0.85
2012,Ratio,Participation rate in organized learning,,Gender Parity Index,British Columbia,59,0.98
2012,Ratio,Participation rate in organized learning,,Gender Parity Index,Yukon,60,0.98
2012,Ratio,Participation rate in organized learning,,Gender Parity Index,Northwest Territories,61,1.13
2012,Ratio,Participation rate in organized learning,,Gender Parity Index,Nunavut,62,1.12
2015,Ratio,Proportion of 15-year-olds achieving at least a minimum proficiency level (PISA level 2) in mathematics,,Gender Parity Index,Canada,,1.0
2015,Ratio,Proportion of 15-year-olds achieving at least a minimum proficiency level (PISA level 2) in mathematics,,Gender Parity Index,Newfoundland and Labrador,10,0.96
2015,Ratio,Proportion of 15-year-olds achieving at least a minimum proficiency level (PISA level 2) in mathematics,,Gender Parity Index,Prince Edward Island,11,1.04
2015,Ratio,Proportion of 15-year-olds achieving at least a minimum proficiency level (PISA level 2) in mathematics,,Gender Parity Index,Nova Scotia,12,1.0
2015,Ratio,Proportion of 15-year-olds achieving at least a minimum proficiency level (PISA level 2) in mathematics,,Gender Parity Index,New Brunswick,13,1.0
2015,Ratio,Proportion of 15-year-olds achieving at least a minimum proficiency level (PISA level 2) in mathematics,,Gender Parity Index,Quebec,24,1.01
2015,Ratio,Proportion of 15-year-olds achieving at least a minimum proficiency level (PISA level 2) in mathematics,,Gender Parity Index,Ontario,35,0.99
2015,Ratio,Proportion of 15-year-olds achieving at least a minimum proficiency level (PISA level 2) in mathematics,,Gender Parity Index,Manitoba,46,0.96
2015,Ratio,Proportion of 15-year-olds achieving at least a minimum proficiency level (PISA level 2) in mathematics,,Gender Parity Index,Saskatchewan,47,0.97
2015,Ratio,Proportion of 15-year-olds achieving at least a minimum proficiency level (PISA level 2) in mathematics,,Gender Parity Index,Alberta,48,0.98
2015,Ratio,Proportion of 15-year-olds achieving at least a minimum proficiency level (PISA level 2) in mathematics,,Gender Parity Index,British Columbia,59,0.98
2015,Ratio,Proportion of 15-year-olds achieving at least a minimum proficiency level (PISA level 2) in mathematics,,"Economic, Social and Cultural Status Index (ESCS)",Canada,,0.8
2015,Ratio,Proportion of 15-year-olds achieving at least a minimum proficiency level (PISA level 2) in mathematics,,"Economic, Social and Cultural Status Index (ESCS)",Newfoundland and Labrador,10,0.78
2015,Ratio,Proportion of 15-year-olds achieving at least a minimum proficiency level (PISA level 2) in mathematics,,"Economic, Social and Cultural Status Index (ESCS)",Prince Edward Island,11,0.91
2015,Ratio,Proportion of 15-year-olds achieving at least a minimum proficiency level (PISA level 2) in mathematics,,"Economic, Social and Cultural Status Index (ESCS)",Nova Scotia,12,0.79
2015,Ratio,Proportion of 15-year-olds achieving at least a minimum proficiency level (PISA level 2) in mathematics,,"Economic, Social and Cultural Status Index (ESCS)",New Brunswick,13,0.79
2015,Ratio,Proportion of 15-year-olds achieving at least a minimum proficiency level (PISA level 2) in mathematics,,"Economic, Social and Cultural Status Index (ESCS)",Quebec,24,0.85
