Year,Series,Indicateur d'éducation,Niveau de scolarité,Groupe d'âge,Sexe,Région,Value
2015,Indice de parité entre les sexes,Taux d'achèvement,Enseignement primaire,,,,1.0
2016,Indice de parité entre les sexes,Taux d'achèvement,Enseignement primaire,,,,1.0
2015,Indice de parité entre les sexes,Taux d'achèvement,Enseignement secondaire inférieur,,,,1.01
2016,Indice de parité entre les sexes,Taux d'achèvement,Enseignement secondaire inférieur,,,,1.01
2015,Indice de parité entre les sexes,Taux d'achèvement,Enseignement secondaire supérieur,,,,1.01
2016,Indice de parité entre les sexes,Taux d'achèvement,Enseignement secondaire supérieur,,,,1.05
2017,Indice de parité entre les sexes,Taux d'achèvement,Enseignement secondaire supérieur,,,,1.01
2015,Indice de parité entre les sexes,Taux de scolarité,Completed primary education or higher,,,,0.99
2016,Indice de parité entre les sexes,Taux de scolarité,Completed primary education or higher,,,,1.0
2017,Indice de parité entre les sexes,Taux de scolarité,Completed primary education or higher,,,,1.0
2018,Indice de parité entre les sexes,Taux de scolarité,Completed primary education or higher,,,,0.99
2019,Indice de parité entre les sexes,Taux de scolarité,Completed primary education or higher,,,,0.99
2020,Indice de parité entre les sexes,Taux de scolarité,Completed primary education or higher,,,,0.99
2021,Indice de parité entre les sexes,Taux de scolarité,Completed primary education or higher,,,,0.99
2022,Indice de parité entre les sexes,Taux de scolarité,Completed primary education or higher,,,,1.0
2023,Indice de parité entre les sexes,Taux de scolarité,Completed primary education or higher,,,,1.0
2015,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé l'enseignement secondaire de premier cycle ou supérieur,,,,0.99
2016,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé l'enseignement secondaire de premier cycle ou supérieur,,,,1.0
2017,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé l'enseignement secondaire de premier cycle ou supérieur,,,,1.0
2018,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé l'enseignement secondaire de premier cycle ou supérieur,,,,0.99
2019,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé l'enseignement secondaire de premier cycle ou supérieur,,,,0.99
2020,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé l'enseignement secondaire de premier cycle ou supérieur,,,,0.99
2021,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé l'enseignement secondaire de premier cycle ou supérieur,,,,0.99
2022,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé l'enseignement secondaire de premier cycle ou supérieur,,,,1.0
2023,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé l'enseignement secondaire de premier cycle ou supérieur,,,,1.0
2015,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé l'enseignement secondaire de deuxième cycle ou supérieur,,,,1.0
2016,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé l'enseignement secondaire de deuxième cycle ou supérieur,,,,1.01
2017,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé l'enseignement secondaire de deuxième cycle ou supérieur,,,,1.01
2018,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé l'enseignement secondaire de deuxième cycle ou supérieur,,,,1.01
2019,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé l'enseignement secondaire de deuxième cycle ou supérieur,,,,1.01
2020,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé l'enseignement secondaire de deuxième cycle ou supérieur,,,,1.01
2021,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé l'enseignement secondaire de deuxième cycle ou supérieur,,,,1.01
2022,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé l'enseignement secondaire de deuxième cycle ou supérieur,,,,1.01
2023,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé l'enseignement secondaire de deuxième cycle ou supérieur,,,,1.01
2015,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études post-secondaires non tertiaires ou supérieures,,,,1.0
2016,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études post-secondaires non tertiaires ou supérieures,,,,1.0
2017,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études post-secondaires non tertiaires ou supérieures,,,,1.02
2018,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études post-secondaires non tertiaires ou supérieures,,,,1.02
2019,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études post-secondaires non tertiaires ou supérieures,,,,1.02
2020,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études post-secondaires non tertiaires ou supérieures,,,,1.03
2021,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études post-secondaires non tertiaires ou supérieures,,,,1.02
2022,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études post-secondaires non tertiaires ou supérieures,,,,1.04
2023,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études post-secondaires non tertiaires ou supérieures,,,,1.03
2015,Indice de parité entre les sexes,Taux de scolarité,Avoir terminé des études tertiaires de cycle court ou supérieures,,,,1.0
