Year,Type of disease,Value
2015,Acute respiratory infections,21.89
2016,Acute respiratory infections,17.7
2017,Acute respiratory infections,20.82
2018,Acute respiratory infections,23.75
2019,Acute respiratory infections,18.78
2020,Acute respiratory infections,16.16
2021,Acute respiratory infections,10.9
2022,Acute respiratory infections,15.58
2023,Acute respiratory infections,16.16
2015,Diarrhea,3.06
2016,Diarrhea,2.63
2017,Diarrhea,2.48
2018,Diarrhea,2.38
2019,Diarrhea,2.14
2020,Diarrhea,2.06
2021,Diarrhea,1.72
2022,Diarrhea,1.98
2023,Diarrhea,2.4
2015,Intestinal nematode infections,0.0
2016,Intestinal nematode infections,0.0
2017,Intestinal nematode infections,0.0
2018,Intestinal nematode infections,0.0
2019,Intestinal nematode infections,0.0
2020,Intestinal nematode infections,0.0
2021,Intestinal nematode infections,0.0
2022,Intestinal nematode infections,0.0
2023,Intestinal nematode infections,0.0
2015,Protein-energy malnutrition,0.54
2016,Protein-energy malnutrition,0.46
2017,Protein-energy malnutrition,0.54
2018,Protein-energy malnutrition,0.58
2019,Protein-energy malnutrition,0.51
2020,Protein-energy malnutrition,0.61
2021,Protein-energy malnutrition,0.63
2022,Protein-energy malnutrition,0.73
2023,Protein-energy malnutrition,0.64
