Year,Geography,Level of government,Type of heritage,Value
2015,Canada,Consolidated Canadian general government,Protection of biodiversity and landscape,5.25167305699581e-05
2015,Canada,Consolidated Canadian general government,Cultural services,0.000149707693278
2015,Canada,Consolidated Canadian general government,Broadcasting and publishing services,9.8115257166167e-05
2015,Canada,Consolidated Canadian general government,"Recreation, culture, and religion not elsewhere classified",5.52896139440518e-05
2015,Canada,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,4.05009026155517e-05
2015,Canada,Consolidated provincial-territorial and local governments,Cultural services,0.0001009721673091
2015,Canada,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,4.14251970735829e-05
2015,Canada,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5.23486770321342e-05
2015,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1.70416782644755e-05
2015,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Cultural services,8.89954309367053e-05
2015,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2015,Newfoundland and Labrador,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",4.16574357576067e-05
2015,Prince Edward Island,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,1.38364257744939e-05
2015,Prince Edward Island,Consolidated provincial-territorial and local governments,Cultural services,8.99367675342106e-05
2015,Prince Edward Island,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2015,Prince Edward Island,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",6.91821288724697e-06
2015,Nova Scotia,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2.88299831825098e-05
2015,Nova Scotia,Consolidated provincial-territorial and local governments,Cultural services,0.0001185232641947
2015,Nova Scotia,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2015,Nova Scotia,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",6.08632978297429e-05
2015,New Brunswick,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2.89915423764104e-05
2015,New Brunswick,Consolidated provincial-territorial and local governments,Cultural services,8.17034376062474e-05
2015,New Brunswick,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,0.0
2015,New Brunswick,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",1.44957711882052e-05
2015,Quebec,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,6.48296472582197e-06
2015,Quebec,Consolidated provincial-territorial and local governments,Cultural services,0.0001270905726439
2015,Quebec,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,8.68472633081811e-06
2015,Quebec,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",8.8192784289012e-05
2015,Ontario,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,5.38406395859436e-05
2015,Ontario,Consolidated provincial-territorial and local governments,Cultural services,9.32362295268779e-05
2015,Ontario,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,5.27463176431399e-05
2015,Ontario,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",1.13809482051588e-05
2015,Manitoba,Consolidated provincial-territorial and local governments,Protection of biodiversity and landscape,2.55373088474393e-05
2015,Manitoba,Consolidated provincial-territorial and local governments,Cultural services,0.0001145309608915
2015,Manitoba,Consolidated provincial-territorial and local governments,Broadcasting and publishing services,1.62510147210978e-05
2015,Manitoba,Consolidated provincial-territorial and local governments,"Recreation, culture, and religion not elsewhere classified",5.41700490703259e-06
