Year,Units,Mesure,Value
2015,"Dollar américain, millions, prix constants de 2024",Aide publique au développement,199.167569
2016,"Dollar américain, millions, prix constants de 2024",Aide publique au développement,211.52513
2017,"Dollar américain, millions, prix constants de 2024",Aide publique au développement,174.589756
2018,"Dollar américain, millions, prix constants de 2024",Aide publique au développement,228.236425
2019,"Dollar américain, millions, prix constants de 2024",Aide publique au développement,162.117336
2020,"Dollar américain, millions, prix constants de 2024",Aide publique au développement,228.3389
2021,"Dollar américain, millions, prix constants de 2024",Aide publique au développement,255.044093
2022,"Dollar américain, millions, prix constants de 2024",Aide publique au développement,248.96879
2023,"Dollar américain, millions, prix constants de 2024",Aide publique au développement,154.282978
2024,"Dollar américain, millions, prix constants de 2024",Aide publique au développement,164.300088
2020,"Dollar américain, millions, prix constants de 2024",Autres apports du secteur public (autre que crédits à l'exportation),23.780101
2022,"Dollar américain, millions, prix constants de 2024",Autres apports du secteur public (autre que crédits à l'exportation),2.687703
2024,"Dollar américain, millions, prix constants de 2024",Autres apports du secteur public (autre que crédits à l'exportation),2.241932
2015,"Dollar américain, millions, prix constants de 2024",,199.167569
2016,"Dollar américain, millions, prix constants de 2024",,211.52513
2017,"Dollar américain, millions, prix constants de 2024",,174.589756
2018,"Dollar américain, millions, prix constants de 2024",,228.236425
2019,"Dollar américain, millions, prix constants de 2024",,162.117336
2020,"Dollar américain, millions, prix constants de 2024",,252.119001
2021,"Dollar américain, millions, prix constants de 2024",,255.044093
2022,"Dollar américain, millions, prix constants de 2024",,251.656493
2023,"Dollar américain, millions, prix constants de 2024",,154.282978
2024,"Dollar américain, millions, prix constants de 2024",,166.54202
