Value,Disaggregation combinations using this value,Number of indicators
"Adjusted net enrolment rate, one year before the official primary entry age",1,1
Completion rate,5,1
Educational attainment rate,39,1
Gross enrolment ratio for tertiary education,1,1
Out-of-school rate for adolescents and youth of lower and upper secondary school age,1,1
"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",1,1
Out-of-school rate for children and adolescents of primary and lower secondary school age,1,1
Out-of-school rate for children of primary school age,1,1
Out-of-school rate for children one year before the official age,1,1
Out-of-school rate for youth of upper secondary school age,3,1
Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,4,1
Percentage of students at the end of lower secondary education who have their first or home language as language of instruction,3,1
Percentage of students in early grades who have their first or home language as language of instruction,2,1
Proficiency in knowledge of environmental science and geoscience - Cognitive dimension,2,1
Proficiency in knowledge of environmental science and geoscience - Non-cognitive dimension - Confidence,3,1
Proficiency in knowledge of environmental science and geoscience - Non-cognitive dimension - Enjoyment,3,1
Proficiency in knowledge of environmental science and geoscience,4,1
Proportion of 15-24 year-olds enrolled in vocational education,1,1
Proportion of children/young people at the age of lower secondary education prepared for the future in mathematics,1,1
Proportion of children/young people at the age of lower secondary education prepared for the future in reading,1,1
Proportion of children/young people at the age of primary education prepared for the future in mathematics,1,1
Proportion of children/young people at the age of primary education prepared for the future in reading,1,1
Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics,3,1
Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading,3,1
Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics,3,1
Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading,3,1
