Year,Series,Units,Economic activity,Value
2000,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",
2000,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,9.93
2000,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,134.66
2000,Water-use efficiency (USD per cubic metre),USD per cubic metre,,
2001,Water-use efficiency (USD per cubic metre),USD per cubic metre,,
2001,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",
2001,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,9.66
2001,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,138.49
2002,Water-use efficiency (USD per cubic metre),USD per cubic metre,,
2002,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",
2002,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,9.54
2002,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,142.43
2003,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",
2003,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,143.67
2003,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,9.74
2003,Water-use efficiency (USD per cubic metre),USD per cubic metre,,
2004,Water-use efficiency (USD per cubic metre),USD per cubic metre,,
2004,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",
2004,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,10.21
2004,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,145.34
2005,Water-use efficiency (USD per cubic metre),USD per cubic metre,,
2005,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",
2005,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,10.79
2005,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,147.89
2006,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.4
2006,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,151.81
2006,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,10.89
2006,Water-use efficiency (USD per cubic metre),USD per cubic metre,,30.18
2007,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.4
2007,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,10.95
2007,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,154.56
2007,Water-use efficiency (USD per cubic metre),USD per cubic metre,,30.78
2008,Water-use efficiency (USD per cubic metre),USD per cubic metre,,32.17
2008,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.46
2008,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,11.69
2008,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,160.12
2009,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,9.85
2009,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,170.69
2009,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.4
2009,Water-use efficiency (USD per cubic metre),USD per cubic metre,,32.2
2010,Water-use efficiency (USD per cubic metre),USD per cubic metre,,31.79
2010,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.18
2010,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,10.97
2010,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,179.33
2011,Water-use efficiency (USD per cubic metre),USD per cubic metre,,33.75
2011,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.21
2011,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,11.93
2011,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,189.43
2012,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,195.48
2012,Water-use efficiency (USD per cubic metre),USD per cubic metre,,35.25
2012,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.22
2012,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,12.14
2013,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.26
2013,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,12.67
2013,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,201.89
2013,Water-use efficiency (USD per cubic metre),USD per cubic metre,,37.1
2014,Water-use efficiency (USD per cubic metre),USD per cubic metre,,39.35
2014,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.25
2014,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,13.61
2014,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,207.07
2015,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,215.44
2015,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,12.41
2015,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.37
2015,Water-use efficiency (USD per cubic metre),USD per cubic metre,,40.5
2016,Water-use efficiency (USD per cubic metre),USD per cubic metre,,40.22
2016,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.33
2016,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,11.89
2016,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,223.65
2017,Water-use efficiency (USD per cubic metre),USD per cubic metre,,40.77
2017,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.29
2017,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,12.75
2017,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,230.38
2018,Water-use efficiency (USD per cubic metre),USD per cubic metre,Services,236.63
2018,Water-use efficiency (USD per cubic metre),USD per cubic metre,"Agriculture, forestry and fishing",0.26
2018,Water-use efficiency (USD per cubic metre),USD per cubic metre,,42.16
2018,Water-use efficiency (USD per cubic metre),USD per cubic metre,Industry,13.46
