Year,Géographie,Science type,GeoCode,Value
2010,,,,1.83
2011,,,,1.79
2012,,,,1.77
2013,,,,1.71
2014,,,,1.71
2015,,,,1.69
2016,,,,1.73
2017,,,,1.69
2018,,,,1.74
2019,,,,1.75
2020,,,,1.84
2021,,,,
2010,Canada,Sciences naturelles et génie,,1.67
2010,Canada,"Sciences sociales, humaines et les arts",,0.16
2010,Terre-Neuve-et-Labrador,Sciences totales,10,0.86
2010,Terre-Neuve-et-Labrador,Sciences naturelles et génie,,0.72
2010,Terre-Neuve-et-Labrador,"Sciences sociales, humaines et les arts",,0.14
2010,Île-du-Prince-Édouard,Sciences totales,11,1.3
2010,Île-du-Prince-Édouard,Sciences naturelles et génie,,1.07
2010,Île-du-Prince-Édouard,"Sciences sociales, humaines et les arts",,0.23
2010,Nouvelle-Écosse,Sciences totales,12,1.42
2010,Nouvelle-Écosse,Sciences naturelles et génie,,1.19
2010,Nouvelle-Écosse,"Sciences sociales, humaines et les arts",,0.23
2010,Nouveau-Brunswick,Sciences totales,13,0.96
2010,Nouveau-Brunswick,Sciences naturelles et génie,,0.79
2010,Nouveau-Brunswick,"Sciences sociales, humaines et les arts",,0.17
2010,Québec,Sciences totales,24,2.42
2010,Québec,Sciences naturelles et génie,,2.23
2010,Québec,"Sciences sociales, humaines et les arts",,0.18
2010,Ontario,Sciences totales,35,2.2
2010,Ontario,Sciences naturelles et génie,,2.01
2010,Ontario,"Sciences sociales, humaines et les arts",,0.19
2010,Manitoba,Sciences totales,46,1.26
2010,Manitoba,Sciences naturelles et génie,,1.1
2010,Manitoba,"Sciences sociales, humaines et les arts",,0.16
2010,Saskatchewan,Sciences totales,47,0.94
2010,Saskatchewan,Sciences naturelles et génie,,0.84
2010,Saskatchewan,"Sciences sociales, humaines et les arts",,0.09
2010,Alberta,Sciences totales,48,1.1
2010,Alberta,Sciences naturelles et génie,,1.02
2010,Alberta,"Sciences sociales, humaines et les arts",,0.08
2010,Colombie-Britannique,Sciences totales,59,1.46
2010,Colombie-Britannique,Sciences naturelles et génie,,1.33
2010,Colombie-Britannique,"Sciences sociales, humaines et les arts",,0.13
2010,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences totales,,
2010,"Yukon, Territoires du Nord-Ouest et Nunavut",Sciences naturelles et génie,,
2010,"Yukon, Territoires du Nord-Ouest et Nunavut","Sciences sociales, humaines et les arts",,
2010,"National Capital Region, Ontario/Quebec",Sciences totales,,
2010,"National Capital Region, Ontario/Quebec",Sciences naturelles et génie,,
2010,"National Capital Region, Ontario/Quebec","Sciences sociales, humaines et les arts",,
2010,"National Capital Region, Quebec",Sciences totales,,
2010,"National Capital Region, Quebec",Sciences naturelles et génie,,
2010,"National Capital Region, Quebec","Sciences sociales, humaines et les arts",,
2010,"National Capital Region, Ontario",Sciences totales,,
2010,"National Capital Region, Ontario",Sciences naturelles et génie,,
2010,"National Capital Region, Ontario","Sciences sociales, humaines et les arts",,
2011,Canada,Sciences naturelles et génie,,1.64
2011,Canada,"Sciences sociales, humaines et les arts",,0.15
2011,Terre-Neuve-et-Labrador,Sciences totales,10,0.91
2011,Terre-Neuve-et-Labrador,Sciences naturelles et génie,,0.74
