Year,Series,Catégories de données,Éléments,Pilier,Value
2016,Inventaire des données ouvertes (ODIN),Population et statistiques démographiques,Couverture et désagrégation des indicateurs,,100.0
2016,Inventaire des données ouvertes (ODIN),Établissements d'enseignement,Couverture et désagrégation des indicateurs,,50.0
2016,Inventaire des données ouvertes (ODIN),Résultats en matière d'éducation,Couverture et désagrégation des indicateurs,,50.0
2016,Inventaire des données ouvertes (ODIN),Établissements de soins de santé,Couverture et désagrégation des indicateurs,,50.0
2016,Inventaire des données ouvertes (ODIN),Résultats en matière de santé,Couverture et désagrégation des indicateurs,,100.0
2016,Inventaire des données ouvertes (ODIN),Santé reproductive,Couverture et désagrégation des indicateurs,,100.0
2016,Inventaire des données ouvertes (ODIN),Statistiques sur le genre,Couverture et désagrégation des indicateurs,,100.0
2016,Inventaire des données ouvertes (ODIN),Pauvreté et revenus,Couverture et désagrégation des indicateurs,,100.0
2016,Inventaire des données ouvertes (ODIN),Sous-score des statistiques sociales,Couverture et désagrégation des indicateurs,,81.3
2016,Inventaire des données ouvertes (ODIN),Comptes nationaux,Couverture et désagrégation des indicateurs,,100.0
2016,Inventaire des données ouvertes (ODIN),Travail,Couverture et désagrégation des indicateurs,,100.0
2016,Inventaire des données ouvertes (ODIN),Indices de prix,Couverture et désagrégation des indicateurs,,50.0
2016,Inventaire des données ouvertes (ODIN),Finances gouvernementales,Couverture et désagrégation des indicateurs,,100.0
2016,Inventaire des données ouvertes (ODIN),Monnaie et banque,Couverture et désagrégation des indicateurs,,100.0
2016,Inventaire des données ouvertes (ODIN),Commerce international,Couverture et désagrégation des indicateurs,,100.0
2016,Inventaire des données ouvertes (ODIN),Balance des paiements,Couverture et désagrégation des indicateurs,,100.0
2016,Inventaire des données ouvertes (ODIN),Sous-score des statistiques économiques et financières,Couverture et désagrégation des indicateurs,,92.9
2016,Inventaire des données ouvertes (ODIN),Agriculture et utilisation des terres,Couverture et désagrégation des indicateurs,,100.0
2016,Inventaire des données ouvertes (ODIN),Utilisation des ressources,Couverture et désagrégation des indicateurs,,100.0
2016,Inventaire des données ouvertes (ODIN),Consommation d'énergie,Couverture et désagrégation des indicateurs,,100.0
2016,Inventaire des données ouvertes (ODIN),Pollution,Couverture et désagrégation des indicateurs,,50.0
2016,Inventaire des données ouvertes (ODIN),Environnement bâti,Couverture et désagrégation des indicateurs,,50.0
2016,Inventaire des données ouvertes (ODIN),Sous-score de l'environnement,Couverture et désagrégation des indicateurs,,80.0
