Year,Source,Géographie,GeoCode,Value
1990,Inventaire provincial,Saskatchewan,47,49.194
1990,Exploitation pétrolière et gazière,Saskatchewan,47,17.61
1990,Transports,Saskatchewan,47,4.819
1990,Industrie lourde,Saskatchewan,47,1.737
1990,"Fabrication légère, construction et ressources forestières",Saskatchewan,47,0.789
1990,Bâtiments,Saskatchewan,47,3.16
1990,Déchets et autres,Saskatchewan,47,0.992
1990,Agriculture,Saskatchewan,47,8.906
1990,Inventaire territorial,Yukon,60,0.55
1990,Exploitation pétrolière et gazière,Yukon,60,0.003
1990,Transports,Yukon,60,0.224
1990,Industrie lourde,Yukon,60,0.071
1990,"Fabrication légère, construction et ressources forestières",Yukon,60,0.027
1990,Bâtiments,Yukon,60,0.11
1990,Déchets et autres,Yukon,60,0.02
1990,Agriculture,Yukon,60,0.004
1991,Inventaire provincial,Alberta,48,177.45
1991,Exploitation pétrolière et gazière,Alberta,48,73.387
1991,Transports,Alberta,48,13.883
1991,Industrie lourde,Alberta,48,13.266
1991,"Fabrication légère, construction et ressources forestières",Alberta,48,5.549
1991,Bâtiments,Alberta,48,11.951
1991,Déchets et autres,Alberta,48,1.93
1991,Agriculture,Alberta,48,14.943
1991,Inventaire provincial,Colombie-Britannique,59,49.761
1991,Exploitation pétrolière et gazière,Colombie-Britannique,59,7.61
1991,Transports,Colombie-Britannique,59,15.155
1991,Industrie lourde,Colombie-Britannique,59,9.191
1991,"Fabrication légère, construction et ressources forestières",Colombie-Britannique,59,2.617
1991,Bâtiments,Colombie-Britannique,59,7.694
1991,Déchets et autres,Colombie-Britannique,59,2.519
1991,Agriculture,Colombie-Britannique,59,2.566
1991,Exploitation pétrolière et gazière,Canada,,119.731
1991,Transports,Canada,,113.146
1991,Industrie lourde,Canada,,97.423
1991,"Fabrication légère, construction et ressources forestières",Canada,,29.09
1991,Bâtiments,Canada,,70.938
1991,Déchets et autres,Canada,,21.281
1991,Agriculture,Canada,,51.078
1991,Inventaire provincial,Manitoba,46,18.006
1991,Exploitation pétrolière et gazière,Manitoba,46,1.672
1991,Transports,Manitoba,46,4.827
1991,Industrie lourde,Manitoba,46,1.342
1991,"Fabrication légère, construction et ressources forestières",Manitoba,46,0.696
1991,Bâtiments,Manitoba,46,3.031
1991,Déchets et autres,Manitoba,46,0.924
1991,Agriculture,Manitoba,46,5.124
1991,Inventaire provincial,Nouveau-Brunswick,13,15.518
1991,Exploitation pétrolière et gazière,Nouveau-Brunswick,13,1.219
1991,Transports,Nouveau-Brunswick,13,3.434
1991,Industrie lourde,Nouveau-Brunswick,13,1.754
1991,"Fabrication légère, construction et ressources forestières",Nouveau-Brunswick,13,0.627
1991,Bâtiments,Nouveau-Brunswick,13,1.718
1991,Déchets et autres,Nouveau-Brunswick,13,0.789
1991,Agriculture,Nouveau-Brunswick,13,0.52
1991,Inventaire provincial,Terre-Neuve-et-Labrador,10,8.653
1991,Exploitation pétrolière et gazière,Terre-Neuve-et-Labrador,10,1.062
1991,Transports,Terre-Neuve-et-Labrador,10,2.645
1991,Industrie lourde,Terre-Neuve-et-Labrador,10,1.631
1991,"Fabrication légère, construction et ressources forestières",Terre-Neuve-et-Labrador,10,0.302
1991,Bâtiments,Terre-Neuve-et-Labrador,10,1.009
1991,Déchets et autres,Terre-Neuve-et-Labrador,10,0.613
1991,Agriculture,Terre-Neuve-et-Labrador,10,0.09
1991,Inventaire territorial,Territoires du Nord-Ouest,61,1.764
1991,Exploitation pétrolière et gazière,Territoires du Nord-Ouest,61,0.318
1991,Transports,Territoires du Nord-Ouest,61,0.486
1991,Industrie lourde,Territoires du Nord-Ouest,61,0.139
1991,"Fabrication légère, construction et ressources forestières",Territoires du Nord-Ouest,61,0.048
1991,Bâtiments,Territoires du Nord-Ouest,61,0.567
1991,Déchets et autres,Territoires du Nord-Ouest,61,0.041
1991,Agriculture,Territoires du Nord-Ouest,61,0.009
1991,Inventaire provincial,Nouvelle-Écosse,12,19.264
1991,Exploitation pétrolière et gazière,Nouvelle-Écosse,12,0.847
1991,Transports,Nouvelle-Écosse,12,3.896
1991,Industrie lourde,Nouvelle-Écosse,12,0.91
1991,"Fabrication légère, construction et ressources forestières",Nouvelle-Écosse,12,0.53
1991,Bâtiments,Nouvelle-Écosse,12,2.669
1991,Déchets et autres,Nouvelle-Écosse,12,0.8
1991,Agriculture,Nouvelle-Écosse,12,0.644
1991,Inventaire provincial,Ontario,35,177.831
1991,Exploitation pétrolière et gazière,Ontario,35,10.084
1991,Transports,Ontario,35,39.592
1991,Industrie lourde,Ontario,35,42.293
1991,"Fabrication légère, construction et ressources forestières",Ontario,35,12.464
1991,Bâtiments,Ontario,35,27.58
1991,Déchets et autres,Ontario,35,7.692
1991,Agriculture,Ontario,35,10.835
1991,Inventaire provincial,Île-du-Prince-Édouard,11,1.74
1991,Exploitation pétrolière et gazière,Île-du-Prince-Édouard,11,0.0
1991,Transports,Île-du-Prince-Édouard,11,0.539
1991,Industrie lourde,Île-du-Prince-Édouard,11,0.009
1991,"Fabrication légère, construction et ressources forestières",Île-du-Prince-Édouard,11,0.137
1991,Bâtiments,Île-du-Prince-Édouard,11,0.537
1991,Déchets et autres,Île-du-Prince-Édouard,11,0.075
1991,Agriculture,Île-du-Prince-Édouard,11,0.349
1991,Inventaire provincial,Québec,24,80.158
1991,Exploitation pétrolière et gazière,Québec,24,3.674
1991,Transports,Québec,24,23.312
1991,Industrie lourde,Québec,24,25.049
1991,"Fabrication légère, construction et ressources forestières",Québec,24,4.804
1991,Bâtiments,Québec,24,10.802
1991,Déchets et autres,Québec,24,4.845
1991,Agriculture,Québec,24,7.145
1991,Inventaire provincial,Saskatchewan,47,52.574
1991,Exploitation pétrolière et gazière,Saskatchewan,47,19.852
1991,Transports,Saskatchewan,47,5.157
1991,Industrie lourde,Saskatchewan,47,1.764
1991,"Fabrication légère, construction et ressources forestières",Saskatchewan,47,1.29
1991,Bâtiments,Saskatchewan,47,3.28
1991,Déchets et autres,Saskatchewan,47,1.03
1991,Agriculture,Saskatchewan,47,8.846
1991,Inventaire territorial,Yukon,60,0.512
1991,Exploitation pétrolière et gazière,Yukon,60,0.007
1991,Transports,Yukon,60,0.219
1991,Industrie lourde,Yukon,60,0.075
1991,"Fabrication légère, construction et ressources forestières",Yukon,60,0.026
1991,Bâtiments,Yukon,60,0.101
1991,Déchets et autres,Yukon,60,0.021
1991,Agriculture,Yukon,60,0.007
1992,Inventaire provincial,Alberta,48,185.104
1992,Exploitation pétrolière et gazière,Alberta,48,78.225
1992,Transports,Alberta,48,13.999
1992,Industrie lourde,Alberta,48,13.002
1992,"Fabrication légère, construction et ressources forestières",Alberta,48,5.203
1992,Bâtiments,Alberta,48,11.387
1992,Déchets et autres,Alberta,48,2.018
1992,Agriculture,Alberta,48,15.559
1992,Inventaire provincial,Colombie-Britannique,59,48.798
1992,Exploitation pétrolière et gazière,Colombie-Britannique,59,6.906
1992,Transports,Colombie-Britannique,59,15.481
1992,Industrie lourde,Colombie-Britannique,59,8.388
1992,"Fabrication légère, construction et ressources forestières",Colombie-Britannique,59,2.648
1992,Bâtiments,Colombie-Britannique,59,7.734
1992,Déchets et autres,Colombie-Britannique,59,2.56
1992,Agriculture,Colombie-Britannique,59,2.674
1992,Exploitation pétrolière et gazière,Canada,,129.324
1992,Transports,Canada,,115.171
1992,Industrie lourde,Canada,,94.77
1992,"Fabrication légère, construction et ressources forestières",Canada,,28.399
1992,Bâtiments,Canada,,72.802
1992,Déchets et autres,Canada,,21.381
1992,Agriculture,Canada,,53.368
1992,Inventaire provincial,Manitoba,46,18.336
1992,Exploitation pétrolière et gazière,Manitoba,46,1.902
1992,Transports,Manitoba,46,4.864
1992,Industrie lourde,Manitoba,46,1.179
1992,"Fabrication légère, construction et ressources forestières",Manitoba,46,0.585
1992,Bâtiments,Manitoba,46,3.004
1992,Déchets et autres,Manitoba,46,0.957
1992,Agriculture,Manitoba,46,5.452
1992,Inventaire provincial,Nouveau-Brunswick,13,16.278
1992,Exploitation pétrolière et gazière,Nouveau-Brunswick,13,1.306
1992,Transports,Nouveau-Brunswick,13,3.522
1992,Industrie lourde,Nouveau-Brunswick,13,1.681
1992,"Fabrication légère, construction et ressources forestières",Nouveau-Brunswick,13,0.636
1992,Bâtiments,Nouveau-Brunswick,13,1.585
1992,Déchets et autres,Nouveau-Brunswick,13,0.817
1992,Agriculture,Nouveau-Brunswick,13,0.548
1992,Inventaire provincial,Terre-Neuve-et-Labrador,10,8.573
1992,Exploitation pétrolière et gazière,Terre-Neuve-et-Labrador,10,0.896
1992,Transports,Terre-Neuve-et-Labrador,10,2.663
1992,Industrie lourde,Terre-Neuve-et-Labrador,10,1.515
1992,"Fabrication légère, construction et ressources forestières",Terre-Neuve-et-Labrador,10,0.236
1992,Bâtiments,Terre-Neuve-et-Labrador,10,1.021
1992,Déchets et autres,Terre-Neuve-et-Labrador,10,0.627
1992,Agriculture,Terre-Neuve-et-Labrador,10,0.112
1992,Inventaire territorial,Territoires du Nord-Ouest,61,1.578
1992,Exploitation pétrolière et gazière,Territoires du Nord-Ouest,61,0.231
1992,Transports,Territoires du Nord-Ouest,61,0.498
1992,Industrie lourde,Territoires du Nord-Ouest,61,0.073
1992,"Fabrication légère, construction et ressources forestières",Territoires du Nord-Ouest,61,0.044
1992,Bâtiments,Territoires du Nord-Ouest,61,0.551
1992,Déchets et autres,Territoires du Nord-Ouest,61,0.042
1992,Agriculture,Territoires du Nord-Ouest,61,0.012
1992,Inventaire provincial,Nouvelle-Écosse,12,19.621
1992,Exploitation pétrolière et gazière,Nouvelle-Écosse,12,0.809
1992,Transports,Nouvelle-Écosse,12,4.003
1992,Industrie lourde,Nouvelle-Écosse,12,0.841
1992,"Fabrication légère, construction et ressources forestières",Nouvelle-Écosse,12,0.524
1992,Bâtiments,Nouvelle-Écosse,12,2.946
1992,Déchets et autres,Nouvelle-Écosse,12,0.805
1992,Agriculture,Nouvelle-Écosse,12,0.701
1992,Inventaire provincial,Ontario,35,181.662
1992,Exploitation pétrolière et gazière,Ontario,35,11.646
1992,Transports,Ontario,35,40.23
1992,Industrie lourde,Ontario,35,43.35
1992,"Fabrication légère, construction et ressources forestières",Ontario,35,11.41
1992,Bâtiments,Ontario,35,29.39
1992,Déchets et autres,Ontario,35,7.585
1992,Agriculture,Ontario,35,11.17
1992,Inventaire provincial,Île-du-Prince-Édouard,11,1.723
1992,Exploitation pétrolière et gazière,Île-du-Prince-Édouard,11,0.0
1992,Transports,Île-du-Prince-Édouard,11,0.53
1992,Industrie lourde,Île-du-Prince-Édouard,11,0.009
1992,"Fabrication légère, construction et ressources forestières",Île-du-Prince-Édouard,11,0.138
1992,Bâtiments,Île-du-Prince-Édouard,11,0.553
1992,Déchets et autres,Île-du-Prince-Édouard,11,0.077
1992,Agriculture,Île-du-Prince-Édouard,11,0.364
1992,Inventaire provincial,Québec,24,80.236
1992,Exploitation pétrolière et gazière,Québec,24,3.705
1992,Transports,Québec,24,23.878
1992,Industrie lourde,Québec,24,23.234
1992,"Fabrication légère, construction et ressources forestières",Québec,24,4.893
1992,Bâtiments,Québec,24,11.452
1992,Déchets et autres,Québec,24,4.803
1992,Agriculture,Québec,24,7.315
1992,Inventaire provincial,Saskatchewan,47,58.849
1992,Exploitation pétrolière et gazière,Saskatchewan,47,23.533
1992,Transports,Saskatchewan,47,5.282
1992,Industrie lourde,Saskatchewan,47,1.461
1992,"Fabrication légère, construction et ressources forestières",Saskatchewan,47,2.057
1992,Bâtiments,Saskatchewan,47,3.092
1992,Déchets et autres,Saskatchewan,47,1.069
1992,Agriculture,Saskatchewan,47,9.451
1992,Inventaire territorial,Yukon,60,0.618
1992,Exploitation pétrolière et gazière,Yukon,60,0.165
1992,Transports,Yukon,60,0.222
1992,Industrie lourde,Yukon,60,0.036
1992,"Fabrication légère, construction et ressources forestières",Yukon,60,0.025
1992,Bâtiments,Yukon,60,0.087
1992,Déchets et autres,Yukon,60,0.021
1992,Agriculture,Yukon,60,0.012
1993,Inventaire provincial,Alberta,48,191.187
1993,Exploitation pétrolière et gazière,Alberta,48,82.416
1993,Transports,Alberta,48,14.315
1993,Industrie lourde,Alberta,48,13.11
1993,"Fabrication légère, construction et ressources forestières",Alberta,48,4.398
1993,Bâtiments,Alberta,48,12.071
1993,Déchets et autres,Alberta,48,2.096
1993,Agriculture,Alberta,48,16.4
1993,Inventaire provincial,Colombie-Britannique,59,51.596
1993,Exploitation pétrolière et gazière,Colombie-Britannique,59,6.55
1993,Transports,Colombie-Britannique,59,15.884
1993,Industrie lourde,Colombie-Britannique,59,8.462
1993,"Fabrication légère, construction et ressources forestières",Colombie-Britannique,59,2.877
1993,Bâtiments,Colombie-Britannique,59,8.667
1993,Déchets et autres,Colombie-Britannique,59,2.577
1993,Agriculture,Colombie-Britannique,59,2.68
1993,Exploitation pétrolière et gazière,Canada,,138.118
1993,Transports,Canada,,118.124
1993,Industrie lourde,Canada,,94.274
1993,"Fabrication légère, construction et ressources forestières",Canada,,25.61
1993,Bâtiments,Canada,,76.412
1993,Déchets et autres,Canada,,21.652
1993,Agriculture,Canada,,54.848
1993,Inventaire provincial,Manitoba,46,18.36
1993,Exploitation pétrolière et gazière,Manitoba,46,1.963
1993,Transports,Manitoba,46,4.835
1993,Industrie lourde,Manitoba,46,1.139
1993,"Fabrication légère, construction et ressources forestières",Manitoba,46,0.535
1993,Bâtiments,Manitoba,46,3.069
1993,Déchets et autres,Manitoba,46,0.99
1993,Agriculture,Manitoba,46,5.526
1993,Inventaire provincial,Nouveau-Brunswick,13,15.525
1993,Exploitation pétrolière et gazière,Nouveau-Brunswick,13,1.51
1993,Transports,Nouveau-Brunswick,13,3.606
1993,Industrie lourde,Nouveau-Brunswick,13,1.741
1993,"Fabrication légère, construction et ressources forestières",Nouveau-Brunswick,13,0.597
1993,Bâtiments,Nouveau-Brunswick,13,1.496
1993,Déchets et autres,Nouveau-Brunswick,13,0.83
1993,Agriculture,Nouveau-Brunswick,13,0.544
1993,Inventaire provincial,Terre-Neuve-et-Labrador,10,8.742
1993,Exploitation pétrolière et gazière,Terre-Neuve-et-Labrador,10,1.096
1993,Transports,Terre-Neuve-et-Labrador,10,2.74
1993,Industrie lourde,Terre-Neuve-et-Labrador,10,1.524
1993,"Fabrication légère, construction et ressources forestières",Terre-Neuve-et-Labrador,10,0.229
1993,Bâtiments,Terre-Neuve-et-Labrador,10,1.042
1993,Déchets et autres,Terre-Neuve-et-Labrador,10,0.64
1993,Agriculture,Terre-Neuve-et-Labrador,10,0.106
1993,Inventaire territorial,Territoires du Nord-Ouest,61,1.879
1993,Exploitation pétrolière et gazière,Territoires du Nord-Ouest,61,0.262
1993,Transports,Territoires du Nord-Ouest,61,0.58
1993,Industrie lourde,Territoires du Nord-Ouest,61,0.173
1993,"Fabrication légère, construction et ressources forestières",Territoires du Nord-Ouest,61,0.039
1993,Bâtiments,Territoires du Nord-Ouest,61,0.643
1993,Déchets et autres,Territoires du Nord-Ouest,61,0.043
1993,Agriculture,Territoires du Nord-Ouest,61,0.002
1993,Inventaire provincial,Nouvelle-Écosse,12,19.637
1993,Exploitation pétrolière et gazière,Nouvelle-Écosse,12,0.954
1993,Transports,Nouvelle-Écosse,12,4.103
1993,Industrie lourde,Nouvelle-Écosse,12,0.867
1993,"Fabrication légère, construction et ressources forestières",Nouvelle-Écosse,12,0.492
1993,Bâtiments,Nouvelle-Écosse,12,2.8
1993,Déchets et autres,Nouvelle-Écosse,12,0.812
1993,Agriculture,Nouvelle-Écosse,12,0.617
1993,Inventaire provincial,Ontario,35,172.53
1993,Exploitation pétrolière et gazière,Ontario,35,12.075
1993,Transports,Ontario,35,41.071
1993,Industrie lourde,Ontario,35,40.986
1993,"Fabrication légère, construction et ressources forestières",Ontario,35,11.094
1993,Bâtiments,Ontario,35,30.646
1993,Déchets et autres,Ontario,35,7.727
1993,Agriculture,Ontario,35,11.203
1993,Inventaire provincial,Île-du-Prince-Édouard,11,1.729
1993,Exploitation pétrolière et gazière,Île-du-Prince-Édouard,11,0.0
1993,Transports,Île-du-Prince-Édouard,11,0.537
1993,Industrie lourde,Île-du-Prince-Édouard,11,0.008
1993,"Fabrication légère, construction et ressources forestières",Île-du-Prince-Édouard,11,0.141
1993,Bâtiments,Île-du-Prince-Édouard,11,0.531
1993,Déchets et autres,Île-du-Prince-Édouard,11,0.079
1993,Agriculture,Île-du-Prince-Édouard,11,0.357
1993,Inventaire provincial,Québec,24,81.395
1993,Exploitation pétrolière et gazière,Québec,24,3.897
1993,Transports,Québec,24,24.856
1993,Industrie lourde,Québec,24,23.939
1993,"Fabrication légère, construction et ressources forestières",Québec,24,4.55
1993,Bâtiments,Québec,24,11.745
1993,Déchets et autres,Québec,24,4.728
1993,Agriculture,Québec,24,7.389
1993,Inventaire provincial,Saskatchewan,47,63.435
1993,Exploitation pétrolière et gazière,Saskatchewan,47,27.279
1993,Transports,Saskatchewan,47,5.397
1993,Industrie lourde,Saskatchewan,47,2.308
1993,"Fabrication légère, construction et ressources forestières",Saskatchewan,47,0.634
1993,Bâtiments,Saskatchewan,47,3.6
1993,Déchets et autres,Saskatchewan,47,1.107
1993,Agriculture,Saskatchewan,47,10.017
1993,Inventaire territorial,Yukon,60,0.517
1993,Exploitation pétrolière et gazière,Yukon,60,0.116
1993,Transports,Yukon,60,0.2
1993,Industrie lourde,Yukon,60,0.016
1993,"Fabrication légère, construction et ressources forestières",Yukon,60,0.025
1993,Bâtiments,Yukon,60,0.1
1993,Déchets et autres,Yukon,60,0.022
1993,Agriculture,Yukon,60,0.008
1994,Inventaire provincial,Alberta,48,200.908
1994,Exploitation pétrolière et gazière,Alberta,48,84.308
1994,Transports,Alberta,48,15.988
1994,Industrie lourde,Alberta,48,14.948
1994,"Fabrication légère, construction et ressources forestières",Alberta,48,3.993
1994,Bâtiments,Alberta,48,12.833
1994,Déchets et autres,Alberta,48,2.211
1994,Agriculture,Alberta,48,17.048
1994,Inventaire provincial,Colombie-Britannique,59,54.318
1994,Exploitation pétrolière et gazière,Colombie-Britannique,59,8.696
1994,Transports,Colombie-Britannique,59,16.674
1994,Industrie lourde,Colombie-Britannique,59,8.697
1994,"Fabrication légère, construction et ressources forestières",Colombie-Britannique,59,2.97
1994,Bâtiments,Colombie-Britannique,59,8.225
1994,Déchets et autres,Colombie-Britannique,59,2.662
1994,Agriculture,Colombie-Britannique,59,2.599
1994,Exploitation pétrolière et gazière,Canada,,143.874
1994,Transports,Canada,,124.226
1994,Industrie lourde,Canada,,99.874
1994,"Fabrication légère, construction et ressources forestières",Canada,,26.03
1994,Bâtiments,Canada,,76.795
1994,Déchets et autres,Canada,,22.055
1994,Agriculture,Canada,,56.331
1994,Inventaire provincial,Manitoba,46,18.886
1994,Exploitation pétrolière et gazière,Manitoba,46,1.863
1994,Transports,Manitoba,46,5.08
1994,Industrie lourde,Manitoba,46,1.055
1994,"Fabrication légère, construction et ressources forestières",Manitoba,46,0.674
1994,Bâtiments,Manitoba,46,2.908
1994,Déchets et autres,Manitoba,46,1.024
1994,Agriculture,Manitoba,46,5.966
1994,Inventaire provincial,Nouveau-Brunswick,13,17.001
1994,Exploitation pétrolière et gazière,Nouveau-Brunswick,13,1.56
1994,Transports,Nouveau-Brunswick,13,3.772
1994,Industrie lourde,Nouveau-Brunswick,13,1.724
1994,"Fabrication légère, construction et ressources forestières",Nouveau-Brunswick,13,0.734
1994,Bâtiments,Nouveau-Brunswick,13,1.444
1994,Déchets et autres,Nouveau-Brunswick,13,0.858
1994,Agriculture,Nouveau-Brunswick,13,0.549
1994,Inventaire provincial,Terre-Neuve-et-Labrador,10,7.86
1994,Exploitation pétrolière et gazière,Terre-Neuve-et-Labrador,10,0.491
1994,Transports,Terre-Neuve-et-Labrador,10,2.737
1994,Industrie lourde,Terre-Neuve-et-Labrador,10,1.896
1994,"Fabrication légère, construction et ressources forestières",Terre-Neuve-et-Labrador,10,0.252
1994,Bâtiments,Terre-Neuve-et-Labrador,10,0.995
1994,Déchets et autres,Terre-Neuve-et-Labrador,10,0.654
1994,Agriculture,Terre-Neuve-et-Labrador,10,0.107
1994,Inventaire territorial,Territoires du Nord-Ouest,61,2.046
1994,Exploitation pétrolière et gazière,Territoires du Nord-Ouest,61,0.235
1994,Transports,Territoires du Nord-Ouest,61,0.599
1994,Industrie lourde,Territoires du Nord-Ouest,61,0.306
1994,"Fabrication légère, construction et ressources forestières",Territoires du Nord-Ouest,61,0.027
1994,Bâtiments,Territoires du Nord-Ouest,61,0.693
1994,Déchets et autres,Territoires du Nord-Ouest,61,0.045
1994,Agriculture,Territoires du Nord-Ouest,61,0.002
1994,Inventaire provincial,Nouvelle-Écosse,12,19.074
1994,Exploitation pétrolière et gazière,Nouvelle-Écosse,12,0.63
1994,Transports,Nouvelle-Écosse,12,4.221
1994,Industrie lourde,Nouvelle-Écosse,12,1.015
1994,"Fabrication légère, construction et ressources forestières",Nouvelle-Écosse,12,0.539
1994,Bâtiments,Nouvelle-Écosse,12,2.605
1994,Déchets et autres,Nouvelle-Écosse,12,0.822
1994,Agriculture,Nouvelle-Écosse,12,0.625
1994,Inventaire provincial,Ontario,35,174.416
1994,Exploitation pétrolière et gazière,Ontario,35,11.682
1994,Transports,Ontario,35,42.601
1994,Industrie lourde,Ontario,35,42.943
1994,"Fabrication légère, construction et ressources forestières",Ontario,35,11.289
1994,Bâtiments,Ontario,35,31.476
1994,Déchets et autres,Ontario,35,7.846
1994,Agriculture,Ontario,35,11.155
1994,Inventaire provincial,Île-du-Prince-Édouard,11,1.749
1994,Exploitation pétrolière et gazière,Île-du-Prince-Édouard,11,0.0
1994,Transports,Île-du-Prince-Édouard,11,0.571
1994,Industrie lourde,Île-du-Prince-Édouard,11,0.007
1994,"Fabrication légère, construction et ressources forestières",Île-du-Prince-Édouard,11,0.146
1994,Bâtiments,Île-du-Prince-Édouard,11,0.515
1994,Déchets et autres,Île-du-Prince-Édouard,11,0.081
1994,Agriculture,Île-du-Prince-Édouard,11,0.369
1994,Inventaire provincial,Québec,24,83.381
1994,Exploitation pétrolière et gazière,Québec,24,4.195
1994,Transports,Québec,24,26.08
1994,Industrie lourde,Québec,24,24.498
