Year,Geography,Series,Units,Type of occupation,Sex,GeoCode,Value
2021,Canada,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Medical doctors,,,19.42867788
2021,Newfoundland and Labrador,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Medical doctors,,10,0.244509238
2021,Prince Edward Island,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Medical doctors,,11,0.064069266
2021,Nova Scotia,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Medical doctors,,12,0.503401372
2021,New Brunswick,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Medical doctors,,13,0.356957336
2021,Quebec,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Medical doctors,,24,4.88887722
2021,Ontario,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Medical doctors,,35,7.34312235
2021,Manitoba,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Medical doctors,,46,0.600159038
2021,Saskatchewan,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Medical doctors,,47,0.502093836
2021,Alberta,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Medical doctors,,48,2.197968068
2021,British Columbia,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Medical doctors,,59,2.693524224
2021,Yukon,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Medical doctors,,60,0.01307536
2021,Northwest Territories,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Medical doctors,,61,0.01307536
2021,Nunavut,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Medical doctors,,62,0.003922608
2021,Canada,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Nursing and midwifery personnel,,,93.11356337
2021,Newfoundland and Labrador,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Nursing and midwifery personnel,,10,1.640957719
2021,Prince Edward Island,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Nursing and midwifery personnel,,11,0.489018476
2021,Nova Scotia,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Nursing and midwifery personnel,,12,3.032176056
2021,New Brunswick,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Nursing and midwifery personnel,,13,2.230656469
2021,Quebec,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Nursing and midwifery personnel,,24,20.02229924
2021,Ontario,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Nursing and midwifery personnel,,35,33.67166787
2021,Manitoba,"Health worker density, by type of occupation (per 10,000 population)","Rate per 10,000 population",Nursing and midwifery personnel,,46,3.870306652
