Year,Géographie,Mode d'occupation,GeoCode,Value
2018,Terre-Neuve-et-Labrador,"Total, mode d'occupation",10,7.1
2018,Terre-Neuve-et-Labrador,Propriétaire,10,1.9
2018,Terre-Neuve-et-Labrador,Propriétaire qui est un accédant à la propriété,10,
2018,Terre-Neuve-et-Labrador,Propriétaire qui n'est pas un accédant à la propriété,10,2.2
2018,Terre-Neuve-et-Labrador,Locataire,10,23.0
2018,Terre-Neuve-et-Labrador,Locataire n'habitant pas dans un logement social et abordable,10,20.0
2018,Terre-Neuve-et-Labrador,Locataire habitant dans un logement social et abordable,10,33.0
2018,Nouvelle-Écosse,"Total, mode d'occupation",12,10.9
2018,Nouvelle-Écosse,Propriétaire,12,3.8
2018,Nouvelle-Écosse,Propriétaire qui est un accédant à la propriété,12,2.6
2018,Nouvelle-Écosse,Propriétaire qui n'est pas un accédant à la propriété,12,4.0
2018,Nouvelle-Écosse,Locataire,12,22.0
2018,Nouvelle-Écosse,Locataire n'habitant pas dans un logement social et abordable,12,21.0
2018,Nouvelle-Écosse,Locataire habitant dans un logement social et abordable,12,28.0
2018,Nouveau-Brunswick,"Total, mode d'occupation",13,6.3
2018,Nouveau-Brunswick,Propriétaire,13,2.0
2018,Nouveau-Brunswick,Propriétaire qui est un accédant à la propriété,13,
2018,Nouveau-Brunswick,Propriétaire qui n'est pas un accédant à la propriété,13,2.4
2018,Nouveau-Brunswick,Locataire,13,16.7
2018,Nouveau-Brunswick,Locataire n'habitant pas dans un logement social et abordable,13,15.9
2018,Nouveau-Brunswick,Locataire habitant dans un logement social et abordable,13,24.0
2018,Québec,"Total, mode d'occupation",24,5.0
2018,Québec,Propriétaire,24,1.1
2018,Québec,Propriétaire qui est un accédant à la propriété,24,2.0
2018,Québec,Propriétaire qui n'est pas un accédant à la propriété,24,1.0
2018,Québec,Locataire,24,11.1
2018,Québec,Locataire n'habitant pas dans un logement social et abordable,24,10.7
2018,Québec,Locataire habitant dans un logement social et abordable,24,14.4
2018,Ontario,"Total, mode d'occupation",35,12.4
2018,Ontario,Propriétaire,35,7.9
2018,Ontario,Propriétaire qui est un accédant à la propriété,35,10.7
2018,Ontario,Propriétaire qui n'est pas un accédant à la propriété,35,7.4
2018,Ontario,Locataire,35,25.0
2018,Ontario,Locataire n'habitant pas dans un logement social et abordable,35,24.0
2018,Ontario,Locataire habitant dans un logement social et abordable,35,29.0
2018,Manitoba,"Total, mode d'occupation",46,10.4
2018,Manitoba,Propriétaire,46,5.8
2018,Manitoba,Propriétaire qui est un accédant à la propriété,46,13.8
2018,Manitoba,Propriétaire qui n'est pas un accédant à la propriété,46,4.3
2018,Manitoba,Locataire,46,22.0
2018,Manitoba,Locataire n'habitant pas dans un logement social et abordable,46,19.2
2018,Manitoba,Locataire habitant dans un logement social et abordable,46,36.0
2018,Saskatchewan,"Total, mode d'occupation",47,8.8
2018,Saskatchewan,Propriétaire,47,4.5
2018,Saskatchewan,Propriétaire qui est un accédant à la propriété,47,6.3
2018,Saskatchewan,Propriétaire qui n'est pas un accédant à la propriété,47,4.0
2018,Saskatchewan,Locataire,47,21.0
2018,Saskatchewan,Locataire n'habitant pas dans un logement social et abordable,47,17.0
2018,Saskatchewan,Locataire habitant dans un logement social et abordable,47,40.0
2018,Alberta,"Total, mode d'occupation",48,8.7
2018,Alberta,Propriétaire,48,5.5
2018,Alberta,Propriétaire qui est un accédant à la propriété,48,6.6
2018,Alberta,Propriétaire qui n'est pas un accédant à la propriété,48,5.3
2018,Alberta,Locataire,48,17.9
2018,Alberta,Locataire n'habitant pas dans un logement social et abordable,48,16.0
2018,Alberta,Locataire habitant dans un logement social et abordable,48,38.0
2018,Colombie-Britannique,"Total, mode d'occupation",59,12.0
2018,Colombie-Britannique,Propriétaire,59,7.6
2018,Colombie-Britannique,Propriétaire qui est un accédant à la propriété,59,13.7
2018,Colombie-Britannique,Propriétaire qui n'est pas un accédant à la propriété,59,6.6
2018,Colombie-Britannique,Locataire,59,22.0
2018,Colombie-Britannique,Locataire n'habitant pas dans un logement social et abordable,59,19.4
2018,Colombie-Britannique,Locataire habitant dans un logement social et abordable,59,39.0
2018,,,,10.0
2018,"Total, grands centres de population urbains",Propriétaire,,5.9
2018,"Total, grands centres de population urbains",Propriétaire qui est un accédant à la propriété,,8.6
2018,"Total, grands centres de population urbains",Propriétaire qui n'est pas un accédant à la propriété,,5.5
2018,"Total, grands centres de population urbains",Locataire,,19.5
2018,"Total, grands centres de population urbains",Locataire n'habitant pas dans un logement social et abordable,,18.3
2018,"Total, grands centres de population urbains",Locataire habitant dans un logement social et abordable,,29.0
2021,Terre-Neuve-et-Labrador,"Total, mode d'occupation",10,5.1
2021,Terre-Neuve-et-Labrador,Propriétaire,10,1.1
2021,Terre-Neuve-et-Labrador,Propriétaire qui est un accédant à la propriété,10,
2021,Terre-Neuve-et-Labrador,Propriétaire qui n'est pas un accédant à la propriété,10,1.1
2021,Terre-Neuve-et-Labrador,Locataire,10,15.7
2021,Terre-Neuve-et-Labrador,Locataire n'habitant pas dans un logement social et abordable,10,11.9
2021,Terre-Neuve-et-Labrador,Locataire habitant dans un logement social et abordable,10,33.0
2021,Nouvelle-Écosse,"Total, mode d'occupation",12,7.0
2021,Nouvelle-Écosse,Propriétaire,12,2.1
2021,Nouvelle-Écosse,Propriétaire qui est un accédant à la propriété,12,
2021,Nouvelle-Écosse,Propriétaire qui n'est pas un accédant à la propriété,12,2.3
2021,Nouvelle-Écosse,Locataire,12,14.0
2021,Nouvelle-Écosse,Locataire n'habitant pas dans un logement social et abordable,12,12.2
2021,Nouvelle-Écosse,Locataire habitant dans un logement social et abordable,12,41.0
2021,Nouveau-Brunswick,"Total, mode d'occupation",13,5.0
2021,Nouveau-Brunswick,Propriétaire,13,1.3
2021,Nouveau-Brunswick,Propriétaire qui est un accédant à la propriété,13,
2021,Nouveau-Brunswick,Propriétaire qui n'est pas un accédant à la propriété,13,1.6
2021,Nouveau-Brunswick,Locataire,13,13.7
2021,Nouveau-Brunswick,Locataire n'habitant pas dans un logement social et abordable,13,12.4
2021,Nouveau-Brunswick,Locataire habitant dans un logement social et abordable,13,25.0
2021,Québec,"Total, mode d'occupation",24,4.0
2021,Québec,Propriétaire,24,1.6
2021,Québec,Propriétaire qui est un accédant à la propriété,24,2.0
2021,Québec,Propriétaire qui n'est pas un accédant à la propriété,24,1.6
2021,Québec,Locataire,24,7.6
2021,Québec,Locataire n'habitant pas dans un logement social et abordable,24,7.4
2021,Québec,Locataire habitant dans un logement social et abordable,24,9.7
2021,Ontario,"Total, mode d'occupation",35,10.2
2021,Ontario,Propriétaire,35,4.6
2021,Ontario,Propriétaire qui est un accédant à la propriété,35,3.1
2021,Ontario,Propriétaire qui n'est pas un accédant à la propriété,35,4.9
2021,Ontario,Locataire,35,23.0
2021,Ontario,Locataire n'habitant pas dans un logement social et abordable,35,23.0
2021,Ontario,Locataire habitant dans un logement social et abordable,35,28.0
2021,Manitoba,"Total, mode d'occupation",46,10.4
2021,Manitoba,Propriétaire,46,5.1
2021,Manitoba,Propriétaire qui est un accédant à la propriété,46,6.1
2021,Manitoba,Propriétaire qui n'est pas un accédant à la propriété,46,4.9
2021,Manitoba,Locataire,46,24.0
2021,Manitoba,Locataire n'habitant pas dans un logement social et abordable,46,22.0
2021,Manitoba,Locataire habitant dans un logement social et abordable,46,34.0
2021,Saskatchewan,"Total, mode d'occupation",47,8.4
2021,Saskatchewan,Propriétaire,47,4.1
2021,Saskatchewan,Propriétaire qui est un accédant à la propriété,47,4.0
2021,Saskatchewan,Propriétaire qui n'est pas un accédant à la propriété,47,4.1
2021,Saskatchewan,Locataire,47,19.3
2021,Saskatchewan,Locataire n'habitant pas dans un logement social et abordable,47,16.7
2021,Saskatchewan,Locataire habitant dans un logement social et abordable,47,35.0
2021,Alberta,"Total, mode d'occupation",48,5.8
2021,Alberta,Propriétaire,48,2.1
2021,Alberta,Propriétaire qui est un accédant à la propriété,48,7.1
2021,Alberta,Propriétaire qui n'est pas un accédant à la propriété,48,1.3
2021,Alberta,Locataire,48,16.0
2021,Alberta,Locataire n'habitant pas dans un logement social et abordable,48,14.6
2021,Alberta,Locataire habitant dans un logement social et abordable,48,29.0
2021,Colombie-Britannique,"Total, mode d'occupation",59,10.5
2021,Colombie-Britannique,Propriétaire,59,6.3
2021,Colombie-Britannique,Propriétaire qui est un accédant à la propriété,59,11.4
2021,Colombie-Britannique,Propriétaire qui n'est pas un accédant à la propriété,59,5.5
2021,Colombie-Britannique,Locataire,59,19.8
2021,Colombie-Britannique,Locataire n'habitant pas dans un logement social et abordable,59,18.8
2021,Colombie-Britannique,Locataire habitant dans un logement social et abordable,59,30.0
2021,,,,8.2
2021,"Total, grands centres de population urbains",Propriétaire,,3.9
2021,"Total, grands centres de population urbains",Propriétaire qui est un accédant à la propriété,,4.7
2021,"Total, grands centres de population urbains",Propriétaire qui n'est pas un accédant à la propriété,,3.7
2021,"Total, grands centres de population urbains",Locataire,,17.4
2021,"Total, grands centres de population urbains",Locataire n'habitant pas dans un logement social et abordable,,16.5
2021,"Total, grands centres de population urbains",Locataire habitant dans un logement social et abordable,,25.0
2022,Terre-Neuve-et-Labrador,"Total, mode d'occupation",10,6.8
2022,Terre-Neuve-et-Labrador,Propriétaire,10,2.4
2022,Terre-Neuve-et-Labrador,Propriétaire qui est un accédant à la propriété,10,
2022,Terre-Neuve-et-Labrador,Propriétaire qui n'est pas un accédant à la propriété,10,2.9
2022,Terre-Neuve-et-Labrador,Locataire,10,17.6
2022,Terre-Neuve-et-Labrador,Locataire n'habitant pas dans un logement social et abordable,10,15.9
2022,Terre-Neuve-et-Labrador,Locataire habitant dans un logement social et abordable,10,26.0
2022,Nouvelle-Écosse,"Total, mode d'occupation",12,11.4
2022,Nouvelle-Écosse,Propriétaire,12,4.6
2022,Nouvelle-Écosse,Propriétaire qui est un accédant à la propriété,12,1.9
2022,Nouvelle-Écosse,Propriétaire qui n'est pas un accédant à la propriété,12,5.1
2022,Nouvelle-Écosse,Locataire,12,21.0
2022,Nouvelle-Écosse,Locataire n'habitant pas dans un logement social et abordable,12,18.0
2022,Nouvelle-Écosse,Locataire habitant dans un logement social et abordable,12,63.0
2022,Nouveau-Brunswick,"Total, mode d'occupation",13,8.3
2022,Nouveau-Brunswick,Propriétaire,13,3.3
2022,Nouveau-Brunswick,Propriétaire qui est un accédant à la propriété,13,7.9
2022,Nouveau-Brunswick,Propriétaire qui n'est pas un accédant à la propriété,13,2.5
2022,Nouveau-Brunswick,Locataire,13,16.5
2022,Nouveau-Brunswick,Locataire n'habitant pas dans un logement social et abordable,13,15.6
2022,Nouveau-Brunswick,Locataire habitant dans un logement social et abordable,13,21.0
2022,Québec,"Total, mode d'occupation",24,3.7
2022,Québec,Propriétaire,24,2.2
2022,Québec,Propriétaire qui est un accédant à la propriété,24,2.3
2022,Québec,Propriétaire qui n'est pas un accédant à la propriété,24,2.2
2022,Québec,Locataire,24,6.0
2022,Québec,Locataire n'habitant pas dans un logement social et abordable,24,4.9
2022,Québec,Locataire habitant dans un logement social et abordable,24,15.9
2022,Ontario,"Total, mode d'occupation",35,13.4
2022,Ontario,Propriétaire,35,6.4
2022,Ontario,Propriétaire qui est un accédant à la propriété,35,2.5
2022,Ontario,Propriétaire qui n'est pas un accédant à la propriété,35,7.0
2022,Ontario,Locataire,35,27.0
2022,Ontario,Locataire n'habitant pas dans un logement social et abordable,35,27.0
2022,Ontario,Locataire habitant dans un logement social et abordable,35,33.0
2022,Manitoba,"Total, mode d'occupation",46,10.1
2022,Manitoba,Propriétaire,46,5.1
2022,Manitoba,Propriétaire qui est un accédant à la propriété,46,
2022,Manitoba,Propriétaire qui n'est pas un accédant à la propriété,46,5.9
2022,Manitoba,Locataire,46,22.0
2022,Manitoba,Locataire n'habitant pas dans un logement social et abordable,46,19.8
2022,Manitoba,Locataire habitant dans un logement social et abordable,46,31.0
2022,Saskatchewan,"Total, mode d'occupation",47,7.1
2022,Saskatchewan,Propriétaire,47,3.3
2022,Saskatchewan,Propriétaire qui est un accédant à la propriété,47,4.6
2022,Saskatchewan,Propriétaire qui n'est pas un accédant à la propriété,47,3.0
2022,Saskatchewan,Locataire,47,16.2
2022,Saskatchewan,Locataire n'habitant pas dans un logement social et abordable,47,13.8
2022,Saskatchewan,Locataire habitant dans un logement social et abordable,47,31.0
2022,Alberta,"Total, mode d'occupation",48,7.5
2022,Alberta,Propriétaire,48,4.4
2022,Alberta,Propriétaire qui est un accédant à la propriété,48,3.4
2022,Alberta,Propriétaire qui n'est pas un accédant à la propriété,48,4.5
2022,Alberta,Locataire,48,16.2
2022,Alberta,Locataire n'habitant pas dans un logement social et abordable,48,14.2
2022,Alberta,Locataire habitant dans un logement social et abordable,48,36.0
2022,Colombie-Britannique,"Total, mode d'occupation",59,14.8
2022,Colombie-Britannique,Propriétaire,59,7.1
2022,Colombie-Britannique,Propriétaire qui est un accédant à la propriété,59,4.3
2022,Colombie-Britannique,Propriétaire qui n'est pas un accédant à la propriété,59,7.4
2022,Colombie-Britannique,Locataire,59,29.0
2022,Colombie-Britannique,Locataire n'habitant pas dans un logement social et abordable,59,27.0
2022,Colombie-Britannique,Locataire habitant dans un logement social et abordable,59,36.0
2022,,,,10.4
2022,"Total, grands centres de population urbains",Propriétaire,,5.2
2022,"Total, grands centres de population urbains",Propriétaire qui est un accédant à la propriété,,2.8
2022,"Total, grands centres de population urbains",Propriétaire qui n'est pas un accédant à la propriété,,5.6
2022,"Total, grands centres de population urbains",Locataire,,20.0
2022,"Total, grands centres de population urbains",Locataire n'habitant pas dans un logement social et abordable,,19.5
2022,"Total, grands centres de population urbains",Locataire habitant dans un logement social et abordable,,30.0
