Year,Sex,Units,Value
2015,,Number,1353.0
2015,,"Rate per 1,000 live births",3.5
2016,,Number,1291.0
2016,,"Rate per 1,000 live births",3.4
2017,,Number,1323.0
2017,,"Rate per 1,000 live births",3.5
2018,,Number,1333.0
2018,,"Rate per 1,000 live births",3.6
2019,,Number,1257.0
2019,,"Rate per 1,000 live births",3.4
2020,,Number,1241.0
2020,,"Rate per 1,000 live births",3.5
2021,,Number,1230.0
2021,,"Rate per 1,000 live births",3.3
2022,,Number,1237.0
2022,,"Rate per 1,000 live births",3.5
2015,Males,Number,721.0
2015,Males,"Rate per 1,000 live births",3.7
2015,Females,Number,632.0
2015,Females,"Rate per 1,000 live births",3.4
2016,Males,Number,670.0
2016,Males,"Rate per 1,000 live births",3.4
2016,Females,Number,621.0
2016,Females,"Rate per 1,000 live births",3.3
2017,Males,Number,722.0
2017,Males,"Rate per 1,000 live births",3.7
2017,Females,Number,601.0
2017,Females,"Rate per 1,000 live births",3.3
2018,Males,Number,730.0
2018,Males,"Rate per 1,000 live births",3.8
2018,Females,Number,603.0
2018,Females,"Rate per 1,000 live births",3.3
2019,Males,Number,725.0
2019,Males,"Rate per 1,000 live births",3.8
2019,Females,Number,532.0
2019,Females,"Rate per 1,000 live births",2.9
2020,Males,Number,694.0
2020,Males,"Rate per 1,000 live births",3.8
2020,Females,Number,547.0
2020,Females,"Rate per 1,000 live births",3.1
2021,Males,Number,689.0
2021,Males,"Rate per 1,000 live births",3.7
2021,Females,Number,541.0
2021,Females,"Rate per 1,000 live births",3.0
2022,Males,Number,673.0
2022,Males,"Rate per 1,000 live births",3.7
2022,Females,Number,564.0
2022,Females,"Rate per 1,000 live births",3.3
