Year,Series,Value
2020,Percent of Staphylococcus aureus bloodstream infections resistant to methicillin (MRSA) (%),17
2021,Percent of Staphylococcus aureus bloodstream infections resistant to methicillin (MRSA) (%),17
2022,Percent of Staphylococcus aureus bloodstream infections resistant to methicillin (MRSA) (%),17
2023,Percent of Staphylococcus aureus bloodstream infections resistant to methicillin (MRSA) (%),19
2024,Percent of Staphylococcus aureus bloodstream infections resistant to methicillin (MRSA) (%),20
2020,Percent of Escherichia coli bloodstream infections resistant to third-generation cephalosporins (%),15
2021,Percent of Escherichia coli bloodstream infections resistant to third-generation cephalosporins (%),14
2022,Percent of Escherichia coli bloodstream infections resistant to third-generation cephalosporins (%),18
2023,Percent of Escherichia coli bloodstream infections resistant to third-generation cephalosporins (%),20
2024,Percent of Escherichia coli bloodstream infections resistant to third-generation cephalosporins (%),28
