Year,Value,Series
2020,17,Percent of Staphylococcus aureus bloodstream infections resistant to methicillin (MRSA) (%)
2021,17,Percent of Staphylococcus aureus bloodstream infections resistant to methicillin (MRSA) (%)
2022,17,Percent of Staphylococcus aureus bloodstream infections resistant to methicillin (MRSA) (%)
2023,19,Percent of Staphylococcus aureus bloodstream infections resistant to methicillin (MRSA) (%)
2024,20,Percent of Staphylococcus aureus bloodstream infections resistant to methicillin (MRSA) (%)
2020,15,Percent of Escherichia coli bloodstream infections resistant to third-generation cephalosporins (%)
2021,14,Percent of Escherichia coli bloodstream infections resistant to third-generation cephalosporins (%)
2022,18,Percent of Escherichia coli bloodstream infections resistant to third-generation cephalosporins (%)
2023,20,Percent of Escherichia coli bloodstream infections resistant to third-generation cephalosporins (%)
2024,28,Percent of Escherichia coli bloodstream infections resistant to third-generation cephalosporins (%)
