Year,Sexe,Units,Value
2015,,Taux de mortalité pour 1 000 naissances vivantes,3.5
2016,,Taux de mortalité pour 1 000 naissances vivantes,3.4
2017,,Taux de mortalité pour 1 000 naissances vivantes,3.5
2018,,Taux de mortalité pour 1 000 naissances vivantes,3.6
2019,,Taux de mortalité pour 1 000 naissances vivantes,3.4
2020,,Taux de mortalité pour 1 000 naissances vivantes,3.5
2021,,Taux de mortalité pour 1 000 naissances vivantes,3.3
2022,,Taux de mortalité pour 1 000 naissances vivantes,3.5
2015,,Nombre de décès,1353.0
2016,,Nombre de décès,1291.0
2017,,Nombre de décès,1323.0
2018,,Nombre de décès,1333.0
2019,,Nombre de décès,1257.0
2020,,Nombre de décès,1241.0
2021,,Nombre de décès,1230.0
2022,,Nombre de décès,1237.0
2015,Hommes,Taux de mortalité pour 1 000 naissances vivantes,3.7
2015,Femmes,Taux de mortalité pour 1 000 naissances vivantes,3.4
2016,Hommes,Taux de mortalité pour 1 000 naissances vivantes,3.4
2016,Femmes,Taux de mortalité pour 1 000 naissances vivantes,3.3
2017,Hommes,Taux de mortalité pour 1 000 naissances vivantes,3.7
2017,Femmes,Taux de mortalité pour 1 000 naissances vivantes,3.3
2018,Hommes,Taux de mortalité pour 1 000 naissances vivantes,3.8
2018,Femmes,Taux de mortalité pour 1 000 naissances vivantes,3.3
2019,Hommes,Taux de mortalité pour 1 000 naissances vivantes,3.8
2019,Femmes,Taux de mortalité pour 1 000 naissances vivantes,2.9
2020,Hommes,Taux de mortalité pour 1 000 naissances vivantes,3.8
2020,Femmes,Taux de mortalité pour 1 000 naissances vivantes,3.1
2021,Hommes,Taux de mortalité pour 1 000 naissances vivantes,3.7
2021,Femmes,Taux de mortalité pour 1 000 naissances vivantes,3.0
2022,Hommes,Taux de mortalité pour 1 000 naissances vivantes,3.7
2022,Femmes,Taux de mortalité pour 1 000 naissances vivantes,3.3
2015,Hommes,Nombre de décès,721.0
2015,Femmes,Nombre de décès,632.0
2016,Hommes,Nombre de décès,670.0
2016,Femmes,Nombre de décès,621.0
2017,Hommes,Nombre de décès,722.0
2017,Femmes,Nombre de décès,601.0
2018,Hommes,Nombre de décès,730.0
2018,Femmes,Nombre de décès,603.0
2019,Hommes,Nombre de décès,725.0
2019,Femmes,Nombre de décès,532.0
2020,Hommes,Nombre de décès,694.0
2020,Femmes,Nombre de décès,547.0
2021,Hommes,Nombre de décès,689.0
2021,Femmes,Nombre de décès,541.0
2022,Hommes,Nombre de décès,673.0
2022,Femmes,Nombre de décès,564.0
