Year,Units,Sexe,Value
2015,"Number of fatality claims, by sex",Homme,811
2015,"Number of fatality claims, by sex",Femme,40
2016,"Number of fatality claims, by sex",Homme,863
2016,"Number of fatality claims, by sex",Femme,41
2017,"Number of fatality claims, by sex",Homme,920
2017,"Number of fatality claims, by sex",Femme,31
2017,"Number of fatality claims, by sex",Unknown,0
2018,"Number of fatality claims, by sex",Homme,997
2018,"Number of fatality claims, by sex",Femme,30
2018,"Number of fatality claims, by sex",Unknown,0
2019,"Number of fatality claims, by sex",Homme,882
2019,"Number of fatality claims, by sex",Femme,43
2019,"Number of fatality claims, by sex",Unknown,0
2020,"Number of fatality claims, by sex",Homme,878
2020,"Number of fatality claims, by sex",Femme,46
2021,"Number of fatality claims, by sex",Homme,1009
2021,"Number of fatality claims, by sex",Femme,72
2015,"Number of lost time claims, by sex",Homme,143478
2015,"Number of lost time claims, by sex",Femme,89123
2015,"Number of lost time claims, by sex",Unknown,28
2016,"Number of lost time claims, by sex",Homme,145401
2016,"Number of lost time claims, by sex",Femme,95235
2016,"Number of lost time claims, by sex",Unknown,46
2017,"Number of lost time claims, by sex",Homme,152240
2017,"Number of lost time claims, by sex",Femme,99319
2017,"Number of lost time claims, by sex",Unknown,66
2018,"Number of lost time claims, by sex",Homme,158969
2018,"Number of lost time claims, by sex",Femme,105443
2018,"Number of lost time claims, by sex",Unknown,26
2019,"Number of lost time claims, by sex",Homme,160801
2019,"Number of lost time claims, by sex",Femme,110948
2019,"Number of lost time claims, by sex",Unknown,57
2020,"Number of lost time claims, by sex",Homme,138776
2020,"Number of lost time claims, by sex",Femme,114489
2020,"Number of lost time claims, by sex",Unknown,132
2021,"Number of lost time claims, by sex",Homme,158600
2021,"Number of lost time claims, by sex",Femme,118422
2021,"Number of lost time claims, by sex",Unknown,195
