Year,Géographie,Groupes racialisés,Caractéristiques sociodémographiques,Value
2021,,,,76.6
2021,Canada,Total <U+0096> Visible minority,"Total, 15 ans et plus",79.0
2021,Canada,Total <U+0096> Visible minority,Men+,81.5
2021,Canada,Total <U+0096> Visible minority,Women+,76.0
2021,Canada,Total <U+0096> Visible minority,15 à 24 ans,78.0
2021,Canada,Total <U+0096> Visible minority,25 à 64 ans,80.4
2021,Canada,Total <U+0096> Visible minority,65 ans et plus,75.0
2021,Canada,Total <U+0096> Visible minority,Non-immigrants,79.0
2021,Canada,Total <U+0096> Visible minority,Immigrants,78.0
2021,Canada,Total de la population des minorités visibles,"Total, 15 ans et plus",77.0
2021,Canada,Total de la population des minorités visibles,Men+,79.0
2021,Canada,Total de la population des minorités visibles,Women+,75.0
2021,Canada,Total de la population des minorités visibles,15 à 24 ans,75.0
2021,Canada,Total de la population des minorités visibles,25 à 64 ans,78.0
2021,Canada,Total de la population des minorités visibles,65 ans et plus,78.0
2021,Canada,Total de la population des minorités visibles,Non-immigrants,72.0
2021,Canada,Total de la population des minorités visibles,Immigrants,78.0
2021,Canada,"Sud-Asiatique
","Total, 15 ans et plus",81.0
2021,Canada,"Sud-Asiatique
",Men+,83.6
2021,Canada,"Sud-Asiatique
",Women+,78.0
2021,Canada,"Sud-Asiatique
",15 à 24 ans,80.0
2021,Canada,"Sud-Asiatique
",25 à 64 ans,80.5
2021,Canada,"Sud-Asiatique
",65 ans et plus,85.5
2021,Canada,"Sud-Asiatique
",Non-immigrants,71.0
2021,Canada,"Sud-Asiatique
",Immigrants,83.2
2021,Canada,"Chinois
","Total, 15 ans et plus",76.0
2021,Canada,"Chinois
",Men+,77.0
2021,Canada,"Chinois
",Women+,76.0
2021,Canada,"Chinois
",15 à 24 ans,76.0
2021,Canada,"Chinois
",25 à 64 ans,76.0
2021,Canada,"Chinois
",65 ans et plus,78.0
2021,Canada,"Chinois
",Non-immigrants,72.0
2021,Canada,"Chinois
",Immigrants,77.0
2021,Canada,"Noir
","Total, 15 ans et plus",75.0
2021,Canada,"Noir
",Men+,77.0
2021,Canada,"Noir
",Women+,74.0
2021,Canada,"Noir
",15 à 24 ans,75.0
2021,Canada,"Noir
",25 à 64 ans,76.0
2021,Canada,"Noir
",65 ans et plus,76.0
2021,Canada,"Noir
",Non-immigrants,76.0
2021,Canada,"Noir
",Immigrants,74.0
2021,Canada,"Philippin
","Total, 15 ans et plus",77.0
2021,Canada,"Philippin
",Men+,77.0
2021,Canada,"Philippin
",Women+,76.0
2021,Canada,"Philippin
",15 à 24 ans,74.0
2021,Canada,"Philippin
",25 à 64 ans,78.0
2021,Canada,"Philippin
",65 ans et plus,71.0
2021,Canada,"Philippin
",Non-immigrants,74.0
2021,Canada,"Philippin
",Immigrants,76.0
2021,Canada,"Arabe
","Total, 15 ans et plus",76.0
2021,Canada,"Arabe
",Men+,80.0
2021,Canada,"Arabe
",Women+,72.0
2021,Canada,"Arabe
",15 à 24 ans,70.0
2021,Canada,"Arabe
",25 à 64 ans,78.0
2021,Canada,"Arabe
",65 ans et plus,67.0
2021,Canada,"Arabe
",Non-immigrants,63.0
2021,Canada,"Arabe
",Immigrants,79.0
2021,Canada,"Latino-Américain
","Total, 15 ans et plus",78.0
2021,Canada,"Latino-Américain
",Men+,80.0
2021,Canada,"Latino-Américain
",Women+,77.0
2021,Canada,"Latino-Américain
",15 à 24 ans,74.0
2021,Canada,"Latino-Américain
",25 à 64 ans,81.2
2021,Canada,"Latino-Américain
",65 ans et plus,65.0
2021,Canada,"Latino-Américain
",Non-immigrants,76.0
2021,Canada,"Latino-Américain
",Immigrants,78.0
2021,Canada,"Asiatique du Sud-Est
","Total, 15 ans et plus",67.0
2021,Canada,"Asiatique du Sud-Est
",Men+,75.0
2021,Canada,"Asiatique du Sud-Est
",Women+,63.0
2021,Canada,"Asiatique du Sud-Est
",15 à 24 ans,57.0
2021,Canada,"Asiatique du Sud-Est
",25 à 64 ans,69.0
2021,Canada,"Asiatique du Sud-Est
",65 ans et plus,78.0
2021,Canada,"Asiatique du Sud-Est
",Non-immigrants,59.0
2021,Canada,"Asiatique du Sud-Est
",Immigrants,66.0
2021,Canada,"Pas une minorité visible
","Total, 15 ans et plus",80.0
2021,Canada,"Pas une minorité visible
",Men+,82.6
2021,Canada,"Pas une minorité visible
",Women+,77.0
2021,Canada,"Pas une minorité visible
",15 à 24 ans,80.8
2021,Canada,"Pas une minorité visible
",25 à 64 ans,81.6
2021,Canada,"Pas une minorité visible
",65 ans et plus,74.0
2021,Canada,"Pas une minorité visible
",Non-immigrants,80.0
2021,Canada,"Pas une minorité visible
",Immigrants,79.0
