Year,Series,Demographic and geodemographic,Geography,Value
2023,Age,0 to 14 years,Alberta,13.8
2023,Age,15 to 64 years,Alberta,51.9
2023,Age,65 years and over,Alberta,10.7
2023,Gender,Men+,Alberta,38.0
2023,Gender,Women+,Alberta,38.5
2023,Total,Percentage of population within 500 metres of a public transit stop,Alberta,76.4
2023,Age,0 to 14 years,British Columbia,10.6
2023,Age,15 to 64 years,British Columbia,50.4
2023,Age,65 years and over,British Columbia,14.9
2023,Gender,Men+,British Columbia,37.0
2023,Gender,Women+,British Columbia,38.9
2023,Total,Percentage of population within 500 metres of a public transit stop,British Columbia,75.9
2023,Age,0 to 14 years,,11.8
2023,Age,15 to 64 years,,49.7
2023,Age,65 years and over,,13.6
2023,Gender,Men+,,37.6
2023,Gender,Women+,,39.3
2023,Total,Percentage of population within 500 metres of a public transit stop,,75.1
2023,Age,0 to 14 years,Manitoba,13.8
2023,Age,15 to 64 years,Manitoba,55.0
2023,Age,65 years and over,Manitoba,14.0
2023,Gender,Men+,Manitoba,40.7
2023,Gender,Women+,Manitoba,42.0
2023,Total,Percentage of population within 500 metres of a public transit stop,Manitoba,82.7
2023,Age,0 to 14 years,New Brunswick,7.5
2023,Age,15 to 64 years,New Brunswick,33.3
2023,Age,65 years and over,New Brunswick,10.3
2023,Gender,Men+,New Brunswick,24.6
2023,Gender,Women+,New Brunswick,26.5
2023,Total,Percentage of population within 500 metres of a public transit stop,New Brunswick,51.1
2023,Age,0 to 14 years,Newfoundland and Labrador,6.9
2023,Age,15 to 64 years,Newfoundland and Labrador,36.2
2023,Age,65 years and over,Newfoundland and Labrador,11.4
2023,Gender,Men+,Newfoundland and Labrador,26.3
2023,Gender,Women+,Newfoundland and Labrador,28.2
2023,Total,Percentage of population within 500 metres of a public transit stop,Newfoundland and Labrador,54.5
2023,Age,0 to 14 years,Northwest Territories,17.7
2023,Age,15 to 64 years,Northwest Territories,63.1
2023,Age,65 years and over,Northwest Territories,7.0
2023,Gender,Men+,Northwest Territories,43.7
2023,Gender,Women+,Northwest Territories,44.2
2023,Total,Percentage of population within 500 metres of a public transit stop,Northwest Territories,87.9
2023,Age,0 to 14 years,Nova Scotia,8.0
2023,Age,15 to 64 years,Nova Scotia,39.2
2023,Age,65 years and over,Nova Scotia,11.1
2023,Gender,Men+,Nova Scotia,28.1
2023,Gender,Women+,Nova Scotia,30.2
2023,Total,Percentage of population within 500 metres of a public transit stop,Nova Scotia,58.3
2023,Age,0 to 14 years,Ontario,11.4
2023,Age,15 to 64 years,Ontario,49.5
2023,Age,65 years and over,Ontario,12.9
2023,Gender,Men+,Ontario,35.9
2023,Gender,Women+,Ontario,37.9
2023,Total,Percentage of population within 500 metres of a public transit stop,Ontario,73.8
2023,Age,0 to 14 years,Prince Edward Island,5.3
2023,Age,15 to 64 years,Prince Edward Island,24.1
2023,Age,65 years and over,Prince Edward Island,7.9
2023,Gender,Men+,Prince Edward Island,19.5
2023,Gender,Women+,Prince Edward Island,21.2
2023,Total,Percentage of population within 500 metres of a public transit stop,Prince Edward Island,40.8
2023,Age,0 to 14 years,Quebec,12.6
2023,Age,15 to 64 years,Quebec,50.7
2023,Age,65 years and over,Quebec,15.9
2023,Gender,Men+,Quebec,38.7
2023,Gender,Women+,Quebec,40.5
2023,Total,Percentage of population within 500 metres of a public transit stop,Quebec,79.2
2023,Age,0 to 14 years,Saskatchewan,14.9
2023,Age,15 to 64 years,Saskatchewan,52.1
2023,Age,65 years and over,Saskatchewan,12.8
2023,Gender,Men+,Saskatchewan,78.1
2023,Gender,Women+,Saskatchewan,81.3
2023,Total,Percentage of population within 500 metres of a public transit stop,Saskatchewan,79.7
2023,Age,0 to 14 years,Yukon,13.2
2023,Age,15 to 64 years,Yukon,52.1
2023,Age,65 years and over,Yukon,10.1
2023,Gender,Men+,Yukon,37.0
2023,Gender,Women+,Yukon,38.5
2023,Total,Percentage of population within 500 metres of a public transit stop,Yukon,75.5
