Year,Series,Units,Value
2000,Empreinte matérielle,Millions de tonnes métriques,1196.74
2001,Empreinte matérielle,Millions de tonnes métriques,1101.55
2002,Empreinte matérielle,Millions de tonnes métriques,1097.2
2003,Empreinte matérielle,Millions de tonnes métriques,1203.02
2004,Empreinte matérielle,Millions de tonnes métriques,1315.71
2005,Empreinte matérielle,Millions de tonnes métriques,1107.7
2006,Empreinte matérielle,Millions de tonnes métriques,1149.26
2007,Empreinte matérielle,Millions de tonnes métriques,1115.39
2008,Empreinte matérielle,Millions de tonnes métriques,1081.33
2009,Empreinte matérielle,Millions de tonnes métriques,1028.52
2010,Empreinte matérielle,Millions de tonnes métriques,1178.79
2011,Empreinte matérielle,Millions de tonnes métriques,1271.44
2012,Empreinte matérielle,Millions de tonnes métriques,1216.29
2013,Empreinte matérielle,Millions de tonnes métriques,1235.32
2014,Empreinte matérielle,Millions de tonnes métriques,1206.28
2015,Empreinte matérielle,Millions de tonnes métriques,1240.12
2016,Empreinte matérielle,Millions de tonnes métriques,1290.24
2017,Empreinte matérielle,Millions de tonnes métriques,1340.02
2018,Empreinte matérielle,Millions de tonnes métriques,1328.66
2019,Empreinte matérielle,Millions de tonnes métriques,1311.23
2000,Empreinte matérielle par habitant,Tonnes métriques,39.0
2001,Empreinte matérielle par habitant,Tonnes métriques,35.51
2002,Empreinte matérielle par habitant,Tonnes métriques,34.99
2003,Empreinte matérielle par habitant,Tonnes métriques,38.02
2004,Empreinte matérielle par habitant,Tonnes métriques,41.19
2005,Empreinte matérielle par habitant,Tonnes métriques,34.35
2006,Empreinte matérielle par habitant,Tonnes métriques,35.28
2007,Empreinte matérielle par habitant,Tonnes métriques,33.91
2008,Empreinte matérielle par habitant,Tonnes métriques,32.52
2009,Empreinte matérielle par habitant,Tonnes métriques,30.58
2010,Empreinte matérielle par habitant,Tonnes métriques,34.67
2011,Empreinte matérielle par habitant,Tonnes métriques,37.03
2012,Empreinte matérielle par habitant,Tonnes métriques,35.04
2013,Empreinte matérielle par habitant,Tonnes métriques,35.21
2014,Empreinte matérielle par habitant,Tonnes métriques,34.04
2015,Empreinte matérielle par habitant,Tonnes métriques,34.73
2016,Empreinte matérielle par habitant,Tonnes métriques,35.73
2017,Empreinte matérielle par habitant,Tonnes métriques,36.67
2018,Empreinte matérielle par habitant,Tonnes métriques,35.85
2019,Empreinte matérielle par habitant,Tonnes métriques,34.87
2000,Material footprint per unit of GDP,Tonnes métriques par PIB (millions de dollars),818.95
2001,Material footprint per unit of GDP,Tonnes métriques par PIB (millions de dollars),742.67
2002,Material footprint per unit of GDP,Tonnes métriques par PIB (millions de dollars),718.85
2003,Material footprint per unit of GDP,Tonnes métriques par PIB (millions de dollars),773.73
2004,Material footprint per unit of GDP,Tonnes métriques par PIB (millions de dollars),821.41
2005,Material footprint per unit of GDP,Tonnes métriques par PIB (millions de dollars),669.84
2006,Material footprint per unit of GDP,Tonnes métriques par PIB (millions de dollars),678.47
2007,Material footprint per unit of GDP,Tonnes métriques par PIB (millions de dollars),644.0
2008,Material footprint per unit of GDP,Tonnes métriques par PIB (millions de dollars),618.14
2009,Material footprint per unit of GDP,Tonnes métriques par PIB (millions de dollars),607.06
2010,Material footprint per unit of GDP,Tonnes métriques par PIB (millions de dollars),676.01
2011,Material footprint per unit of GDP,Tonnes métriques par PIB (millions de dollars),707.01
2012,Material footprint per unit of GDP,Tonnes métriques par PIB (millions de dollars),665.65
2013,Material footprint per unit of GDP,Tonnes métriques par PIB (millions de dollars),660.11
2014,Material footprint per unit of GDP,Tonnes métriques par PIB (millions de dollars),626.28
2015,Material footprint per unit of GDP,Tonnes métriques par PIB (millions de dollars),639.9
2016,Material footprint per unit of GDP,Tonnes métriques par PIB (millions de dollars),660.49
2017,Material footprint per unit of GDP,Tonnes métriques par PIB (millions de dollars),662.74
2018,Material footprint per unit of GDP,Tonnes métriques par PIB (millions de dollars),636.87
2019,Material footprint per unit of GDP,Tonnes métriques par PIB (millions de dollars),616.79
