Year,Âge au décès,Sexe,Causes of death,Value
2015,Tous les âges,Les deux sexes,Tumeurs malignes,215.0
2015,Tous les âges,Les deux sexes,Diabète sucré,20.0
2015,Tous les âges,Les deux sexes,Maladies du coeur,143.8
2015,Tous les âges,Les deux sexes,Essential hypertension and hypertensive renal disease,4.2
2015,Tous les âges,Les deux sexes,Cerebrovascular diseases,38.5
2015,Tous les âges,Les deux sexes,Atherosclerosis,1.6
2015,Tous les âges,Les deux sexes,Aortic aneurysm and dissection,4.1
2015,Tous les âges,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,35.1
2015,Tous les âges,Les deux sexes,Pneumoconioses and chemical effects,0.3
2015,Tous les âges,Les deux sexes,Pneumonitis due to solids and liquids,3.5
2015,Tous les âges,Hommes,Tumeurs malignes,227.4
2015,Tous les âges,Hommes,Diabète sucré,22.2
2015,Tous les âges,Hommes,Maladies du coeur,153.6
2015,Tous les âges,Hommes,Essential hypertension and hypertensive renal disease,3.2
2015,Tous les âges,Hommes,Cerebrovascular diseases,32.4
2015,Tous les âges,Hommes,Atherosclerosis,1.4
2015,Tous les âges,Hommes,Aortic aneurysm and dissection,5.0
2015,Tous les âges,Hommes,Maladies chroniques des voies respiratoires inférieures,35.1
2015,Tous les âges,Hommes,Pneumoconioses and chemical effects,0.6
2015,Tous les âges,Hommes,Pneumonitis due to solids and liquids,4.0
2015,Tous les âges,Femmes,Tumeurs malignes,202.8
2015,Tous les âges,Femmes,Diabète sucré,17.8
2015,Tous les âges,Femmes,Maladies du coeur,134.2
2015,Tous les âges,Femmes,Essential hypertension and hypertensive renal disease,5.1
2015,Tous les âges,Femmes,Cerebrovascular diseases,44.5
2015,Tous les âges,Femmes,Atherosclerosis,1.7
2015,Tous les âges,Femmes,Aortic aneurysm and dissection,3.3
2015,Tous les âges,Femmes,Maladies chroniques des voies respiratoires inférieures,35.1
2015,Tous les âges,Femmes,Pneumoconioses and chemical effects,0.0
2015,Tous les âges,Femmes,Pneumonitis due to solids and liquids,3.1
2015,1 à 14 ans,Les deux sexes,Tumeurs malignes,2.4
2015,1 à 14 ans,Les deux sexes,Diabète sucré,0.0
2015,1 à 14 ans,Les deux sexes,Maladies du coeur,0.3
2015,1 à 14 ans,Les deux sexes,Essential hypertension and hypertensive renal disease,0.0
2015,1 à 14 ans,Les deux sexes,Cerebrovascular diseases,0.2
2015,1 à 14 ans,Les deux sexes,Atherosclerosis,0.0
2015,1 à 14 ans,Les deux sexes,Aortic aneurysm and dissection,0.0
2015,1 à 14 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,1 à 14 ans,Les deux sexes,Pneumoconioses and chemical effects,0.0
2015,1 à 14 ans,Les deux sexes,Pneumonitis due to solids and liquids,0.0
2015,1 à 14 ans,Hommes,Tumeurs malignes,2.5
2015,1 à 14 ans,Hommes,Diabète sucré,0.0
2015,1 à 14 ans,Hommes,Maladies du coeur,0.3
2015,1 à 14 ans,Hommes,Essential hypertension and hypertensive renal disease,0.0
2015,1 à 14 ans,Hommes,Cerebrovascular diseases,0.2
2015,1 à 14 ans,Hommes,Atherosclerosis,0.0
2015,1 à 14 ans,Hommes,Aortic aneurysm and dissection,0.0
2015,1 à 14 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.1
2015,1 à 14 ans,Hommes,Pneumoconioses and chemical effects,0.0
2015,1 à 14 ans,Hommes,Pneumonitis due to solids and liquids,0.0
2015,1 à 14 ans,Femmes,Tumeurs malignes,2.4
