Year,Indicateurs de discrimination,Géographie,Genre,GeoCode,Value
2024 Q1,,,,,35.9
2024 Q2,,,,,36.9
2024 Q3,,,,,30.9
2024 Q1,N'ont pas été victimes de discrimination,Canada,Total,,64.1
2024 Q1,Discrimination au travail,Canada,Total,,39.9
2024 Q1,Discrimination à l'école,Canada,Total,,17.7
2024 Q1,Discrimination sur Internet,Canada,Total,,18.7
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Canada,Total,,16.7
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Canada,Total,,48.0
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Canada,Total,,22.4
2024 Q1,Discrimination en utilisant le transport en commun,Canada,Total,,17.5
2024 Q1,Discrimination dans toute autre situation,Canada,Total,,20.2
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Canada,Hommes,,32.2
2024 Q1,N'ont pas été victimes de discrimination,Canada,Hommes,,67.8
2024 Q1,Discrimination au travail,Canada,Hommes,,38.7
2024 Q1,Discrimination à l'école,Canada,Hommes,,19.1
2024 Q1,Discrimination sur Internet,Canada,Hommes,,20.9
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Canada,Hommes,,12.5
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Canada,Hommes,,47.4
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Canada,Hommes,,21.1
2024 Q1,Discrimination en utilisant le transport en commun,Canada,Hommes,,17.1
2024 Q1,Discrimination dans toute autre situation,Canada,Hommes,,22.9
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Canada,Femmes,,39.5
2024 Q1,N'ont pas été victimes de discrimination,Canada,Femmes,,60.5
2024 Q1,Discrimination au travail,Canada,Femmes,,40.8
2024 Q1,Discrimination à l'école,Canada,Femmes,,16.5
2024 Q1,Discrimination sur Internet,Canada,Femmes,,17.0
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Canada,Femmes,,20.0
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Canada,Femmes,,48.5
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Canada,Femmes,,23.5
2024 Q1,Discrimination en utilisant le transport en commun,Canada,Femmes,,17.8
2024 Q1,Discrimination dans toute autre situation,Canada,Femmes,,18.0
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Terre-Neuve-et-Labrador,Total,10,25.2
2024 Q1,N'ont pas été victimes de discrimination,Terre-Neuve-et-Labrador,Total,10,74.8
2024 Q1,Discrimination au travail,Terre-Neuve-et-Labrador,Total,10,42.8
2024 Q1,Discrimination à l'école,Terre-Neuve-et-Labrador,Total,10,24.0
2024 Q1,Discrimination sur Internet,Terre-Neuve-et-Labrador,Total,10,28.7
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Terre-Neuve-et-Labrador,Total,10,21.1
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Terre-Neuve-et-Labrador,Total,10,39.1
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Terre-Neuve-et-Labrador,Total,10,39.3
2024 Q1,Discrimination en utilisant le transport en commun,Terre-Neuve-et-Labrador,Total,10,16.1
2024 Q1,Discrimination dans toute autre situation,Terre-Neuve-et-Labrador,Total,10,16.1
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Terre-Neuve-et-Labrador,Hommes,10,21.5
2024 Q1,N'ont pas été victimes de discrimination,Terre-Neuve-et-Labrador,Hommes,10,78.5
2024 Q1,Discrimination au travail,Terre-Neuve-et-Labrador,Hommes,10,35.0
2024 Q1,Discrimination à l'école,Terre-Neuve-et-Labrador,Hommes,10,24.1
2024 Q1,Discrimination sur Internet,Terre-Neuve-et-Labrador,Hommes,10,35.1
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Terre-Neuve-et-Labrador,Hommes,10,11.7
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Terre-Neuve-et-Labrador,Hommes,10,25.2
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Terre-Neuve-et-Labrador,Hommes,10,31.3
2024 Q1,Discrimination en utilisant le transport en commun,Terre-Neuve-et-Labrador,Hommes,10,12.5
2024 Q1,Discrimination dans toute autre situation,Terre-Neuve-et-Labrador,Hommes,10,13.2
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Terre-Neuve-et-Labrador,Femmes,10,28.9
2024 Q1,N'ont pas été victimes de discrimination,Terre-Neuve-et-Labrador,Femmes,10,71.1
2024 Q1,Discrimination au travail,Terre-Neuve-et-Labrador,Femmes,10,48.5
2024 Q1,Discrimination à l'école,Terre-Neuve-et-Labrador,Femmes,10,23.9
2024 Q1,Discrimination sur Internet,Terre-Neuve-et-Labrador,Femmes,10,24.1
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Terre-Neuve-et-Labrador,Femmes,10,27.9
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Terre-Neuve-et-Labrador,Femmes,10,49.1
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Terre-Neuve-et-Labrador,Femmes,10,45.1
2024 Q1,Discrimination en utilisant le transport en commun,Terre-Neuve-et-Labrador,Femmes,10,18.8
2024 Q1,Discrimination dans toute autre situation,Terre-Neuve-et-Labrador,Femmes,10,18.2
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Île-du-Prince-Édouard,Total,11,23.7
2024 Q1,N'ont pas été victimes de discrimination,Île-du-Prince-Édouard,Total,11,76.3
2024 Q1,Discrimination au travail,Île-du-Prince-Édouard,Total,11,36.6
2024 Q1,Discrimination à l'école,Île-du-Prince-Édouard,Total,11,25.9
2024 Q1,Discrimination sur Internet,Île-du-Prince-Édouard,Total,11,20.9
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Île-du-Prince-Édouard,Total,11,23.9
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Île-du-Prince-Édouard,Total,11,48.3
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Île-du-Prince-Édouard,Total,11,29.2
2024 Q1,Discrimination en utilisant le transport en commun,Île-du-Prince-Édouard,Total,11,11.0
2024 Q1,Discrimination dans toute autre situation,Île-du-Prince-Édouard,Total,11,20.7
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Île-du-Prince-Édouard,Hommes,11,19.8
2024 Q1,N'ont pas été victimes de discrimination,Île-du-Prince-Édouard,Hommes,11,80.2
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Île-du-Prince-Édouard,Femmes,11,27.5
2024 Q1,N'ont pas été victimes de discrimination,Île-du-Prince-Édouard,Femmes,11,72.5
2024 Q1,Discrimination au travail,Île-du-Prince-Édouard,Femmes,11,37.9
2024 Q1,Discrimination à l'école,Île-du-Prince-Édouard,Femmes,11,18.9
2024 Q1,Discrimination sur Internet,Île-du-Prince-Édouard,Femmes,11,20.7
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Île-du-Prince-Édouard,Femmes,11,28.4
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Île-du-Prince-Édouard,Femmes,11,50.8
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Île-du-Prince-Édouard,Femmes,11,30.7
2024 Q1,Discrimination en utilisant le transport en commun,Île-du-Prince-Édouard,Femmes,11,15.4
2024 Q1,Discrimination dans toute autre situation,Île-du-Prince-Édouard,Femmes,11,18.1
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Nouvelle-Écosse,Total,12,30.4
2024 Q1,N'ont pas été victimes de discrimination,Nouvelle-Écosse,Total,12,69.6
2024 Q1,Discrimination au travail,Nouvelle-Écosse,Total,12,37.5
2024 Q1,Discrimination à l'école,Nouvelle-Écosse,Total,12,28.4
2024 Q1,Discrimination sur Internet,Nouvelle-Écosse,Total,12,22.1
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Nouvelle-Écosse,Total,12,24.5
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Nouvelle-Écosse,Total,12,47.1
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Nouvelle-Écosse,Total,12,32.9
2024 Q1,Discrimination en utilisant le transport en commun,Nouvelle-Écosse,Total,12,13.3
2024 Q1,Discrimination dans toute autre situation,Nouvelle-Écosse,Total,12,18.9
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Nouvelle-Écosse,Hommes,12,23.8
2024 Q1,N'ont pas été victimes de discrimination,Nouvelle-Écosse,Hommes,12,76.2
2024 Q1,Discrimination au travail,Nouvelle-Écosse,Hommes,12,35.7
2024 Q1,Discrimination à l'école,Nouvelle-Écosse,Hommes,12,24.2
2024 Q1,Discrimination sur Internet,Nouvelle-Écosse,Hommes,12,24.9
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Nouvelle-Écosse,Hommes,12,23.4
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Nouvelle-Écosse,Hommes,12,56.7
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Nouvelle-Écosse,Hommes,12,28.3
2024 Q1,Discrimination en utilisant le transport en commun,Nouvelle-Écosse,Hommes,12,13.8
2024 Q1,Discrimination dans toute autre situation,Nouvelle-Écosse,Hommes,12,21.6
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Nouvelle-Écosse,Femmes,12,36.5
2024 Q1,N'ont pas été victimes de discrimination,Nouvelle-Écosse,Femmes,12,63.5
2024 Q1,Discrimination au travail,Nouvelle-Écosse,Femmes,12,38.6
2024 Q1,Discrimination à l'école,Nouvelle-Écosse,Femmes,12,31.1
2024 Q1,Discrimination sur Internet,Nouvelle-Écosse,Femmes,12,20.3
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Nouvelle-Écosse,Femmes,12,25.3
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Nouvelle-Écosse,Femmes,12,41.0
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Nouvelle-Écosse,Femmes,12,35.8
2024 Q1,Discrimination en utilisant le transport en commun,Nouvelle-Écosse,Femmes,12,13.0
2024 Q1,Discrimination dans toute autre situation,Nouvelle-Écosse,Femmes,12,17.2
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Nouveau-Brunswick,Total,13,29.4
2024 Q1,N'ont pas été victimes de discrimination,Nouveau-Brunswick,Total,13,70.6
2024 Q1,Discrimination au travail,Nouveau-Brunswick,Total,13,41.5
2024 Q1,Discrimination à l'école,Nouveau-Brunswick,Total,13,19.0
2024 Q1,Discrimination sur Internet,Nouveau-Brunswick,Total,13,20.8
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Nouveau-Brunswick,Total,13,25.2
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Nouveau-Brunswick,Total,13,46.4
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Nouveau-Brunswick,Total,13,30.7
2024 Q1,Discrimination en utilisant le transport en commun,Nouveau-Brunswick,Total,13,4.1
2024 Q1,Discrimination dans toute autre situation,Nouveau-Brunswick,Total,13,12.5
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Nouveau-Brunswick,Hommes,13,27.4
2024 Q1,N'ont pas été victimes de discrimination,Nouveau-Brunswick,Hommes,13,72.6
2024 Q1,Discrimination au travail,Nouveau-Brunswick,Hommes,13,41.6
2024 Q1,Discrimination à l'école,Nouveau-Brunswick,Hommes,13,15.3
2024 Q1,Discrimination sur Internet,Nouveau-Brunswick,Hommes,13,23.0
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Nouveau-Brunswick,Hommes,13,26.1
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Nouveau-Brunswick,Hommes,13,47.4
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Nouveau-Brunswick,Hommes,13,28.0
2024 Q1,Discrimination en utilisant le transport en commun,Nouveau-Brunswick,Hommes,13,5.6
2024 Q1,Discrimination dans toute autre situation,Nouveau-Brunswick,Hommes,13,12.4
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Nouveau-Brunswick,Femmes,13,31.3
2024 Q1,N'ont pas été victimes de discrimination,Nouveau-Brunswick,Femmes,13,68.7
2024 Q1,Discrimination au travail,Nouveau-Brunswick,Femmes,13,41.4
2024 Q1,Discrimination à l'école,Nouveau-Brunswick,Femmes,13,22.2
2024 Q1,Discrimination sur Internet,Nouveau-Brunswick,Femmes,13,18.8
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Nouveau-Brunswick,Femmes,13,24.3
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Nouveau-Brunswick,Femmes,13,45.5
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Nouveau-Brunswick,Femmes,13,33.0
2024 Q1,Discrimination dans toute autre situation,Nouveau-Brunswick,Femmes,13,12.6
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Québec,Total,24,25.6
2024 Q1,N'ont pas été victimes de discrimination,Québec,Total,24,74.4
2024 Q1,Discrimination au travail,Québec,Total,24,38.0
2024 Q1,Discrimination à l'école,Québec,Total,24,16.3
2024 Q1,Discrimination sur Internet,Québec,Total,24,17.5
2024 Q1,Discrimination dans les rapports avec le système de soins de santé,Québec,Total,24,14.3
2024 Q1,"Discrimination dans des endroits publics, un magasin, une banque ou un restaurant",Québec,Total,24,45.6
2024 Q1,Discrimination aux mains de membres de la famille ou d’amis,Québec,Total,24,20.4
2024 Q1,Discrimination en utilisant le transport en commun,Québec,Total,24,17.8
2024 Q1,Discrimination dans toute autre situation,Québec,Total,24,21.8
2024 Q1,Victimes de discrimination ou de traitement injuste par d’autres personnes au Canada,Québec,Hommes,24,23.4
2024 Q1,N'ont pas été victimes de discrimination,Québec,Hommes,24,76.6
2024 Q1,Discrimination au travail,Québec,Hommes,24,37.3
2024 Q1,Discrimination à l'école,Québec,Hommes,24,20.2
2024 Q1,Discrimination sur Internet,Québec,Hommes,24,20.8
