Year,Series,Quintile de revenu du ménage,Décile de revenu du ménage,Géographie,GeoCode,Value
2010-2015,Dépenses des ménages par habitant,Tous les quintiles,,Canada,,1.307
2010-2015,Dépenses des ménages par habitant,Quintile inférieur,,Canada,,1.846
2010-2015,Dépenses des ménages par habitant,Deuxième quintile,,Canada,,1.434
2010-2015,Dépenses des ménages par habitant,Tous les quintiles,,Terre-Neuve-et-Labrador,10,3.696
2010-2015,Dépenses des ménages par habitant,Quintile inférieur,,Terre-Neuve-et-Labrador,10,2.873
2010-2015,Dépenses des ménages par habitant,Deuxième quintile,,Terre-Neuve-et-Labrador,10,2.754
2010-2015,Dépenses des ménages par habitant,Tous les quintiles,,Île-du-Prince-Édouard,11,1.686
2010-2015,Dépenses des ménages par habitant,Quintile inférieur,,Île-du-Prince-Édouard,11,0.403
2010-2015,Dépenses des ménages par habitant,Deuxième quintile,,Île-du-Prince-Édouard,11,1.013
2010-2015,Dépenses des ménages par habitant,Tous les quintiles,,Nouvelle-Écosse,12,2.608
2010-2015,Dépenses des ménages par habitant,Quintile inférieur,,Nouvelle-Écosse,12,2.301
2010-2015,Dépenses des ménages par habitant,Deuxième quintile,,Nouvelle-Écosse,12,1.55
2010-2015,Dépenses des ménages par habitant,Tous les quintiles,,Nouveau-Brunswick,13,1.378
2010-2015,Dépenses des ménages par habitant,Quintile inférieur,,Nouveau-Brunswick,13,1.621
2010-2015,Dépenses des ménages par habitant,Deuxième quintile,,Nouveau-Brunswick,13,0.495
2010-2015,Dépenses des ménages par habitant,Tous les quintiles,,Québec,24,0.386
2010-2015,Dépenses des ménages par habitant,Quintile inférieur,,Québec,24,0.765
2010-2015,Dépenses des ménages par habitant,Deuxième quintile,,Québec,24,-0.186
2010-2015,Dépenses des ménages par habitant,Tous les quintiles,,Ontario,35,1.424
2010-2015,Dépenses des ménages par habitant,Quintile inférieur,,Ontario,35,4.778
2010-2015,Dépenses des ménages par habitant,Deuxième quintile,,Ontario,35,2.092
2010-2015,Dépenses des ménages par habitant,Tous les quintiles,,Manitoba,46,1.134
2010-2015,Dépenses des ménages par habitant,Quintile inférieur,,Manitoba,46,-0.647
2010-2015,Dépenses des ménages par habitant,Deuxième quintile,,Manitoba,46,2.809
2010-2015,Dépenses des ménages par habitant,Tous les quintiles,,Saskatchewan,47,3.134
2010-2015,Dépenses des ménages par habitant,Quintile inférieur,,Saskatchewan,47,3.609
2010-2015,Dépenses des ménages par habitant,Deuxième quintile,,Saskatchewan,47,1.88
2010-2015,Dépenses des ménages par habitant,Tous les quintiles,,Alberta,48,1.706
2010-2015,Dépenses des ménages par habitant,Quintile inférieur,,Alberta,48,1.609
2010-2015,Dépenses des ménages par habitant,Deuxième quintile,,Alberta,48,0.986
2010-2015,Dépenses des ménages par habitant,Tous les quintiles,,Colombie-Britannique,59,0.757
2010-2015,Dépenses des ménages par habitant,Quintile inférieur,,Colombie-Britannique,59,0.601
2010-2015,Dépenses des ménages par habitant,Deuxième quintile,,Colombie-Britannique,59,-0.102
2011-2016,Dépenses des ménages par habitant,Tous les quintiles,,Canada,,1.376
2011-2016,Dépenses des ménages par habitant,Quintile inférieur,,Canada,,1.246
2011-2016,Dépenses des ménages par habitant,Deuxième quintile,,Canada,,0.483
2011-2016,Dépenses des ménages par habitant,Tous les quintiles,,Terre-Neuve-et-Labrador,10,2.744
2011-2016,Dépenses des ménages par habitant,Quintile inférieur,,Terre-Neuve-et-Labrador,10,4.043
2011-2016,Dépenses des ménages par habitant,Deuxième quintile,,Terre-Neuve-et-Labrador,10,1.415
2011-2016,Dépenses des ménages par habitant,Tous les quintiles,,Île-du-Prince-Édouard,11,1.556
2011-2016,Dépenses des ménages par habitant,Quintile inférieur,,Île-du-Prince-Édouard,11,-1.539
2011-2016,Dépenses des ménages par habitant,Deuxième quintile,,Île-du-Prince-Édouard,11,4.658
2011-2016,Dépenses des ménages par habitant,Tous les quintiles,,Nouvelle-Écosse,12,1.672
2011-2016,Dépenses des ménages par habitant,Quintile inférieur,,Nouvelle-Écosse,12,3.022
2011-2016,Dépenses des ménages par habitant,Deuxième quintile,,Nouvelle-Écosse,12,2.392
2011-2016,Dépenses des ménages par habitant,Tous les quintiles,,Nouveau-Brunswick,13,0.791
