Year,Units,Mesure,Value
2015,"Dollar américain, millions, prix constants de 2024",Aide publique au développement,125.239385
2016,"Dollar américain, millions, prix constants de 2024",Aide publique au développement,119.715933
2017,"Dollar américain, millions, prix constants de 2024",Aide publique au développement,265.18351
2018,"Dollar américain, millions, prix constants de 2024",Aide publique au développement,362.103524
2018,"Dollar américain, millions, prix constants de 2024",Autres apports du secteur public (autre que crédits à l'exportation),14.101931
2019,"Dollar américain, millions, prix constants de 2024",Aide publique au développement,191.153931
2019,"Dollar américain, millions, prix constants de 2024",Autres apports du secteur public (autre que crédits à l'exportation),38.625996
2020,"Dollar américain, millions, prix constants de 2024",Aide publique au développement,324.981419
2020,"Dollar américain, millions, prix constants de 2024",Autres apports du secteur public (autre que crédits à l'exportation),35.137761
2021,"Dollar américain, millions, prix constants de 2024",Aide publique au développement,452.464461
2021,"Dollar américain, millions, prix constants de 2024",Autres apports du secteur public (autre que crédits à l'exportation),83.063681
2022,"Dollar américain, millions, prix constants de 2024",Aide publique au développement,389.070156
2022,"Dollar américain, millions, prix constants de 2024",Autres apports du secteur public (autre que crédits à l'exportation),136.011772
2023,"Dollar américain, millions, prix constants de 2024",Aide publique au développement,395.520972
2024,"Dollar américain, millions, prix constants de 2024",Aide publique au développement,416.584131
2024,"Dollar américain, millions, prix constants de 2024",Autres apports du secteur public (autre que crédits à l'exportation),0.216363
2015,"Dollar américain, millions, prix constants de 2024",,125.239385
2016,"Dollar américain, millions, prix constants de 2024",,119.715933
2017,"Dollar américain, millions, prix constants de 2024",,265.18351
2018,"Dollar américain, millions, prix constants de 2024",,376.205455
2019,"Dollar américain, millions, prix constants de 2024",,229.779927
2020,"Dollar américain, millions, prix constants de 2024",,360.11918
2021,"Dollar américain, millions, prix constants de 2024",,535.528142
2022,"Dollar américain, millions, prix constants de 2024",,525.081928
2023,"Dollar américain, millions, prix constants de 2024",,395.520972
2024,"Dollar américain, millions, prix constants de 2024",,416.800494
