Year,Géographie,Groupe d'activité,Groupe d'âge,Genre,GeoCode,Value
2015,,,,,,12.5
2015,Canada,"Total, activités de travail non-rémunéré","Total, 15 ans et plus",Hommes+,,10.0
2015,Canada,"Total, activités de travail non-rémunéré","Total, 15 ans et plus",Femmes+,,15.0
2015,Canada,"Total, activités de travail non-rémunéré",15 à 24 ans,"Total, toutes les personnes",,5.4
2015,Canada,"Total, activités de travail non-rémunéré",15 à 24 ans,Hommes+,,4.6
2015,Canada,"Total, activités de travail non-rémunéré",15 à 24 ans,Femmes+,,6.7
2015,Canada,"Total, activités de travail non-rémunéré",25 à 54 ans,"Total, toutes les personnes",,13.3
2015,Canada,"Total, activités de travail non-rémunéré",25 à 54 ans,Hommes+,,10.4
2015,Canada,"Total, activités de travail non-rémunéré",25 à 54 ans,Femmes+,,16.3
2015,Canada,"Total, activités de travail non-rémunéré",25 à 34 ans,"Total, toutes les personnes",,12.1
2015,Canada,"Total, activités de travail non-rémunéré",25 à 34 ans,Hommes+,,7.9
2015,Canada,"Total, activités de travail non-rémunéré",25 à 34 ans,Femmes+,,15.8
2015,Canada,"Total, activités de travail non-rémunéré",35 à 44 ans,"Total, toutes les personnes",,15.0
2015,Canada,"Total, activités de travail non-rémunéré",35 à 44 ans,Hommes+,,11.7
2015,Canada,"Total, activités de travail non-rémunéré",35 à 44 ans,Femmes+,,17.9
2015,Canada,"Total, activités de travail non-rémunéré",45 à 54 ans,"Total, toutes les personnes",,13.3
2015,Canada,"Total, activités de travail non-rémunéré",45 à 54 ans,Hommes+,,11.3
2015,Canada,"Total, activités de travail non-rémunéré",45 à 54 ans,Femmes+,,15.4
2015,Canada,"Total, activités de travail non-rémunéré",55 à 64 ans,"Total, toutes les personnes",,14.2
2015,Canada,"Total, activités de travail non-rémunéré",55 à 64 ans,Hommes+,,12.1
2015,Canada,"Total, activités de travail non-rémunéré",55 à 64 ans,Femmes+,,16.3
2015,Canada,"Total, activités de travail non-rémunéré",65 ans et plus,"Total, toutes les personnes",,15.0
2015,Canada,"Total, activités de travail non-rémunéré",65 ans et plus,Hommes+,,13.3
2015,Canada,"Total, activités de travail non-rémunéré",65 ans et plus,Femmes+,,16.7
2015,Canada,Tâches ménagères,"Total, 15 ans et plus","Total, toutes les personnes",,8.8
2015,Canada,Tâches ménagères,"Total, 15 ans et plus",Hommes+,,7.1
2015,Canada,Tâches ménagères,"Total, 15 ans et plus",Femmes+,,10.0
2015,Canada,Tâches ménagères,15 à 24 ans,"Total, toutes les personnes",,3.8
2015,Canada,Tâches ménagères,15 à 24 ans,Hommes+,,3.3
2015,Canada,Tâches ménagères,15 à 24 ans,Femmes+,,4.2
2015,Canada,Tâches ménagères,25 à 54 ans,"Total, toutes les personnes",,8.3
2015,Canada,Tâches ménagères,25 à 54 ans,Hommes+,,6.7
2015,Canada,Tâches ménagères,25 à 54 ans,Femmes+,,10.0
2015,Canada,Tâches ménagères,25 à 34 ans,"Total, toutes les personnes",,6.7
2015,Canada,Tâches ménagères,25 à 34 ans,Hommes+,,5.0
2015,Canada,Tâches ménagères,25 à 34 ans,Femmes+,,8.3
2015,Canada,Tâches ménagères,35 à 44 ans,"Total, toutes les personnes",,8.3
2015,Canada,Tâches ménagères,35 à 44 ans,Hommes+,,6.7
2015,Canada,Tâches ménagères,35 à 44 ans,Femmes+,,10.0
2015,Canada,Tâches ménagères,45 à 54 ans,"Total, toutes les personnes",,10.0
2015,Canada,Tâches ménagères,45 à 54 ans,Hommes+,,8.8
2015,Canada,Tâches ménagères,45 à 54 ans,Femmes+,,11.3
2015,Canada,Tâches ménagères,55 à 64 ans,"Total, toutes les personnes",,10.8
2015,Canada,Tâches ménagères,55 à 64 ans,Hommes+,,9.6
2015,Canada,Tâches ménagères,55 à 64 ans,Femmes+,,12.1
