Year,Géographie,Sexe,Groupe d'âge,Compétences,Niveau de compétence,GeoCode,Value
2012,Canada,Les deux sexes,Total,Alphabétisme,2 ou moins,,48.5
2012,Canada,Les deux sexes,Total,Alphabétisme,3 ou plus,,51.5
2012,Canada,Les deux sexes,Total,Arithmétique,2 ou moins,,54.7
2012,Canada,Les deux sexes,Total,Arithmétique,3 ou plus,,45.3
2012,Canada,Les deux sexes,16 à 24 ans,Alphabétisme,2 ou moins,,46.4
2012,Canada,Les deux sexes,16 à 24 ans,Alphabétisme,3 ou plus,,53.6
2012,Canada,Les deux sexes,16 à 24 ans,Arithmétique,2 ou moins,,53.4
2012,Canada,Les deux sexes,16 à 24 ans,Arithmétique,3 ou plus,,46.6
2012,Canada,Les deux sexes,25 à 34 ans,Alphabétisme,2 ou moins,,39.9
2012,Canada,Les deux sexes,25 à 34 ans,Alphabétisme,3 ou plus,,60.1
2012,Canada,Les deux sexes,25 à 34 ans,Arithmétique,2 ou moins,,46.7
2012,Canada,Les deux sexes,25 à 34 ans,Arithmétique,3 ou plus,,53.3
2012,Canada,Les deux sexes,35 à 44 ans,Alphabétisme,2 ou moins,,42.4
2012,Canada,Les deux sexes,35 à 44 ans,Alphabétisme,3 ou plus,,57.6
2012,Canada,Les deux sexes,35 à 44 ans,Arithmétique,2 ou moins,,49.0
2012,Canada,Les deux sexes,35 à 44 ans,Arithmétique,3 ou plus,,51.0
2012,Canada,Les deux sexes,45 à 54 ans,Alphabétisme,2 ou moins,,52.9
2012,Canada,Les deux sexes,45 à 54 ans,Alphabétisme,3 ou plus,,47.1
2012,Canada,Les deux sexes,45 à 54 ans,Arithmétique,2 ou moins,,57.6
2012,Canada,Les deux sexes,45 à 54 ans,Arithmétique,3 ou plus,,42.4
2012,Canada,Les deux sexes,55 à 65 ans,Alphabétisme,2 ou moins,,59.7
2012,Canada,Les deux sexes,55 à 65 ans,Alphabétisme,3 ou plus,,40.3
2012,Canada,Les deux sexes,55 à 65 ans,Arithmétique,2 ou moins,,65.8
2012,Canada,Les deux sexes,55 à 65 ans,Arithmétique,3 ou plus,,34.2
2012,Canada,Hommes,Total,Alphabétisme,2 ou moins,,47.6
2012,Canada,Hommes,Total,Alphabétisme,3 ou plus,,52.4
2012,Canada,Hommes,Total,Arithmétique,2 ou moins,,49.0
2012,Canada,Hommes,Total,Arithmétique,3 ou plus,,51.0
2012,Canada,Hommes,16 à 24 ans,Alphabétisme,2 ou moins,,47.1
2012,Canada,Hommes,16 à 24 ans,Alphabétisme,3 ou plus,,52.9
2012,Canada,Hommes,16 à 24 ans,Arithmétique,2 ou moins,,49.9
2012,Canada,Hommes,16 à 24 ans,Arithmétique,3 ou plus,,50.1
2012,Canada,Hommes,25 à 34 ans,Alphabétisme,2 ou moins,,40.2
2012,Canada,Hommes,25 à 34 ans,Alphabétisme,3 ou plus,,59.8
2012,Canada,Hommes,25 à 34 ans,Arithmétique,2 ou moins,,42.2
2012,Canada,Hommes,25 à 34 ans,Arithmétique,3 ou plus,,57.8
2012,Canada,Hommes,35 à 44 ans,Alphabétisme,2 ou moins,,42.2
2012,Canada,Hommes,35 à 44 ans,Alphabétisme,3 ou plus,,57.8
2012,Canada,Hommes,35 à 44 ans,Arithmétique,2 ou moins,,43.1
2012,Canada,Hommes,35 à 44 ans,Arithmétique,3 ou plus,,56.9
2012,Canada,Hommes,45 à 54 ans,Alphabétisme,2 ou moins,,50.7
2012,Canada,Hommes,45 à 54 ans,Alphabétisme,3 ou plus,,49.3
2012,Canada,Hommes,45 à 54 ans,Arithmétique,2 ou moins,,51.0
2012,Canada,Hommes,45 à 54 ans,Arithmétique,3 ou plus,,49.0
2012,Canada,Hommes,55 à 65 ans,Alphabétisme,2 ou moins,,57.3
2012,Canada,Hommes,55 à 65 ans,Alphabétisme,3 ou plus,,42.7
2012,Canada,Hommes,55 à 65 ans,Arithmétique,2 ou moins,,58.2
2012,Canada,Hommes,55 à 65 ans,Arithmétique,3 ou plus,,41.8
2012,Canada,Femmes,Total,Alphabétisme,2 ou moins,,49.4
2012,Canada,Femmes,Total,Alphabétisme,3 ou plus,,50.6
2012,Canada,Femmes,Total,Arithmétique,2 ou moins,,60.4
2012,Canada,Femmes,Total,Arithmétique,3 ou plus,,39.6
2012,Canada,Femmes,16 à 24 ans,Alphabétisme,2 ou moins,,45.6
2012,Canada,Femmes,16 à 24 ans,Alphabétisme,3 ou plus,,54.4
2012,Canada,Femmes,16 à 24 ans,Arithmétique,2 ou moins,,57.0
2012,Canada,Femmes,16 à 24 ans,Arithmétique,3 ou plus,,43.0
2012,Canada,Femmes,25 à 34 ans,Alphabétisme,2 ou moins,,39.6
2012,Canada,Femmes,25 à 34 ans,Alphabétisme,3 ou plus,,60.4
2012,Canada,Femmes,25 à 34 ans,Arithmétique,2 ou moins,,51.2
2012,Canada,Femmes,25 à 34 ans,Arithmétique,3 ou plus,,48.8
2012,Canada,Femmes,35 à 44 ans,Alphabétisme,2 ou moins,,42.7
2012,Canada,Femmes,35 à 44 ans,Alphabétisme,3 ou plus,,57.3
2012,Canada,Femmes,35 à 44 ans,Arithmétique,2 ou moins,,55.0
2012,Canada,Femmes,35 à 44 ans,Arithmétique,3 ou plus,,45.0
2012,Canada,Femmes,45 à 54 ans,Alphabétisme,2 ou moins,,55.2
2012,Canada,Femmes,45 à 54 ans,Alphabétisme,3 ou plus,,44.8
2012,Canada,Femmes,45 à 54 ans,Arithmétique,2 ou moins,,64.3
2012,Canada,Femmes,45 à 54 ans,Arithmétique,3 ou plus,,35.7
2012,Canada,Femmes,55 à 65 ans,Alphabétisme,2 ou moins,,62.1
2012,Canada,Femmes,55 à 65 ans,Alphabétisme,3 ou plus,,37.9
2012,Canada,Femmes,55 à 65 ans,Arithmétique,2 ou moins,,73.1
2012,Canada,Femmes,55 à 65 ans,Arithmétique,3 ou plus,,26.9
2012,Terre-Neuve-et-Labrador,Les deux sexes,Total,Alphabétisme,2 ou moins,10,56.8
2012,Terre-Neuve-et-Labrador,Les deux sexes,Total,Alphabétisme,3 ou plus,10,43.2
2012,Terre-Neuve-et-Labrador,Les deux sexes,Total,Arithmétique,2 ou moins,10,65.5
2012,Terre-Neuve-et-Labrador,Les deux sexes,Total,Arithmétique,3 ou plus,10,34.5
2012,Terre-Neuve-et-Labrador,Les deux sexes,16 à 24 ans,Alphabétisme,2 ou moins,10,48.5
2012,Terre-Neuve-et-Labrador,Les deux sexes,16 à 24 ans,Alphabétisme,3 ou plus,10,51.5
2012,Terre-Neuve-et-Labrador,Les deux sexes,16 à 24 ans,Arithmétique,2 ou moins,10,54.6
2012,Terre-Neuve-et-Labrador,Les deux sexes,16 à 24 ans,Arithmétique,3 ou plus,10,45.4
2012,Terre-Neuve-et-Labrador,Les deux sexes,25 à 34 ans,Alphabétisme,2 ou moins,10,42.5
2012,Terre-Neuve-et-Labrador,Les deux sexes,25 à 34 ans,Alphabétisme,3 ou plus,10,57.5
2012,Terre-Neuve-et-Labrador,Les deux sexes,25 à 34 ans,Arithmétique,2 ou moins,10,51.9
2012,Terre-Neuve-et-Labrador,Les deux sexes,25 à 34 ans,Arithmétique,3 ou plus,10,48.1
2012,Terre-Neuve-et-Labrador,Les deux sexes,35 à 44 ans,Alphabétisme,2 ou moins,10,48.1
2012,Terre-Neuve-et-Labrador,Les deux sexes,35 à 44 ans,Alphabétisme,3 ou plus,10,51.9
2012,Terre-Neuve-et-Labrador,Les deux sexes,35 à 44 ans,Arithmétique,2 ou moins,10,56.7
2012,Terre-Neuve-et-Labrador,Les deux sexes,35 à 44 ans,Arithmétique,3 ou plus,10,43.3
2012,Terre-Neuve-et-Labrador,Les deux sexes,45 à 54 ans,Alphabétisme,2 ou moins,10,61.4
2012,Terre-Neuve-et-Labrador,Les deux sexes,45 à 54 ans,Alphabétisme,3 ou plus,10,38.6
2012,Terre-Neuve-et-Labrador,Les deux sexes,45 à 54 ans,Arithmétique,2 ou moins,10,71.4
2012,Terre-Neuve-et-Labrador,Les deux sexes,45 à 54 ans,Arithmétique,3 ou plus,10,28.6
2012,Terre-Neuve-et-Labrador,Les deux sexes,55 à 65 ans,Alphabétisme,2 ou moins,10,73.4
2012,Terre-Neuve-et-Labrador,Les deux sexes,55 à 65 ans,Alphabétisme,3 ou plus,10,26.6
2012,Terre-Neuve-et-Labrador,Les deux sexes,55 à 65 ans,Arithmétique,2 ou moins,10,82.1
2012,Terre-Neuve-et-Labrador,Les deux sexes,55 à 65 ans,Arithmétique,3 ou plus,10,17.9
2012,Terre-Neuve-et-Labrador,Hommes,Total,Alphabétisme,2 ou moins,10,57.3
2012,Terre-Neuve-et-Labrador,Hommes,Total,Alphabétisme,3 ou plus,10,42.7
2012,Terre-Neuve-et-Labrador,Hommes,Total,Arithmétique,2 ou moins,10,62.2
2012,Terre-Neuve-et-Labrador,Hommes,Total,Arithmétique,3 ou plus,10,37.8
2012,Terre-Neuve-et-Labrador,Hommes,16 à 24 ans,Alphabétisme,2 ou moins,10,50.8
2012,Terre-Neuve-et-Labrador,Hommes,16 à 24 ans,Alphabétisme,3 ou plus,10,49.2
2012,Terre-Neuve-et-Labrador,Hommes,16 à 24 ans,Arithmétique,2 ou moins,10,53.3
2012,Terre-Neuve-et-Labrador,Hommes,16 à 24 ans,Arithmétique,3 ou plus,10,46.7
2012,Terre-Neuve-et-Labrador,Hommes,25 à 34 ans,Alphabétisme,2 ou moins,10,40.6
2012,Terre-Neuve-et-Labrador,Hommes,25 à 34 ans,Alphabétisme,3 ou plus,10,59.4
2012,Terre-Neuve-et-Labrador,Hommes,25 à 34 ans,Arithmétique,2 ou moins,10,46.1
2012,Terre-Neuve-et-Labrador,Hommes,25 à 34 ans,Arithmétique,3 ou plus,10,53.9
2012,Terre-Neuve-et-Labrador,Hommes,35 à 44 ans,Alphabétisme,2 ou moins,10,51.4
2012,Terre-Neuve-et-Labrador,Hommes,35 à 44 ans,Alphabétisme,3 ou plus,10,48.6
2012,Terre-Neuve-et-Labrador,Hommes,35 à 44 ans,Arithmétique,2 ou moins,10,54.5
2012,Terre-Neuve-et-Labrador,Hommes,35 à 44 ans,Arithmétique,3 ou plus,10,45.5
2012,Terre-Neuve-et-Labrador,Hommes,45 à 54 ans,Alphabétisme,2 ou moins,10,61.4
2012,Terre-Neuve-et-Labrador,Hommes,45 à 54 ans,Alphabétisme,3 ou plus,10,38.6
2012,Terre-Neuve-et-Labrador,Hommes,45 à 54 ans,Arithmétique,2 ou moins,10,68.9
2012,Terre-Neuve-et-Labrador,Hommes,45 à 54 ans,Arithmétique,3 ou plus,10,31.1
2012,Terre-Neuve-et-Labrador,Hommes,55 à 65 ans,Alphabétisme,2 ou moins,10,72.4
2012,Terre-Neuve-et-Labrador,Hommes,55 à 65 ans,Alphabétisme,3 ou plus,10,27.6
2012,Terre-Neuve-et-Labrador,Hommes,55 à 65 ans,Arithmétique,2 ou moins,10,77.4
2012,Terre-Neuve-et-Labrador,Hommes,55 à 65 ans,Arithmétique,3 ou plus,10,22.6
2012,Terre-Neuve-et-Labrador,Femmes,Total,Alphabétisme,2 ou moins,10,56.4
2012,Terre-Neuve-et-Labrador,Femmes,Total,Alphabétisme,3 ou plus,10,43.6
2012,Terre-Neuve-et-Labrador,Femmes,Total,Arithmétique,2 ou moins,10,68.7
2012,Terre-Neuve-et-Labrador,Femmes,Total,Arithmétique,3 ou plus,10,31.3
2012,Terre-Neuve-et-Labrador,Femmes,16 à 24 ans,Alphabétisme,2 ou moins,10,46.1
2012,Terre-Neuve-et-Labrador,Femmes,16 à 24 ans,Alphabétisme,3 ou plus,10,53.9
2012,Terre-Neuve-et-Labrador,Femmes,16 à 24 ans,Arithmétique,2 ou moins,10,56.0
2012,Terre-Neuve-et-Labrador,Femmes,16 à 24 ans,Arithmétique,3 ou plus,10,44.0
