Year,Value,Units,Series
2020,4.0,Pourcentage,Nombre de bassins (partagés) présentant des changements importants dans l’étendue des eaux de surface
2015,1.0,Pourcentage,Nombre de bassins (partagés) présentant des changements importants dans l’étendue des eaux de surface
2020,57.0,Nombre,Nombre de bassins (partagés) présentant des changements importants dans l’étendue des eaux de surface
2015,18.0,Nombre,Nombre de bassins (partagés) présentant des changements importants dans l’étendue des eaux de surface
2015,916917.6,Kilomètres carrés,Eau permanente
2016,914878.3,Kilomètres carrés,Eau permanente
2017,916342.4,Kilomètres carrés,Eau permanente
2018,914773.6,Kilomètres carrés,Eau permanente
2019,914479.7,Kilomètres carrés,Eau permanente
2020,919584.5,Kilomètres carrés,Eau permanente
2015,81623.6,Kilomètres carrés,Eau saisonnière
2016,95379.5,Kilomètres carrés,Eau saisonnière
2017,98646.4,Kilomètres carrés,Eau saisonnière
2018,92557.1,Kilomètres carrés,Eau saisonnière
2019,94042.2,Kilomètres carrés,Eau saisonnière
2020,103943.7,Kilomètres carrés,Eau saisonnière
2015,91380.6,Kilomètres carrés,"Réservoirs, étendue maximale de l’eau"
2016,91729.2,Kilomètres carrés,"Réservoirs, étendue maximale de l’eau"
2017,91837.1,Kilomètres carrés,"Réservoirs, étendue maximale de l’eau"
2018,91694.7,Kilomètres carrés,"Réservoirs, étendue maximale de l’eau"
2019,91754.4,Kilomètres carrés,"Réservoirs, étendue maximale de l’eau"
2020,91730.5,Kilomètres carrés,"Réservoirs, étendue maximale de l’eau"
2021,91630.4,Kilomètres carrés,"Réservoirs, étendue maximale de l’eau"
2015,89658.9,Kilomètres carrés,"Réservoirs, étendue minimale d’eau"
2016,89908.0,Kilomètres carrés,"Réservoirs, étendue minimale d’eau"
2017,90119.3,Kilomètres carrés,"Réservoirs, étendue minimale d’eau"
2018,90112.9,Kilomètres carrés,"Réservoirs, étendue minimale d’eau"
2019,90124.0,Kilomètres carrés,"Réservoirs, étendue minimale d’eau"
2020,90059.8,Kilomètres carrés,"Réservoirs, étendue minimale d’eau"
2021,89872.9,Kilomètres carrés,"Réservoirs, étendue minimale d’eau"
2016/18 (baseline),806938.0,Kilomètres carrés,Étendue des millieux humides
2016/18 (baseline),8.17,Pourcentage,Étendue des millieux humides
