Year,Geography,GeoCode,Type of materials diverted,Sources of materials prepared for recycling,Value
2018,"Yukon, Northwest Territories and Nunavut",,Textiles,Non-residential sources of diverted materials,0.0
2020,"Yukon, Northwest Territories and Nunavut",,Textiles,Non-residential sources of diverted materials,
2018,"Yukon, Northwest Territories and Nunavut",,Tires,All sources of diverted materials,1047.0
2020,"Yukon, Northwest Territories and Nunavut",,Tires,All sources of diverted materials,901.0
2018,"Yukon, Northwest Territories and Nunavut",,Tires,Residential sources of diverted materials,
2020,"Yukon, Northwest Territories and Nunavut",,Tires,Residential sources of diverted materials,
2018,"Yukon, Northwest Territories and Nunavut",,Tires,Non-residential sources of diverted materials,
2020,"Yukon, Northwest Territories and Nunavut",,Tires,Non-residential sources of diverted materials,
2018,"Yukon, Northwest Territories and Nunavut",,"Construction, renovation and demolition",All sources of diverted materials,7864.0
2020,"Yukon, Northwest Territories and Nunavut",,"Construction, renovation and demolition",All sources of diverted materials,7477.0
2018,"Yukon, Northwest Territories and Nunavut",,"Construction, renovation and demolition",Residential sources of diverted materials,1966.0
2020,"Yukon, Northwest Territories and Nunavut",,"Construction, renovation and demolition",Residential sources of diverted materials,1074.0
2018,"Yukon, Northwest Territories and Nunavut",,"Construction, renovation and demolition",Non-residential sources of diverted materials,5898.0
2020,"Yukon, Northwest Territories and Nunavut",,"Construction, renovation and demolition",Non-residential sources of diverted materials,6403.0
2018,"Yukon, Northwest Territories and Nunavut",,Organics,All sources of diverted materials,4601.0
2020,"Yukon, Northwest Territories and Nunavut",,Organics,All sources of diverted materials,4575.0
2018,"Yukon, Northwest Territories and Nunavut",,Organics,Residential sources of diverted materials,1950.0
2020,"Yukon, Northwest Territories and Nunavut",,Organics,Residential sources of diverted materials,
2018,"Yukon, Northwest Territories and Nunavut",,Organics,Non-residential sources of diverted materials,2651.0
2020,"Yukon, Northwest Territories and Nunavut",,Organics,Non-residential sources of diverted materials,
2018,"Yukon, Northwest Territories and Nunavut",,Other materials,All sources of diverted materials,297.0
2020,"Yukon, Northwest Territories and Nunavut",,Other materials,All sources of diverted materials,100.0
2018,"Yukon, Northwest Territories and Nunavut",,Other materials,Residential sources of diverted materials,297.0
2020,"Yukon, Northwest Territories and Nunavut",,Other materials,Residential sources of diverted materials,70.0
2018,"Yukon, Northwest Territories and Nunavut",,Other materials,Non-residential sources of diverted materials,0.0
2020,"Yukon, Northwest Territories and Nunavut",,Other materials,Non-residential sources of diverted materials,30.0
