Year,Series,Units,Value
1990,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40543.35524
1991,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40537.42018
1992,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40531.37522
1993,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40525.87979
1994,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40517.41684
1995,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40513.02051
1996,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40509.17371
1997,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40505.1071
1998,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40501.04049
1999,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40496.42433
2000,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40491.47845
2001,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40487.19202
2002,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40482.90559
2003,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40477.19036
2004,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40471.80484
2005,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40466.52924
2006,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40461.69327
2007,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40453.34022
2008,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40448.17453
2009,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40443.11874
2010,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40438.50258
2011,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40434.10625
2012,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40429.49009
2013,Superficie forestière en proportion de la superficie terrestre totale,Pourcentage (%),40424.76403
