Year,Institutions,Visible minority,Selected sociodemographic characteristics,COMMENT_OBS,Value
2020,Confidence in the justice system and courts,Total population,"Total, 15 years and over",,55.2
2020,Confidence in Federal Parliament,Total population,"Total, 15 years and over",,44.4
2020,Confidence in the justice system and courts,Total population,15 to 24 years,,51.5
2020,Confidence in Federal Parliament,Total population,15 to 24 years,,42.4
2020,Confidence in the justice system and courts,Total population,25 to 64 years,,54.5
2020,Confidence in Federal Parliament,Total population,25 to 64 years,,43.5
2020,Confidence in the justice system and courts,Total population,65 years and over,,59.8
2020,Confidence in Federal Parliament,Total population,65 years and over,,48.5
2020,Confidence in the justice system and courts,Total population,Men,,56.9
2020,Confidence in Federal Parliament,Total population,Men,,44.0
2020,Confidence in the justice system and courts,Total population,Women,,53.9
2020,Confidence in Federal Parliament,Total population,Women,,45.2
2020,Confidence in the justice system and courts,Total population,Immigrants,,68.6
2020,Confidence in Federal Parliament,Total population,Immigrants,,59.6
2020,Confidence in the justice system and courts,Total population,Non-immigrants,,49.8
2020,Confidence in Federal Parliament,Total population,Non-immigrants,,38.1
2020,Confidence in the justice system and courts,Total population,First generation,,69.3
2020,Confidence in Federal Parliament,Total population,First generation,,60.3
2020,Confidence in the justice system and courts,Total population,Second generation,,49.7
2020,Confidence in Federal Parliament,Total population,Second generation,,39.4
2020,Confidence in the justice system and courts,Total population,Third generation or more,,50.0
2020,Confidence in Federal Parliament,Total population,Third generation or more,,37.9
2020,Confidence in the justice system and courts,Total population,"First official language spoken, English only",,56.3
2020,Confidence in Federal Parliament,Total population,"First official language spoken, English only",,44.5
2020,Confidence in the justice system and courts,Total population,"First official language spoken, French only",,57.4
2020,Confidence in Federal Parliament,Total population,"First official language spoken, French only",,48.7
2020,Confidence in the justice system and courts,Total population,Secondary (high) school diploma or equivalency certificate or less,,50.3
2020,Confidence in Federal Parliament,Total population,Secondary (high) school diploma or equivalency certificate or less,,40.8
2020,Confidence in the justice system and courts,Total population,Postsecondary certificate or diploma (non-university),,51.5
2020,Confidence in Federal Parliament,Total population,Postsecondary certificate or diploma (non-university),,39.9
2020,Confidence in the justice system and courts,Total population,University certificate or diploma,,62.6
2020,Confidence in Federal Parliament,Total population,University certificate or diploma,,51.2
2020,Confidence in the justice system and courts,Total visible minority population,"Total, 15 years and over",,65.7
2020,Confidence in Federal Parliament,Total visible minority population,"Total, 15 years and over",,58.7
2020,Confidence in the justice system and courts,Total visible minority population,15 to 24 years,,56.1
2020,Confidence in Federal Parliament,Total visible minority population,15 to 24 years,,44.8
2020,Confidence in the justice system and courts,Total visible minority population,25 to 64 years,,67.7
2020,Confidence in Federal Parliament,Total visible minority population,25 to 64 years,,61.6
2020,Confidence in the justice system and courts,Total visible minority population,65 years and over,,71.1
2020,Confidence in Federal Parliament,Total visible minority population,65 years and over,,65.7
2020,Confidence in the justice system and courts,Total visible minority population,Men,,68.7
2020,Confidence in Federal Parliament,Total visible minority population,Men,,61.2
2020,Confidence in the justice system and courts,Total visible minority population,Women,,63.0
2020,Confidence in Federal Parliament,Total visible minority population,Women,,56.5
2020,Confidence in the justice system and courts,Total visible minority population,Immigrants,,71.2
2020,Confidence in Federal Parliament,Total visible minority population,Immigrants,,63.0
2020,Confidence in the justice system and courts,Total visible minority population,Non-immigrants,,42.4
2020,Confidence in Federal Parliament,Total visible minority population,Non-immigrants,,38.5
2020,Confidence in the justice system and courts,Total visible minority population,First generation,,71.7
2020,Confidence in Federal Parliament,Total visible minority population,First generation,,63.7
2020,Confidence in the justice system and courts,Total visible minority population,Second generation,,44.2
2020,Confidence in Federal Parliament,Total visible minority population,Second generation,,42.6
2020,Confidence in the justice system and courts,Total visible minority population,Third generation or more,,
2020,Confidence in Federal Parliament,Total visible minority population,Third generation or more,,
2020,Confidence in the justice system and courts,Total visible minority population,"First official language spoken, English only",,67.2
2020,Confidence in Federal Parliament,Total visible minority population,"First official language spoken, English only",,59.7
2020,Confidence in the justice system and courts,Total visible minority population,"First official language spoken, French only",,68.0
2020,Confidence in Federal Parliament,Total visible minority population,"First official language spoken, French only",,64.6
2020,Confidence in the justice system and courts,Total visible minority population,Secondary (high) school diploma or equivalency certificate or less,,60.3
2020,Confidence in Federal Parliament,Total visible minority population,Secondary (high) school diploma or equivalency certificate or less,,54.3
2020,Confidence in the justice system and courts,Total visible minority population,Postsecondary certificate or diploma (non-university),,63.2
2020,Confidence in Federal Parliament,Total visible minority population,Postsecondary certificate or diploma (non-university),,56.5
2020,Confidence in the justice system and courts,Total visible minority population,University certificate or diploma,,69.8
2020,Confidence in Federal Parliament,Total visible minority population,University certificate or diploma,,62.0
