Year,Niveau de sécurité alimentaire du ménage,Géographie,Genre,Groupe d'âge,Type de famille économique,Minorité visible,Population autochtone,GeoCode,Value
2018,Sécurité alimentaire,Canada,Both genders,,Toutes les personnes,,,,83.2
2018,Insécurité alimentaire,Canada,Both genders,,Toutes les personnes,,,,16.8
2018,Insécurité alimentaire marginale,Canada,Both genders,,Toutes les personnes,,,,5.2
2018,,,,,,,,,11.7
2018,Insécurité alimentaire modérée,Canada,Both genders,,Toutes les personnes,,,,8.0
2018,Insécurité alimentaire grave,Canada,Both genders,,Toutes les personnes,,,,3.6
2018,Sécurité alimentaire,Canada,Both genders,,Personnes dans les familles économiques,,,,83.9
2018,Insécurité alimentaire,Canada,Both genders,,Personnes dans les familles économiques,,,,16.1
2018,Insécurité alimentaire marginale,Canada,Both genders,,Personnes dans les familles économiques,,,,5.2
2018,Insécurité alimentaire modérée ou grave,Canada,Both genders,,Personnes dans les familles économiques,,,,10.9
2018,Insécurité alimentaire modérée,Canada,Both genders,,Personnes dans les familles économiques,,,,7.9
2018,Insécurité alimentaire grave,Canada,Both genders,,Personnes dans les familles économiques,,,,3.0
2018,Sécurité alimentaire,Canada,Both genders,,Persons in senior families,,,,92.9
2018,Insécurité alimentaire,Canada,Both genders,,Persons in senior families,,,,7.1
2018,Insécurité alimentaire marginale,Canada,Both genders,,Persons in senior families,,,,2.7
2018,Insécurité alimentaire modérée ou grave,Canada,Both genders,,Persons in senior families,,,,4.4
2018,Insécurité alimentaire modérée,Canada,Both genders,,Persons in senior families,,,,3.0
2018,Insécurité alimentaire grave,Canada,Both genders,,Persons in senior families,,,,1.5
2018,Sécurité alimentaire,Canada,Both genders,,Personnes dans les couples de personnes âgées,,,,95.1
2018,Insécurité alimentaire,Canada,Both genders,,Personnes dans les couples de personnes âgées,,,,4.9
2018,Insécurité alimentaire marginale,Canada,Both genders,,Personnes dans les couples de personnes âgées,,,,2.0
2018,Insécurité alimentaire modérée ou grave,Canada,Both genders,,Personnes dans les couples de personnes âgées,,,,2.9
2018,Insécurité alimentaire modérée,Canada,Both genders,,Personnes dans les couples de personnes âgées,,,,2.1
2018,Insécurité alimentaire grave,Canada,Both genders,,Personnes dans les couples de personnes âgées,,,,0.8
2018,Sécurité alimentaire,Canada,Both genders,,Personnes dans les autres familles de personnes âgées,,,,87.5
2018,Insécurité alimentaire,Canada,Both genders,,Personnes dans les autres familles de personnes âgées,,,,12.5
2018,Insécurité alimentaire marginale,Canada,Both genders,,Personnes dans les autres familles de personnes âgées,,,,4.3
2018,Insécurité alimentaire modérée ou grave,Canada,Both genders,,Personnes dans les autres familles de personnes âgées,,,,8.2
2018,Insécurité alimentaire modérée,Canada,Both genders,,Personnes dans les autres familles de personnes âgées,,,,5.2
2018,Insécurité alimentaire grave,Canada,Both genders,,Personnes dans les autres familles de personnes âgées,,,,3.0
2018,Sécurité alimentaire,Canada,Both genders,,Personnes dans les familles non âgées,,,,82.4
2018,Insécurité alimentaire,Canada,Both genders,,Personnes dans les familles non âgées,,,,17.6
2018,Insécurité alimentaire marginale,Canada,Both genders,,Personnes dans les familles non âgées,,,,5.6
2018,Insécurité alimentaire modérée ou grave,Canada,Both genders,,Personnes dans les familles non âgées,,,,12.0
2018,Insécurité alimentaire modérée,Canada,Both genders,,Personnes dans les familles non âgées,,,,8.8
2018,Insécurité alimentaire grave,Canada,Both genders,,Personnes dans les familles non âgées,,,,3.2
2018,Sécurité alimentaire,Canada,Both genders,,Personnes dans les couples,,,,88.5
2018,Insécurité alimentaire,Canada,Both genders,,Personnes dans les couples,,,,11.5
2018,Insécurité alimentaire marginale,Canada,Both genders,,Personnes dans les couples,,,,3.8
2018,Insécurité alimentaire modérée ou grave,Canada,Both genders,,Personnes dans les couples,,,,7.6
2018,Insécurité alimentaire modérée,Canada,Both genders,,Personnes dans les couples,,,,4.7
2018,Insécurité alimentaire grave,Canada,Both genders,,Personnes dans les couples,,,,2.9
2018,Sécurité alimentaire,Canada,Both genders,,Personnes dans les familles comptant un couple avec des enfants,,,,82.1
2018,Insécurité alimentaire,Canada,Both genders,,Personnes dans les familles comptant un couple avec des enfants,,,,17.9
2018,Insécurité alimentaire marginale,Canada,Both genders,,Personnes dans les familles comptant un couple avec des enfants,,,,6.6
2018,Insécurité alimentaire modérée ou grave,Canada,Both genders,,Personnes dans les familles comptant un couple avec des enfants,,,,11.3
2018,Insécurité alimentaire modérée,Canada,Both genders,,Personnes dans les familles comptant un couple avec des enfants,,,,8.9
2018,Insécurité alimentaire grave,Canada,Both genders,,Personnes dans les familles comptant un couple avec des enfants,,,,2.3
2018,Sécurité alimentaire,Canada,Both genders,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,89.1
2018,Insécurité alimentaire,Canada,Both genders,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,10.9
2018,Insécurité alimentaire marginale,Canada,Both genders,,Personnes dans les familles comptant un couple avec d'autres personnes apparentées,,,,2.7
